file,prompt_id,seed,tag,L,grad,problems,grad_ratio,dL,passed
P01_s1618033_B1_neg_00001_.png,P01,1618033,B1_neg,62.0578369140625,8.523904225103639,,1.007662201521987,0.059947967529296875,True
P01_s1618033_B1_pos_00001_.png,P01,1618033,B1_pos,63.42329864501953,8.792856387182066,,1.0394566610310332,1.4254096984863267,True
P01_s1618033_B6_neg_00001_.png,P01,1618033,B6_neg,60.825008392333984,10.10624193516831,,1.1947198993054975,-1.1728805541992173,True
P01_s1618033_B6_pos_00001_.png,P01,1618033,B6_pos,62.46006622314453,7.8125962233527275,,0.9235741864439182,0.4621772766113281,True
P01_s1618033_baseline_00001_.png,P01,1618033,baseline,61.9978889465332,8.459088980641544,,1.0,0.0,True
P01_s1618033_scrA_neg_00001_.png,P01,1618033,scrA_neg,62.23959732055664,8.63579811373643,,1.0208898539191726,0.24170837402343892,True
P01_s1618033_scrA_pos_00001_.png,P01,1618033,scrA_pos,63.61950759887695,8.998977610378542,,1.0638234957656223,1.6216186523437486,True
P01_s1618033_scrB_neg_00001_.png,P01,1618033,scrB_neg,85.35466842651367,9.855722698320433,,1.1651045072199921,23.356779479980467,False
P01_s1618033_scrB_pos_00001_.png,P01,1618033,scrB_pos,41.88344802856445,7.4791152703391575,,0.8841513888144412,-20.11444091796875,False
P01_s2718281_B1_neg_00001_.png,P01,2718281,B1_neg,62.943972778320315,8.216605174868771,,0.9630578089179153,-0.5626892089843736,True
P01_s2718281_B1_pos_00001_.png,P01,2718281,B1_pos,64.4719482421875,8.720471721465193,,1.0221153639573586,0.9652862548828054,True
P01_s2718281_B6_neg_00001_.png,P01,2718281,B6_neg,60.833483123779295,9.250320729386182,,1.0842182901374362,-2.6731788635253935,True
P01_s2718281_B6_pos_00001_.png,P01,2718281,B6_pos,62.16180572509766,8.035025444434243,,0.9417750803926305,-1.3448562622070312,True
P01_s2718281_baseline_00001_.png,P01,2718281,baseline,63.50666198730469,8.531788121941391,,1.0,0.0,True
P01_s2718281_scrA_neg_00001_.png,P01,2718281,scrA_neg,61.50081329345703,8.176191969435786,,0.9583210286726284,-2.0058486938476605,True
P01_s2718281_scrA_pos_00001_.png,P01,2718281,scrA_pos,62.61058654785156,8.48756496320093,,0.994816659988692,-0.8960754394531278,True
P01_s2718281_scrB_neg_00001_.png,P01,2718281,scrB_neg,84.42543182373046,9.839090477685982,,1.1532272411198976,20.918769836425774,False
P01_s2718281_scrB_pos_00001_.png,P01,2718281,scrB_pos,43.85283508300781,7.353115168292748,,0.8618492469805452,-19.653826904296878,True
P01_s3141592_B1_neg_00001_.png,P01,3141592,B1_neg,64.82987365722656,8.581268270646932,,0.9473083325824414,0.9974235534667883,True
P01_s3141592_B1_pos_00001_.png,P01,3141592,B1_pos,65.18909530639648,9.025248492452139,,0.996320454142203,1.356645202636713,True
P01_s3141592_B6_neg_00001_.png,P01,3141592,B6_neg,60.9843017578125,9.586032103517448,,1.0582268030387851,-2.8481483459472656,True
P01_s3141592_B6_pos_00001_.png,P01,3141592,B6_pos,66.79634628295898,8.285495673574932,,0.9146572328942677,2.9638961791992102,True
P01_s3141592_baseline_00001_.png,P01,3141592,baseline,63.83245010375977,9.058579952794968,,1.0,0.0,True
P01_s3141592_scrA_neg_00001_.png,P01,3141592,scrA_neg,64.3360580444336,8.736686815011605,,0.9644653864666675,0.503607940673831,True
P01_s3141592_scrA_pos_00001_.png,P01,3141592,scrA_pos,64.86925582885742,8.897398683004363,,0.9822067839958875,1.0368057250976506,True
P01_s3141592_scrB_neg_00001_.png,P01,3141592,scrB_neg,83.04915924072266,9.785252446134937,,1.0802192503821484,19.21670913696289,True
P01_s3141592_scrB_pos_00001_.png,P01,3141592,scrB_pos,43.44192047119141,7.537706367423263,,0.8321068430927246,-20.39052963256836,False
P02_s1618033_B1_neg_00001_.png,P02,1618033,B1_neg,114.23526916503906,13.68291794956969,,0.9877058830390516,-1.4001785278320398,True
P02_s1618033_B1_pos_00001_.png,P02,1618033,B1_pos,117.85410995483399,13.772423587338185,,0.9941668766162209,2.2186622619628906,True
P02_s1618033_B6_neg_00001_.png,P02,1618033,B6_neg,113.34117584228515,14.82366377936572,,1.070050991830502,-2.294271850585943,True
P02_s1618033_B6_pos_00001_.png,P02,1618033,B6_pos,113.79744491577148,11.985570861094107,,0.8651823313357205,-1.838002777099618,True
P02_s1618033_baseline_00001_.png,P02,1618033,baseline,115.6354476928711,13.853231194157724,,1.0,0.0,True
P02_s1618033_scrA_neg_00001_.png,P02,1618033,scrA_neg,115.6138786315918,13.351984154968099,,0.9638173194279025,-0.021569061279294033,True
P02_s1618033_scrA_pos_00001_.png,P02,1618033,scrA_pos,116.39808349609375,14.170332665238528,,1.0228900728383523,0.7626358032226506,True
P02_s1618033_scrB_neg_00001_.png,P02,1618033,scrB_neg,136.73656005859374,13.346797759171483,,0.9634429377602666,21.101112365722642,False
P02_s1618033_scrB_pos_00001_.png,P02,1618033,scrB_pos,91.95570907592773,12.859527990831136,,0.9282692110310222,-23.679738616943368,False
P02_s2718281_B1_neg_00001_.png,P02,2718281,B1_neg,121.39963760375977,12.931329962138417,,0.9880579403335268,0.6051109313964957,True
P02_s2718281_B1_pos_00001_.png,P02,2718281,B1_pos,121.99615783691407,13.491927364625402,,1.0308921048378266,1.2016311645507898,True
P02_s2718281_B6_neg_00001_.png,P02,2718281,B6_neg,119.51955108642578,14.19851301372016,,1.0848809492303133,-1.2749755859374972,True
P02_s2718281_B6_pos_00001_.png,P02,2718281,B6_pos,118.18846740722657,11.907570930452689,,0.9098344905254321,-2.6060592651367074,True
P02_s2718281_baseline_00001_.png,P02,2718281,baseline,120.79452667236328,13.087623138551312,,1.0,0.0,True
P02_s2718281_scrA_neg_00001_.png,P02,2718281,scrA_neg,122.87216339111328,12.904750227944572,,0.9860270341932399,2.07763671875,True
P02_s2718281_scrA_pos_00001_.png,P02,2718281,scrA_pos,122.06321258544922,13.404718113858323,,1.0242286144665158,1.268685913085946,True
P02_s2718281_scrB_neg_00001_.png,P02,2718281,scrB_neg,139.5085906982422,12.803797654925841,,0.9783134431194442,18.714064025878912,True
P02_s2718281_scrB_pos_00001_.png,P02,2718281,scrB_pos,98.33134231567382,12.37096879266618,,0.9452418259375048,-22.463184356689453,False
P02_s3141592_B1_neg_00001_.png,P02,3141592,B1_neg,113.72606201171875,13.247348754600816,,0.9762010368775517,-2.912691497802726,True
P02_s3141592_B1_pos_00001_.png,P02,3141592,B1_pos,116.18599853515624,13.438280419578657,,0.9902708475828366,-0.4527549743652344,True
P02_s3141592_B6_neg_00001_.png,P02,3141592,B6_neg,114.54467315673828,14.378488193808971,,1.0595550357691863,-2.0940803527831946,True
P02_s3141592_B6_pos_00001_.png,P02,3141592,B6_pos,115.99673004150391,12.017099063454477,,0.8855435742891794,-0.6420234680175696,True
P02_s3141592_baseline_00001_.png,P02,3141592,baseline,116.63875350952148,13.57030801460056,,1.0,0.0,True
P02_s3141592_scrA_neg_00001_.png,P02,3141592,scrA_neg,115.90943603515625,13.62682519809103,,1.0041647679204968,-0.7293174743652315,True
P02_s3141592_scrA_pos_00001_.png,P02,3141592,scrA_pos,115.33218917846679,13.759351362875924,,1.0139306600905424,-1.3065643310546875,True
P02_s3141592_scrB_neg_00001_.png,P02,3141592,scrB_neg,138.31751098632813,13.163169223336245,,0.9699978223908945,21.678757476806652,False
P02_s3141592_scrB_pos_00001_.png,P02,3141592,scrB_pos,90.77407684326172,12.626751556850994,,0.9304690463374615,-25.864676666259754,False
S01_oil_s1337_B1_neg_00001_.png,S01_oil,1337,B1_neg,120.12557525634766,5.384155744063333,,0.9981343530081325,-3.1692420959472685,True
S01_oil_s1337_B1_pos_00001_.png,S01_oil,1337,B1_pos,127.13668289184571,5.375618171117782,,0.996551626717634,3.8418655395507812,True
S01_oil_s1337_B6_neg_00001_.png,S01_oil,1337,B6_neg,127.47441177368164,8.244647218740983,,1.5284226550340907,4.17959442138671,False
S01_oil_s1337_B6_pos_00001_.png,S01_oil,1337,B6_pos,121.86196746826172,4.814838602473169,,0.8925922729143115,-1.4328498840332031,True
S01_oil_s1337_baseline_00001_.png,S01_oil,1337,baseline,123.29481735229493,5.394219453359968,,1.0,0.0,True
S01_oil_s1337_scrA_neg_00001_.png,S01_oil,1337,scrA_neg,123.18358840942383,5.195233732885709,,0.9631113042035556,-0.11122894287109375,True
S01_oil_s1337_scrA_pos_00001_.png,S01_oil,1337,scrA_pos,122.4023063659668,5.695880558879148,,1.0559230317059645,-0.8925109863281335,True
S01_oil_s1337_scrB_neg_00001_.png,S01_oil,1337,scrB_neg,153.99882049560546,4.2179309457125616,,0.7819353628791064,30.70400314331053,False
S01_oil_s1337_scrB_pos_00001_.png,S01_oil,1337,scrB_pos,94.77156143188476,6.762406950609029,,1.2536395690013762,-28.523255920410165,False
S01_oil_s4242145_B1_neg_00001_.png,S01_oil,4242145,B1_neg,120.74679565429688,5.474790771600288,,0.9877676890298958,-2.3568931579589787,True
S01_oil_s4242145_B1_pos_00001_.png,S01_oil,4242145,B1_pos,127.93489151000976,5.920900636847334,,1.0682553147733922,4.831202697753909,True
S01_oil_s4242145_B6_neg_00001_.png,S01_oil,4242145,B6_neg,126.74548263549805,8.42434978324431,,1.5199303250345781,3.641793823242196,False
S01_oil_s4242145_B6_pos_00001_.png,S01_oil,4242145,B6_pos,119.84902572631836,4.903706092922859,,0.884731971898244,-3.2546630859374943,True
S01_oil_s4242145_baseline_00001_.png,S01_oil,4242145,baseline,123.10368881225585,5.542589449324039,,1.0,0.0,True
