metric,contrast,delta,ci_lo,ci_hi,t,dz,p,p_holm,n_prompts
color_n_effective,Block+   -  Rand+,0.17984,-0.06328,0.42295,1.561,0.368,0.1352,0.1352,18
color_n_effective,A (odd)   Preset,-0.23896,-0.38964,-0.08829,-3.346,-0.789,0.00462,,18
color_n_effective,A (odd)   Block,0.31141,0.15106,0.47176,4.097,0.966,0.0011,,18
color_n_effective,A (odd)   Rand,-0.00514,-0.1522,0.14193,-0.074,-0.017,0.94184,,18
color_n_effective,S (even)  Preset,-0.07151,-0.25817,0.11514,-0.808,-0.191,0.44298,,18
color_top4_cluster_share,Preset+  -  Block+,0.4258,0.20179,0.6498,4.01,0.945,0.0016,0.0048,18
color_top4_cluster_share,Preset+  -  Rand+,0.23249,0.04248,0.4225,2.581,0.608,0.0197,0.0394,18
color_top4_cluster_share,Block+   -  Rand+,-0.19331,-0.46187,0.07526,-1.519,-0.358,0.14627,0.14627,18
color_top4_cluster_share,A (odd)   Preset,0.23337,0.08388,0.38286,3.294,0.776,0.00562,,18
color_top4_cluster_share,A (odd)   Block,-0.32614,-0.50139,-0.15089,-3.926,-0.925,0.00143,,18
color_top4_cluster_share,A (odd)   Rand,-5e-05,-0.15232,0.15223,-0.001,-0.0,0.99961,,18
color_top4_cluster_share,S (even)  Preset,0.07722,-0.11064,0.26509,0.867,0.204,0.39778,,18
PC1,ICC_diff|Preset+,0.4487,,,,,,,18
PC1,ICC_diff|Block+,0.5496,,,,,,,18
PC1,ICC_diff|Rand+,0.6267,,,,,,,18
PC2,ICC_diff|Preset+,0.4012,,,,,,,18
PC2,ICC_diff|Block+,0.4188,,,,,,,18
PC2,ICC_diff|Rand+,0.3211,,,,,,,18
PC3,ICC_diff|Preset+,0.3617,,,,,,,18
PC3,ICC_diff|Block+,0.489,,,,,,,18
PC3,ICC_diff|Rand+,0.3538,,,,,,,18
stroke_width_median_px,ICC_diff|Preset+,0.1126,,,,,,,18
stroke_width_median_px,ICC_diff|Block+,0.1204,,,,,,,18
stroke_width_median_px,ICC_diff|Rand+,0.2497,,,,,,,18
contour_mean_length_px,ICC_diff|Preset+,0.2517,,,,,,,18
contour_mean_length_px,ICC_diff|Block+,0.2617,,,,,,,18
contour_mean_length_px,ICC_diff|Rand+,0.4993,,,,,,,18
contour_n_components,ICC_diff|Preset+,0.4559,,,,,,,18
contour_n_components,ICC_diff|Block+,0.2749,,,,,,,18
contour_n_components,ICC_diff|Rand+,0.4397,,,,,,,18
crosshatch_entropy_mean,ICC_diff|Preset+,0.2492,,,,,,,18
crosshatch_entropy_mean,ICC_diff|Block+,0.4387,,,,,,,18
crosshatch_entropy_mean,ICC_diff|Rand+,0.496,,,,,,,18
fft_radial_slope,ICC_diff|Preset+,0.3672,,,,,,,18
fft_radial_slope,ICC_diff|Block+,0.5636,,,,,,,18
fft_radial_slope,ICC_diff|Rand+,0.3983,,,,,,,18
color_n_effective,ICC_diff|Preset+,0.391,,,,,,,18
color_n_effective,ICC_diff|Block+,0.6082,,,,,,,18
color_n_effective,ICC_diff|Rand+,0.5338,,,,,,,18
color_top4_cluster_share,ICC_diff|Preset+,0.3981,,,,,,,18
color_top4_cluster_share,ICC_diff|Block+,0.5565,,,,,,,18
color_top4_cluster_share,ICC_diff|Rand+,0.445,,,,,,,18
