family,prompt_sha1,seed,pos_arm,neg_arm,delta,matches_prediction
blockshuffle,0a1c94584d,9999,2.735072,2.405945,0.329128,yes
blockshuffle,0aa12a28b0,1337,2.857393,2.522217,0.335176,yes
blockshuffle,0aa12a28b0,42,2.908933,2.641963,0.26697,yes
blockshuffle,0aa12a28b0,4242145,2.817379,2.565808,0.251571,yes
blockshuffle,0aa12a28b0,777,2.822416,2.519102,0.303314,yes
blockshuffle,0aa12a28b0,9999,2.897925,2.56493,0.332995,yes
blockshuffle,0dee1ceb78,1337,3.141357,3.01612,0.125237,yes
blockshuffle,0dee1ceb78,42,3.236567,3.148428,0.088139,yes
blockshuffle,0dee1ceb78,4242145,3.090065,3.152923,-0.062857,no
blockshuffle,0dee1ceb78,777,3.165081,3.046028,0.119053,yes
blockshuffle,0dee1ceb78,9999,3.374824,3.077567,0.297257,yes
blockshuffle,2adb8ea1cd,1337,2.927968,2.868161,0.059806,yes
blockshuffle,2adb8ea1cd,42,2.99325,2.851353,0.141896,yes
blockshuffle,2adb8ea1cd,4242145,2.969383,2.756997,0.212387,yes
blockshuffle,2adb8ea1cd,777,2.984724,2.839579,0.145145,yes
blockshuffle,2adb8ea1cd,9999,3.031122,2.819391,0.211731,yes
blockshuffle,2b36c75165,1337,3.008557,2.661745,0.346812,yes
blockshuffle,2b36c75165,42,3.010252,2.678336,0.331915,yes
blockshuffle,2b36c75165,4242145,2.909449,2.64046,0.268989,yes
blockshuffle,2b36c75165,777,3.015862,2.657735,0.358127,yes
blockshuffle,2b36c75165,9999,3.055489,2.660927,0.394562,yes
blockshuffle,2f3689f658,1337,3.081191,2.827741,0.25345,yes
blockshuffle,2f3689f658,42,3.117672,3.029348,0.088323,yes
blockshuffle,2f3689f658,4242145,3.051884,2.915428,0.136456,yes
blockshuffle,2f3689f658,777,3.062163,2.828737,0.233425,yes
blockshuffle,2f3689f658,9999,2.997958,2.858312,0.139646,yes
blockshuffle,3d8a617173,1337,3.192071,3.050486,0.141584,yes
blockshuffle,3d8a617173,42,3.309866,3.011499,0.298367,yes
blockshuffle,3d8a617173,4242145,3.075919,2.931577,0.144343,yes
blockshuffle,3d8a617173,777,2.965611,2.937588,0.028023,yes
blockshuffle,3d8a617173,9999,3.331691,3.082543,0.249148,yes
blockshuffle,402376662d,1337,3.17094,2.861179,0.309761,yes
blockshuffle,402376662d,42,3.173336,3.097879,0.075458,yes
blockshuffle,402376662d,4242145,3.141259,2.963713,0.177545,yes
blockshuffle,402376662d,777,3.172187,2.997194,0.174993,yes
blockshuffle,402376662d,9999,3.147444,2.847525,0.299919,yes
