file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share,condition,prompt_dir,prompt_sha1,seed,rel_path,source_manifest
S1_photo_baseline_seed42_00001_.png,1024,1280,2.799999952316284,2.000290632247925,0.714389523683097,0.14224166870117189,46.95013850415513,3971,3.6756391525268555,4.079207897186279,0.4844,0.917755896369337,12.737617815972678,34.807037353515625,3,22.0,4.773055723276232,5.348999762072848,0.6390931248351996,0.13826300390792395,0.9374581027097215,3.1683059604721984,0.8816154479980468,-3.5371043224384846,1.312428497032148e-05,baseline,S1,3dd4956c29,42,renders/S1_photo_baseline_seed42_00001_.png,stage9_images.csv
S1_photo_baseline_seed777_00001_.png,1024,1280,2.799999952316284,1.947247862815857,0.6954456771347468,0.14872894287109376,43.56245810055866,4475,3.709623098373413,4.082992076873779,0.52415,0.9089407810225054,12.430075240561493,34.34893798828125,2,22.0,4.755671262927035,5.907467226764316,0.6301097711937251,0.13013674578886525,0.9313304328384973,3.1981115918574066,0.8718101501464843,-3.423792891156879,1.4584063327051986e-05,baseline,S1,3dd4956c29,777,renders/S1_photo_baseline_seed777_00001_.png,stage9_images.csv
S1_photo_baseline_seed1337_00001_.png,1024,1280,2.799999952316284,1.976649284362793,0.7059461850089036,0.14244766235351564,56.54421562689279,3302,3.6508476734161377,4.064269542694092,0.47415,0.917159840792551,12.716584797161234,35.525760650634766,3,22.0,5.131379637181829,4.816903911166305,0.6396140082307813,0.1262239275719765,0.9463587180267641,3.1463051485279543,0.8875297546386719,-3.7003919055473444,7.637704732965923e-06,baseline,S1,3dd4956c29,1337,renders/S1_photo_baseline_seed1337_00001_.png,stage9_images.csv
S1_photo_baseline_seed9999_00001_.png,1024,1280,2.799999952316284,1.9901723861694336,0.7107758643078099,0.14885025024414061,45.06837606837607,4329,3.7177553176879883,4.08363151550293,0.5282,0.9016343223888459,12.180802585616377,33.10068893432617,2,22.0,4.983364722011507,5.6974478867655485,0.6335141602133341,0.13207507888834874,0.935054015746781,3.18763861313874,0.8776596069335938,-3.4839713287749148,1.3567715500928675e-05,baseline,S1,3dd4956c29,9999,renders/S1_photo_baseline_seed9999_00001_.png,stage9_images.csv
S1_photo_baseline_seed4242145_00001_.png,1024,1280,2.799999952316284,2.0166046619415283,0.7202159629586077,0.14386749267578125,46.34308183828951,4069,3.7360432147979736,4.084783554077148,0.5151,0.9049546852148735,12.293456812428841,33.722190856933594,3,23.0,4.813217237487635,5.528737560962528,0.6409179244869943,0.13831589532768024,0.9305112226691846,3.1966358522968616,0.8705787658691406,-3.414034080014457,1.687227988728447e-05,baseline,S1,3dd4956c29,4242145,renders/S1_photo_baseline_seed4242145_00001_.png,stage9_images.csv
S1_photo_preset_pos_1x_seed42_00001_.png,1024,1280,2.799999952316284,1.9007130861282349,0.6788261137489952,0.12291336059570312,44.3937723890879,3629,3.6783390045166016,4.08709716796875,0.57595,0.8739171061351164,11.279790944877732,34.959815979003906,2,23.0,4.86112794366957,3.8204355031635284,0.6769179561956367,0.1748580945762258,0.9551333961833726,3.2156033215476465,0.85284423828125,-3.3688775007241714,1.7715743118041483e-05,preset_pos_1x,S1,3dd4956c29,42,renders/S1_photo_preset_pos_1x_seed42_00001_.png,stage9_images.csv
S1_photo_preset_pos_1x_seed777_00001_.png,1024,1280,2.799999952316284,1.9394348859786987,0.6926553282168137,0.130377197265625,41.02953181272509,4165,3.715968608856201,4.089432716369629,0.61875,0.8461324051877905,10.443472730303162,32.512855529785156,3,22.5,4.748311436341149,4.2377084575828246,0.66865635992014,0.16879281792867357,0.9492500865980806,3.217359525321784,0.8533508300781251,-3.326323231937235,1.9621611032812974e-05,preset_pos_1x,S1,3dd4956c29,777,renders/S1_photo_preset_pos_1x_seed777_00001_.png,stage9_images.csv
S1_photo_preset_pos_1x_seed1337_00001_.png,1024,1280,2.799999952316284,2.1366047859191895,0.7630731508233403,0.10787582397460938,47.11596134621793,3001,3.64579439163208,4.068190574645996,0.5944,0.8593350949321144,10.832845759437946,38.349884033203125,1,22.0,4.961066885720728,3.545650601696065,0.6965598470382118,0.17697006224923634,0.9586749678219065,3.1933304830562896,0.8624702453613282,-3.4688671445107526,1.3816294283174758e-05,preset_pos_1x,S1,3dd4956c29,1337,renders/S1_photo_preset_pos_1x_seed1337_00001_.png,stage9_images.csv
S1_photo_preset_pos_1x_seed9999_00001_.png,1024,1280,2.799999952316284,1.9030085802078247,0.6796459330770958,0.13502349853515624,38.415020620794444,4607,3.721435070037842,4.0891923904418945,0.5302499999999999,0.9124258510580653,12.550765058088539,32.17899703979492,3,23.0,4.683325428744745,4.507825319592037,0.6568869179201409,0.1557112037130654,0.9461831269218164,3.230861734688328,0.8480316162109375,-3.2696242885501614,2.17994150665529e-05,preset_pos_1x,S1,3dd4956c29,9999,renders/S1_photo_preset_pos_1x_seed9999_00001_.png,stage9_images.csv
S1_photo_preset_pos_1x_seed4242145_00001_.png,1024,1280,2.799999952316284,1.8720076084136963,0.6685741572477845,0.13831710815429688,39.81880079068746,4553,3.716708183288574,4.088112831115723,0.5821,0.8804586916164795,11.486240477223708,31.27625846862793,3,23.0,4.937323269074469,4.01534312148447,0.6583131847802237,0.15607829181589356,0.9501479393504627,3.227275841446067,0.8528854370117188,-3.3542402240042004,1.8218941752154037e-05,preset_pos_1x,S1,3dd4956c29,4242145,renders/S1_photo_preset_pos_1x_seed4242145_00001_.png,stage9_images.csv
