run_id,prompt_id,seed,condition,cond_tag,dose_target_D,angle_deg,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
0,P01,1618033,B1_neg,B1_neg_d030,0.03,-15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_neg_d030_00001_.png,P01_s1618033_B1_neg_d030_00001_.png,1024,1280,2.799999952316284,2.054537773132324,0.7337635029003194,0.11739273071289062,65.2540288379983,2358,3.3954784870147705,4.061988353729248,0.4916,0.9077580913279989,12.3893823850061,43.22626495361328,1,20.0,5.486113720111898,7.116570194209201,0.7061699224626974,0.18725362848793153,0.8917438594420277,3.1635486983920456,0.8668807983398437,-3.3741900740005804,1.9873042167523296e-05
1,P01,1618033,B1_neg,B1_neg_d045,0.045001,-23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_neg_d045_00001_.png,P01_s1618033_B1_neg_d045_00001_.png,1024,1280,2.799999952316284,1.8354464769363403,0.6555166100692171,0.11754608154296875,46.80133657351154,3292,3.715956211090088,4.098620414733887,0.49055,0.9180980526862499,12.749707201955053,42.58190155029297,3,23.0,4.28226509364602,6.749028902019774,0.6657596527179652,0.13731922474992508,0.8977406770914195,2.982121697783664,0.9293563842773437,-3.375300855816415,1.6298249987620098e-05
2,P01,1618033,B1_neg,B1_neg_d060,0.06,-31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_neg_d060_00001_.png,P01_s1618033_B1_neg_d060_00001_.png,1024,1280,2.799999952316284,1.5407867431640625,0.5502809890726803,0.14896087646484374,46.95670995670996,4158,4.010376930236816,4.105775833129883,0.40335,0.9553974786155064,14.138820971079037,43.362754821777344,1,24.0,3.017076217002622,3.1487852447764255,0.6040822008815837,0.1459238807953112,0.8692601997076163,2.5110646327102306,0.9677261352539063,-3.9425911792617763,2.4244695937807797e-06
3,P01,1618033,B1_pos,B1_pos_d030,0.03,15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_pos_d030_00001_.png,P01_s1618033_B1_pos_d030_00001_.png,1024,1280,2.799999952316284,1.9719845056533813,0.7042801925843135,0.14523696899414062,57.91451171280803,3287,3.2420692443847656,3.9979093074798584,0.5149999999999999,0.9056007447129122,12.31549729060804,45.16920852661133,1,20.0,5.398145514896759,8.663748854144439,0.6680211905201339,0.19065725001773304,0.8564136532152995,3.0483334654534295,0.913067626953125,-3.5037385609110014,1.6097427927998814e-05
4,P01,1618033,B1_pos,B1_pos_d045,0.045001,23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_pos_d045_00001_.png,P01_s1618033_B1_pos_d045_00001_.png,1024,1280,4.0,2.2284343242645264,0.5571085810661316,0.1477294921875,47.29653150952613,4094,3.178415536880493,3.9801549911499023,0.5398,0.883125441283058,11.571482184380232,56.622100830078125,1,21.0,6.257523471789778,10.323622545095933,0.6709087685932958,0.23408088969088034,0.8453356169372284,2.8749013361178513,0.9502655029296874,-3.143798227429622,5.0769571827496976e-05
5,P01,1618033,B1_pos,B1_pos_d060,0.06,31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_pos_d060_00001_.png,P01_s1618033_B1_pos_d060_00001_.png,1024,1280,2.799999952316284,2.57524037361145,0.919728720524119,0.15108566284179686,32.51206698407486,6091,3.4871373176574707,4.003846168518066,0.4155,0.9591511573121597,14.286737818867099,63.6583251953125,1,23.0,5.2513729591370275,16.367810035149866,0.6028505207114698,0.14269131949330094,0.8668682503591458,2.859138513530066,0.9526893615722656,-3.1259876929792476,4.379100553746932e-05
6,P01,1618033,B6_neg,B6_neg_d030,0.03,-21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_neg_d030_00001_.png,P01_s1618033_B6_neg_d030_00001_.png,1024,1280,2.0,0.30844101309776306,0.15422050654888153,0.35623779296875,51.06386701662292,9144,1.7186847925186157,1.9635716676712036,0.386,0.9583421985116579,14.254729859978587,43.711143493652344,1,26.0,2.0011555255651667,15.97017147703041,0.2548049963515015,0.07867785928809842,0.5212249581598145,2.7052665620075027,0.8269912719726563,-2.237445308336878,0.0001135657837129076
7,P01,1618033,B6_neg,B6_neg_d045,0.045001,-32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_neg_d045_00001_.png,P01_s1618033_B6_neg_d045_00001_.png,1024,1280,2.0,0.6374499201774597,0.31872496008872986,9.1552734375e-05,7.0588235294117645,17,3.680419683456421,3.8047022819519043,0.4,0.948781258943566,13.881822054751272,19.784334182739258,1,26.0,2.532758895228993,0.9812567972256807,0.6768819746142218,0.3356759855146496,0.4204764598840914,2.8332639098285632,0.7445892333984374,-1.9047828422518773,1.0970812388969113e-05
8,P01,1618033,B6_neg,B6_neg_d060,0.06,-43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_neg_d060_00001_.png,P01_s1618033_B6_neg_d060_00001_.png,1024,1280,2.0,0.8187079429626465,0.40935397148132324,0.16120834350585939,41.99105723370429,5032,3.8740575313568115,3.997694730758667,0.38159999999999994,0.9658903497104858,14.556195208587953,36.69771194458008,1,26.0,2.5711369511267996,2.593893788569549,0.5788162784528359,0.1783608471538606,0.7444615966890212,3.113110898769493,0.7785301208496093,-2.2253496599981584,2.4297525680327286e-05
9,P01,1618033,B6_pos,B6_pos_d030,0.03,21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_pos_d030_00001_.png,P01_s1618033_B6_pos_d030_00001_.png,1024,1280,2.799999952316284,1.3392224311828613,0.47829373356774424,0.000677490234375,52.23529411764706,17,3.5676794052124023,3.990342617034912,0.7401000000000001,0.7370475432758044,7.7178027545639205,35.338565826416016,0,19.0,5.1578125690115595,0.1321338705119719,0.9434287213608347,0.47514564723510644,0.9910039197138429,2.2762845126110123,0.9782417297363282,-3.588077059162068,1.130677298199892e-06
10,P01,1618033,B6_pos,B6_pos_d045,0.045001,32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_pos_d045_00001_.png,P01_s1618033_B6_pos_d045_00001_.png,1024,1280,2.4000000953674316,0.9260129928588867,0.38583873169268246,0.0,0.0,0,3.2971279621124268,3.4524431228637695,0.7575500000000001,0.7097961228195758,7.156154281964688,10.123552322387695,0,,,0.004611148939685574,0.9978644096959922,0.9832888732742934,0.9890017561406936,1.3955148693525312,0.9903755187988281,-2.849140645336563,2.605869215444937e-05
11,P01,1618033,B6_pos,B6_pos_d060,0.06,43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_pos_d060_00001_.png,P01_s1618033_B6_pos_d060_00001_.png,1024,1280,,,,0.0,0.0,0,3.2101974487304688,3.528456449508667,0.36155000000000004,0.9693593570830066,14.696874046094557,10.437246322631836,0,,,0.004321270903864445,0.9978393645480679,0.9936263897635412,0.48603900975140507,1.922929232957189,0.9902702331542969,-2.6205137521125703,4.7471597722114723e-05
12,P01,1618033,baseline,baseline,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,P01_s1618033_baseline_00001_.png,1024,1280,2.799999952316284,2.1863622665405273,0.7808436799193055,0.1252716064453125,60.38837808017654,2719,3.2408008575439453,4.0110182762146,0.53845,0.8760872237847318,11.347864272119237,40.735450744628906,1,17.0,6.00082102473358,8.454860205455198,0.7081300504716196,0.24044979754834422,0.8842833416944975,3.1647645161075393,0.8342964172363281,-3.4003244270000765,1.9690473785335728e-05
13,P01,1618033,scrA_neg,scrA_neg_d030,0.03,-15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_neg_d030_00001_.png,P01_s1618033_scrA_neg_d030_00001_.png,1024,1280,2.799999952316284,1.8235628604888916,0.651272461265708,0.14099655151367188,55.782372472079686,3313,3.4647111892700195,4.047573089599609,0.47705000000000003,0.917890989815507,12.742389693445164,34.940216064453125,1,21.0,4.988305273616515,7.11207533407229,0.6659531895887307,0.18851287024084584,0.8780905107250445,3.1055911057214693,0.9016036987304688,-3.425994205795326,1.8242506771733253e-05
14,P01,1618033,scrA_neg,scrA_neg_d045,0.045001,-23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_neg_d045_00001_.png,P01_s1618033_scrA_neg_d045_00001_.png,1024,1280,4.0,1.8842666149139404,0.4710666537284851,0.13249130249023439,53.8644540942928,3224,3.552006244659424,4.005072593688965,0.4737,0.9215997842894008,12.874095199835443,38.988380432128906,1,22.0,4.765015575787764,7.843220011739312,0.6647373379519348,0.16358762578902436,0.8371123714480238,2.88573504730261,0.9474922180175782,-3.2804624043647896,2.7708813898852065e-05
