feature,PC1,PC2,PC3,PC4
EXPLAINED_VARIANCE_RATIO,0.31138,0.16457,0.10499,0.09057
stroke_width_median_px,-0.1958990931863906,-0.22637988938554596,0.1423803485553834,-0.45693763079965927
stroke_width_std_px,-0.14584798710111735,-0.029262757633140124,-0.0775594822180982,0.11867396674612543
stroke_width_cv,0.08691823692050557,0.22855970746495372,-0.2246914397347638,0.5775871200288218
edge_density,0.1642487358509298,0.14401019984301966,0.1186952177799218,-0.0218430181384632
contour_mean_length_px,-0.31102881016651557,-0.12703647727183956,0.221635793008867,0.10805509072734473
contour_n_components,0.2585578538889833,0.1959233538583954,-0.01232229276304295,-0.04209608580846341
crosshatch_entropy_mean,0.3769982655109821,-0.17164879943113465,-0.35572844953708566,-0.15511601521687765
crosshatch_entropy_p90,0.3498368379672075,-0.16478990229978732,-0.19787892035230525,-0.17060617281771753
color_top4_cluster_share,-0.21403221802142103,0.17791829477496687,-0.25365309467580605,0.010104709879439882
color_cluster_entropy_norm,0.22087633490535732,-0.17862135224976286,0.27638824317045674,0.02634425775317246
color_n_effective,0.20814894478944937,-0.1639653918361292,0.2555290098380578,0.014453351513927026
colorfulness_hs,0.007207611790564373,0.0617674272662288,0.07757691845090842,0.008715067130995055
luminance_hist_n_peaks,0.036788280543780784,-0.10597331128823409,0.5873142707775595,0.26649610597781953
shadow_edge_transition_width_px,0.26482106530031924,0.019110355636894755,-0.023275563275746505,0.0966758488409317
shadow_edge_transition_width_std,0.2404242381764134,0.15907085615253455,0.0579581840281055,0.30941345095324935
glcm_contrast,0.059406433403434634,0.24714742192053155,0.11751100215078784,-0.10901028754034517
glcm_homogeneity,-0.20121126882292464,-0.04520080168824757,-0.06344587049695567,0.010931546985492133
glcm_energy,-0.2248330784376215,0.10040109618565835,-0.22168293928051228,-0.09105899136141068
glcm_correlation,-0.07689040160821352,-0.19386366509344224,-0.10352568597916209,0.061105609055747585
lbp_entropy,0.26003795880095704,-0.22888671485757975,-0.04266966444521596,-0.037080883385176726
lbp_uniform_share,-0.12915800974458555,0.31792851166597424,0.04606390013750608,0.03741501196845652
fft_radial_slope,0.14067461689283983,0.48819005424663287,0.13606650651750324,-0.31988408170748267
fft_high_freq_share,0.07671636326195544,0.3605953341105357,0.18201691635664013,-0.26478657952380585
