type,report,prompt_id,seed,block,rot_kind,angle_deg,image_path,file,condition,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
rotX,benchmark_elf_brawler,elf_brawler,,Block_5,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_5_rotX_-15.0_00001_.png,Block_5_rotX_-15.0_00001_.png,,,,,1024,1760,98.9355,0.4408,218.07,0.1898,#fbfcfc,2.7214,0.8073,8.02,0.1562,#0c090a,0.8203,69.4534,5.907,6,0.262,76.2892,2.5774,0.8219,2.33,0.1904,#0c0909,25.8443,19.4584,37.68,0.0715,#58342c,43.2991,77.1111,305.16,0.0057,#6d4ed0,55.0617,33.6372,116.2,0.0421,#7c8a4e,65.877,50.0698,62.21,0.0584,#db8e51,72.0308,24.3523,256.24,0.0168,#88b6db
rotX,benchmark_elf_brawler,elf_brawler,,Block_5,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_5_rotX_+15.0_00001_.png,Block_5_rotX_+15.0_00001_.png,,,,,1024,1760,99.7208,0.08,233.33,0.1725,#fefefe,4.1065,0.7434,15.0,0.1605,#100e0e,0.8293,67.7684,13.9927,5,0.2269,72.8112,3.2024,0.7501,342.93,0.1822,#0d0b0c,43.5715,73.5614,301.65,0.0057,#6154d0,45.7531,23.4141,131.44,0.0447,#5d734e,59.9929,39.663,110.32,0.0407,#8f964d,65.3471,52.3814,69.81,0.0407,#d39145,70.9707,20.2305,71.93,0.0399,#c6a98b
rotX,benchmark_elf_brawler,elf_brawler,,Block_5,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_5_rotX_+30.0_00001_.png,Block_5_rotX_+30.0_00001_.png,,,,,1024,1760,99.3338,0.3352,273.0,0.1806,#fdfdfe,2.7114,0.4316,54.38,0.2,#0b0a09,0.822,52.6237,8.7038,5,0.2694,74.3322,1.6534,0.0511,329.87,0.222,#060606,28.5291,23.8562,43.8,0.0368,#63382b,34.6206,31.1539,135.56,0.0317,#375a2d,43.1987,74.3833,301.9,0.0056,#6153d0,53.1123,50.3951,69.61,0.0474,#ae722b,54.2771,48.9941,46.96,0.0257,#c46945
rotX,benchmark_elf_brawler,elf_brawler,,Block_6,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_6_rotX_+15.0_00001_.png,Block_6_rotX_+15.0_00001_.png,,,,,1024,1760,90.3095,12.9564,111.87,0.097,#e4e5cc,2.4424,3.0521,70.13,0.3534,#0e0802,0.9131,67.0477,14.4634,5,0.4049,71.6843,1.606,1.6554,82.39,0.3512,#080602,43.712,73.3397,301.32,0.0053,#6055d1,50.8102,56.8067,113.72,0.0537,#6b8210,54.2262,65.8956,62.81,0.0226,#c46b11,63.1709,64.1128,83.26,0.0298,#c19217,68.6537,38.3145,95.18,0.023,#b8a762
rotX,benchmark_elf_brawler,elf_brawler,,Block_6,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_6_rotX_-30.0_00001_.png,Block_6_rotX_-30.0_00001_.png,,,,,1024,1760,79.1161,21.7487,308.67,0.2056,#cfbde4,7.9976,14.276,283.08,0.2683,#0f172a,0.4485,63.0054,11.3803,4,0.6596,103.9925,7.9902,14.2781,283.09,0.5957,#0f172a,42.5153,74.403,303.03,0.01,#6350cd,50.5038,118.2705,319.37,0.0009,#c301ff,54.2395,43.5192,164.85,0.0006,#12936d,66.577,29.4953,297.69,0.0639,#a39cd1,70.9956,15.8044,344.43,0.0239,#c6a5b6
rotX,benchmark_elf_brawler,elf_brawler,,Block_6,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_6_rotX_-15.0_00001_.png,Block_6_rotX_-15.0_00001_.png,,,,,1024,1760,93.1624,10.7173,307.91,0.2115,#f1e8fc,8.2826,14.7462,284.83,0.3045,#10172b,0.8066,76.5133,9.9482,5,0.1472,72.1508,4.9823,30.8198,299.41,0.0975,#0c0a35,33.4834,13.9344,271.58,0.0409,#425065,43.3167,77.1905,305.14,0.006,#6d4fd1,50.9237,5.0397,123.16,0.0389,#787a72,55.451,35.1455,13.14,0.0496,#c06d78,81.4956,20.8119,308.91,0.0297,#d5c4e9
rotX,benchmark_elf_brawler,elf_brawler,,Block_6,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_6_rotX_+30.0_00001_.png,Block_6_rotX_+30.0_00001_.png,,,,,1024,1760,7.9894,14.2815,283.1,0.2682,#0f172a,0.0809,0.1876,39.58,0.6563,#010000,0.7329,81.744,3.9879,6,0.8839,73.9935,0.0472,0.1193,31.22,0.8774,#010000,17.6971,32.5795,52.79,0.0042,#4b1e01,27.264,35.3189,92.98,0.0065,#4b4002,43.2819,74.1128,301.57,0.0064,#6054d0,59.8134,48.7761,162.99,0.0003,#11a476,81.7912,5.6546,131.52,0.0023,#c7cdc3
rotX,benchmark_flag,flag,,Block_1,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_1_rotX_-15.0_00001_.png,Block_1_rotX_-15.0_00001_.png,,,,,1024,1760,46.4353,62.791,29.89,0.1067,#c63c3d,1.195,1.4965,59.25,0.5545,#080401,0.8737,67.943,14.3683,4,0.6302,113.8225,1.1407,1.4381,61.96,0.6243,#070401,42.3863,74.242,302.97,0.005,#6350cd,52.3279,54.8639,22.87,0.0059,#d1535b,53.3784,115.2606,322.08,0.0007,#d50bfc,65.1696,17.5775,169.37,0.0006,#7da798,69.0837,35.1896,41.21,0.0015,#e29680
rotX,benchmark_flag,flag,,Block_1,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_1_rotX_+15.0_00001_.png,Block_1_rotX_+15.0_00001_.png,,,,,1024,1760,98.3647,0.2228,169.3,0.0767,#fafafa,2.0896,0.9013,4.46,0.4891,#0a0707,0.924,72.7595,8.9987,5,0.2828,72.9938,0.5673,0.2798,345.21,0.2185,#030202,17.1893,29.9173,29.19,0.0131,#4f1717,36.9829,56.6337,32.4,0.022,#a12c29,43.8553,73.2736,301.29,0.0051,#6156d1,46.0595,72.0792,33.14,0.0643,#cd302f,73.3269,2.9551,153.99,0.0031,#b0b5b2
rotX,benchmark_flag,flag,,Block_1,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_1_rotX_-30.0_00001_.png,Block_1_rotX_-30.0_00001_.png,,,,,1024,1760,64.295,22.9362,65.68,0.0372,#b99577,7.974,14.2147,283.17,0.2693,#0f172a,0.9791,64.1164,9.2983,4,0.375,63.859,7.974,14.2396,283.13,0.2747,#0f172a,34.0797,23.8593,106.74,0.1003,#52522b,38.6208,40.6879,49.68,0.0338,#8d4829,43.3951,78.0986,305.51,0.0052,#6f4ed2,50.0666,34.2391,71.52,0.0428,#986f40,72.0904,17.4717,71.68,0.0093,#c6ac93
rotX,benchmark_flag,flag,,Block_1,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_1_rotX_+30.0_00001_.png,Block_1_rotX_+30.0_00001_.png,,,,,1024,1760,84.7905,7.2978,82.29,0.1343,#dcd3c6,1.2808,0.9074,66.1,0.274,#070403,0.8971,81.6935,12.5202,4,0.3989,73.492,0.9806,0.6309,66.29,0.2959,#050302,22.213,33.0576,36.31,0.0238,#5e2219,39.1635,72.2218,38.29,0.1029,#b42014,43.6113,74.1229,301.38,0.0056,#6055d2,45.8557,30.8145,82.71,0.0363,#826939,82.6741,1.6441,320.79,0.0167,#cfcdd0
rotX,benchmark_flag,flag,,Block_2,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_2_rotX_-30.0_00001_.png,Block_2_rotX_-30.0_00001_.png,,,,,1024,1760,43.6765,58.3792,31.21,0.096,#b83b38,0.4588,0.8214,356.45,0.5742,#040102,0.8895,76.4775,11.1286,5,0.6502,117.3454,0.4217,0.7579,354.15,0.638,#030102,34.3544,44.6112,29.69,0.0123,#8d3230,42.5191,74.3553,303.08,0.0051,#6450cd,50.549,118.1032,319.42,0.0005,#c302ff,54.8007,44.0147,164.67,0.0002,#12956e,76.8992,16.499,66.35,0.0024,#d5b9a2
rotX,benchmark_flag,flag,,Block_2,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_2_rotX_-15.0_00001_.png,Block_2_rotX_-15.0_00001_.png,,,,,1024,1760,45.8691,65.0718,30.04,0.11,#c7373a,1.5275,0.8123,53.54,0.5431,#080504,0.883,71.1439,12.2208,4,0.6254,115.0059,1.4879,0.7384,58.72,0.6055,#070504,37.6727,51.0073,28.05,0.02,#9f3235,42.4337,74.4477,302.86,0.0054,#6250cd,53.2831,115.7443,321.95,0.0005,#d408fd,55.1433,44.3241,164.58,0.0003,#12966e,72.6318,2.0609,274.51,0.0004,#b1b2b6
rotX,benchmark_flag,flag,,Block_2,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_2_rotX_+15.0_00001_.png,Block_2_rotX_+15.0_00001_.png,,,,,1024,1760,38.8652,60.3395,31.84,0.0819,#ab2b2b,1.1014,1.1998,42.89,0.5302,#070302,0.9013,56.8206,6.757,5,0.6004,73.1992,1.0216,1.103,45.97,0.5764,#070302,10.379,19.5072,23.87,0.0141,#341112,31.2856,46.6816,29.95,0.024,#872827,42.4939,74.3021,303.07,0.0048,#6450cd,57.4463,67.7032,280.75,0.0005,#008aff,57.8422,46.847,163.67,0.0002,#119e73
rotX,benchmark_flag,flag,,Block_2,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_2_rotX_+30.0_00001_.png,Block_2_rotX_+30.0_00001_.png,,,,,1024,1760,42.9187,69.0985,34.35,0.0997,#bf2c28,0.6894,0.5085,158.26,0.5935,#020302,0.8967,72.1535,6.686,5,0.667,76.6467,0.6707,0.5453,161.02,0.6594,#010302,14.6813,27.7618,29.8,0.0054,#461413,34.2953,55.8004,33.12,0.0077,#982623,52.9785,77.1919,287.21,0.0005,#017aff,54.6024,43.8661,164.72,0.0003,#12946d,72.8242,2.2062,274.19,0.0004,#b1b3b7
rotX,benchmark_flag,flag,,Block_3,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_3_rotX_-30.0_00001_.png,Block_3_rotX_-30.0_00001_.png,,,,,1024,1760,44.4503,72.2271,33.65,0.0427,#c82b2a,2.6924,0.726,79.9,0.5728,#0b0a08,0.8994,70.0506,10.7623,5,0.6321,117.4287,2.4414,0.6824,86.4,0.613,#0a0907,36.1047,59.108,32.27,0.0192,#a12525,42.5652,74.3673,303.11,0.005,#6450cd,50.5469,118.1111,319.42,0.0005,#c302ff,55.1518,44.3793,164.52,0.0003,#12966e,72.492,2.2031,275.13,0.0005,#b0b2b6
rotX,benchmark_flag,flag,,Block_3,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_3_rotX_-15.0_00001_.png,Block_3_rotX_-15.0_00001_.png,,,,,1024,1760,44.4654,73.5578,31.33,0.0764,#cb242e,1.5105,2.2118,29.95,0.5208,#0c0403,0.9138,97.3061,11.2643,6,0.5388,116.6564,1.3881,2.5912,26.79,0.503,#0c0302,35.7393,58.5912,28.76,0.0358,#a1212a,42.5344,74.3669,303.07,0.0047,#6450cd,53.1151,116.661,321.71,0.0006,#d304fe,67.2083,34.3643,42.18,0.0023,#db917b,98.6943,0.0046,355.81,0.0142,#fbfbfb
rotX,benchmark_flag,flag,,Block_3,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_3_rotX_+15.0_00001_.png,Block_3_rotX_+15.0_00001_.png,,,,,1024,1760,45.8914,78.4153,34.34,0.1355,#d22426,0.229,0.1591,24.78,0.1696,#010101,0.8645,75.1765,5.2185,6,0.2113,74.2086,0.2064,0.1403,23.22,0.1949,#010101,16.613,31.8904,29.92,0.0127,#4f1414,37.2755,64.3576,34.0,0.0164,#a92221,42.5583,74.3489,303.13,0.0053,#6450cd,57.6085,46.6172,163.74,0.0003,#119d72,75.3829,1.9337,274.25,0.0004,#b8babd
rotX,benchmark_flag,flag,,Block_3,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,,1024,1760,39.6082,60.7226,28.29,0.1416,#af2a32,3.0744,0.2449,314.97,0.5315,#0b0b0c,0.8486,67.7471,6.7611,5,0.6324,76.9793,3.0428,0.2126,302.32,0.6215,#0b0b0b,16.8848,25.4986,22.27,0.0088,#4a191d,32.0919,48.2529,27.38,0.0109,#8c262b,52.9785,77.1919,287.21,0.0006,#017aff,53.8603,43.1822,164.98,0.0004,#12926c,70.7899,2.3415,274.13,0.0005,#abadb1
rotX,benchmark_flag,flag,,Block_4,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_4_rotX_-30.0_00001_.png,Block_4_rotX_-30.0_00001_.png,,,,,1024,1760,48.5197,59.3122,28.68,0.1557,#c94646,2.033,0.4252,148.21,0.4878,#070807,0.8339,72.188,14.3581,4,0.5901,117.9826,1.9604,0.526,158.47,0.5706,#060807,40.9538,46.0336,27.76,0.0195,#a34040,42.4478,74.3256,303.01,0.0052,#6350cd,50.4394,118.5086,319.3,0.0005,#c300ff,52.1609,41.5658,165.66,0.0003,#128d6a,74.1484,2.098,275.77,0.0005,#b5b6ba
rotX,benchmark_flag,flag,,Block_4,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_4_rotX_-15.0_00001_.png,Block_4_rotX_-15.0_00001_.png,,,,,1024,1760,39.7424,60.6625,30.33,0.2195,#af2c2f,3.5565,0.7601,344.07,0.4197,#0e0c0d,0.762,71.4867,9.9125,5,0.1638,116.0901,0.3792,0.3432,2.31,0.1387,#020101,32.4036,46.7351,28.12,0.025,#8b292c,42.3612,74.251,302.93,0.0057,#6350cc,53.1547,116.4333,321.77,0.0006,#d405fe,55.543,44.7394,164.37,0.0003,#12976f,71.8659,2.0752,273.5,0.0006,#afb0b4
rotX,benchmark_flag,flag,,Block_4,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_4_rotX_+15.0_00001_.png,Block_4_rotX_+15.0_00001_.png,,,,,1024,1760,31.8611,55.822,26.82,0.2543,#931827,4.2574,0.7553,68.13,0.373,#100f0d,0.738,71.7232,7.892,5,0.5044,72.7842,4.0829,0.5961,87.88,0.4821,#0f0e0d,19.1329,30.5349,24.52,0.0224,#551a1d,43.9735,73.3803,300.98,0.0061,#6056d2,44.5977,48.0033,36.95,0.0027,#ac4c3c,58.0417,47.5943,65.9,0.0078,#be7d3f,75.8061,16.8046,83.57,0.0179,#cbb99c
rotX,benchmark_flag,flag,,Block_4,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_4_rotX_+30.0_00001_.png,Block_4_rotX_+30.0_00001_.png,,,,,1024,1760,48.6358,66.7484,30.4,0.0335,#d13d3e,0.2313,0.4635,23.63,0.4726,#020000,0.9566,63.8975,8.4447,5,0.7677,74.0731,0.1324,0.3516,21.74,0.4865,#010000,7.993,14.28,283.09,0.2812,#0f172a,32.9095,29.8614,29.8,0.0201,#783c37,35.847,53.5555,30.94,0.0389,#9b2c2b,43.4288,74.4247,301.39,0.0051,#5f54d2,64.0299,15.4347,170.29,0.0007,#7ea396
rotX,benchmark_flag,flag,,Block_5,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_5_rotX_-15.0_00001_.png,Block_5_rotX_-15.0_00001_.png,,,,,1024,1760,40.2987,60.0395,31.06,0.1481,#b02f2f,0.8242,0.1036,51.55,0.1834,#030303,0.8266,67.3653,3.6197,6,0.2335,113.676,0.4023,0.0532,43.26,0.203,#020101,20.588,21.5619,27.91,0.0233,#4f2624,30.6009,46.285,30.55,0.0305,#842726,42.3848,74.279,302.93,0.0052,#6350cd,53.5924,113.7292,322.47,0.0004,#d611fa,67.7677,17.9744,165.61,0.0007,#85ae9d
rotX,benchmark_flag,flag,,Block_5,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_5_rotX_-30.0_00001_.png,Block_5_rotX_-30.0_00001_.png,,,,,1024,1760,48.0336,65.3128,32.72,0.1167,#cc403a,0.7189,0.2879,109.38,0.0984,#030302,0.8563,66.992,8.2587,5,0.1778,117.8484,0.507,0.22,111.7,0.1107,#020201,27.6968,24.7224,33.21,0.0414,#64342e,39.4442,50.0101,32.41,0.0672,#a13a34,42.4931,74.3666,303.05,0.0049,#6350cd,50.5584,118.0684,319.43,0.0005,#c302fe,67.499,19.3068,166.49,0.0006,#81ae9c
rotX,benchmark_flag,flag,,Block_5,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_5_rotX_+30.0_00001_.png,Block_5_rotX_+30.0_00001_.png,,,,,1024,1760,65.1504,47.0242,65.41,0.066,#d38f52,2.5068,2.7079,220.4,0.2362,#020b0d,0.9396,93.8522,16.6376,5,0.365,73.5831,1.0807,0.8001,205.02,0.1519,#020505,37.8516,42.5278,33.65,0.0126,#943e35,43.4302,74.3832,301.73,0.005,#6154d1,51.2055,67.9944,29.1,0.2131,#db4245,53.7562,30.3242,66.71,0.0124,#a37851,94.9328,1.0324,196.05,0.0054,#eef1f1
rotX,benchmark_flag,flag,,Block_5,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_5_rotX_+15.0_00001_.png,Block_5_rotX_+15.0_00001_.png,,,,,1024,1760,42.243,68.7956,31.23,0.2501,#bf262d,2.8782,0.6561,354.24,0.4207,#0c0a0b,0.7497,66.9716,7.7284,5,0.2116,73.5237,0.1283,0.0455,347.48,0.194,#010000,16.3871,26.112,27.45,0.0135,#491919,36.3876,52.8402,30.56,0.0176,#9c2e2d,43.6421,73.5693,301.61,0.0063,#6155d1,65.4592,58.2034,77.61,0.0126,#cd9534,67.0999,16.8212,168.16,0.0007,#85ac9d
rotX,benchmark_flag,flag,,Block_6,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_6_rotX_-30.0_00001_.png,Block_6_rotX_-30.0_00001_.png,,,,,1024,1760,64.3282,44.372,319.87,0.1596,#c088cf,8.0317,14.2497,282.96,0.2685,#0f172a,0.4682,67.8826,12.0464,4,0.587,116.6968,7.9957,14.2771,283.09,0.5696,#0f172a,42.4029,74.5794,302.69,0.0097,#6250cd,50.4395,118.5086,319.3,0.0009,#c300ff,51.8981,46.3525,323.8,0.0175,#a464ab,56.5027,45.6744,164.03,0.0004,#119a70,75.8782,1.8118,279.22,0.0007,#babbbe
rotX,benchmark_flag,flag,,Block_6,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_6_rotX_+15.0_00001_.png,Block_6_rotX_+15.0_00001_.png,,,,,1024,1760,38.9081,61.6955,53.8,0.126,#9c3f00,0.3528,0.5521,108.61,0.4344,#010100,0.7865,67.0094,3.6044,6,0.5595,72.763,0.2091,0.3959,129.24,0.5315,#000100,17.1608,31.2591,54.34,0.0137,#491e00,28.685,51.1625,51.58,0.028,#782b00,43.7989,73.1589,301.56,0.0063,#6255d1,59.9905,64.2633,96.96,0.0136,#a09201,67.2185,15.1381,168.87,0.0007,#88ab9e
rotX,benchmark_flag,flag,,Block_6,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_6_rotX_-15.0_00001_.png,Block_6_rotX_-15.0_00001_.png,,,,,1024,1760,46.653,62.0389,340.99,0.1084,#ba3c92,7.6851,14.3487,283.85,0.2881,#0f1629,0.85,61.7722,5.8832,6,0.1617,59.8645,4.6407,23.2479,297.9,0.0831,#0e0b2c,15.9909,35.44,325.85,0.0302,#421544,21.4148,45.1918,347.4,0.0417,#660543,33.2935,55.9216,345.69,0.0786,#911965,43.204,77.4151,304.8,0.0058,#6b4fd1,66.4129,17.5506,168.28,0.0006,#81aa9b
rotX,benchmark_flag,flag,,Block_6,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\rotations\Block_6_rotX_+30.0_00001_.png,Block_6_rotX_+30.0_00001_.png,,,,,1024,1760,7.9917,14.2802,283.1,0.2682,#0f172a,0.0696,0.3263,19.43,0.5878,#010000,0.7329,73.6688,5.8785,6,0.792,76.9126,0.0596,0.2793,19.37,0.7862,#010000,22.0571,39.8252,300.98,0.0002,#332c68,42.5998,74.5355,303.04,0.0057,#6450cd,52.9785,77.1919,287.21,0.0006,#017aff,59.5252,48.5074,163.07,0.0003,#11a375,73.7283,1.733,273.02,0.0004,#b4b5b8
rotX,benchmark_preraphaelite_altar,preraphaelite_altar,,Block_1,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_preraphaelite_altar\rotations\Block_1_rotX_-15.0_00001_.png,Block_1_rotX_-15.0_00001_.png,,,,,1024,1760,35.227,12.8754,72.45,0.0853,#605040,5.0865,2.0116,81.36,0.3536,#13110d,0.9206,75.6788,4.322,6,0.3447,75.6572,3.8077,1.5708,118.63,0.2829,#0d0e0a,13.0548,21.4237,28.06,0.0618,#3c1615,31.7524,39.9058,34.61,0.016,#7f3229,43.2634,77.2281,305.16,0.0053,#6d4ed1,58.6193,44.4041,58.7,0.0115,#c47c4b,79.4865,23.0237,83.38,0.0126,#dac29b
rotX,benchmark_preraphaelite_altar,preraphaelite_altar,,Block_1,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_preraphaelite_altar\rotations\Block_1_rotX_-30.0_00001_.png,Block_1_rotX_-30.0_00001_.png,,,,,1024,1760,65.1065,26.2697,92.02,0.0458,#ad9d6f,7.9431,14.1376,283.19,0.2707,#0f172a,0.9666,75.8092,10.4632,5,0.3674,64.0423,7.9693,14.2274,283.13,0.2787,#0f172a,25.9104,20.6814,65.03,0.0887,#523821,28.8393,30.1621,44.55,0.0518,#6a3624,43.3654,78.2696,305.66,0.0049,#6f4ed2,50.5582,32.9391,87.8,0.0584,#8c763f,83.7785,22.0876,98.59,0.0073,#dbd1a8
rotX,benchmark_preraphaelite_altar,preraphaelite_altar,,Block_1,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_preraphaelite_altar\rotations\Block_1_rotX_+15.0_00001_.png,Block_1_rotX_+15.0_00001_.png,,,,,1024,1760,62.2919,25.2574,80.43,0.0462,#ad936b,5.0599,1.1267,48.71,0.2926,#131110,0.9795,67.4765,11.6953,3,0.3133,72.5665,4.3186,0.7885,40.01,0.2616,#110f0e,32.2315,18.4746,307.21,0.0164,#524763,35.8626,47.0319,38.56,0.0329,#913727,40.8264,20.5788,78.23,0.0516,#725d3f,44.1035,73.355,301.29,0.0052,#6156d2,71.7951,38.2719,79.39,0.0114,#d2aa6b
rotX,benchmark_preraphaelite_altar,preraphaelite_altar,,Block_1,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_preraphaelite_altar\rotations\Block_1_rotX_+30.0_00001_.png,Block_1_rotX_+30.0_00001_.png,,,,,1024,1760,78.9701,7.98,266.15,0.058,#bbc4d2,5.6549,4.0285,33.59,0.2126,#19110f,0.966,76.9881,5.7079,6,0.2592,69.7959,4.1276,2.2577,15.89,0.1816,#130d0d,13.9546,28.5579,28.52,0.0755,#451111,26.2267,45.5038,33.69,0.0776,#761e1a,42.043,72.0536,301.05,0.0055,#5b52cb,54.9588,44.3433,87.15,0.0323,#9d8034,81.1157,13.1745,103.38,0.0448,#cecab2
rotX,benchmark_preraphaelite_altar,preraphaelite_altar,,Block_2,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_preraphaelite_altar\rotations\Block_2_rotX_-15.0_00001_.png,Block_2_rotX_-15.0_00001_.png,,,,,1024,1760,40.4268,12.7879,74.29,0.074,#6c5d4b,6.5746,2.2981,53.05,0.3389,#181412,0.9436,61.0204,8.7452,5,0.5546,77.1009,5.099,1.1897,55.38,0.2663,#13110f,8.1164,14.2543,283.51,0.2883,#10172a,16.8315,25.7413,33.23,0.0591,#491b16,43.6058,78.2906,305.78,0.0051,#704ed2,60.8519,19.0692,82.44,0.0189,#a49072,66.1194,43.8512,71.11,0.0115,#ce9656
rotX,benchmark_preraphaelite_altar,preraphaelite_altar,,Block_2,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_preraphaelite_altar\rotations\Block_2_rotX_-30.0_00001_.png,Block_2_rotX_-30.0_00001_.png,,,,,1024,1760,58.7786,26.2248,77.16,0.0321,#a78961,7.5402,1.2728,119.33,0.2851,#161715,0.9911,69.4069,12.4825,4,0.5192,76.7906,6.3012,1.1862,108.05,0.2481,#141412,7.9867,14.2848,283.1,0.271,#0f172a,33.1442,38.4439,36.61,0.0378,#81372b,36.8527,26.9814,68.74,0.0292,#71502e,43.2772,77.9768,305.28,0.005,#6d4ed1,75.7081,43.0172,74.64,0.006,#e6b16e
rotX,benchmark_preraphaelite_altar,preraphaelite_altar,,Block_2,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_preraphaelite_altar\rotations\Block_2_rotX_+15.0_00001_.png,Block_2_rotX_+15.0_00001_.png,,,,,1024,1760,37.5363,20.5209,66.81,0.0775,#6f533a,5.1008,2.3555,45.54,0.3433,#15100e,0.9393,69.1706,8.5489,5,0.3216,72.0262,3.7103,1.2622,61.82,0.2749,#0f0d0b,16.0842,28.6235,30.82,0.0467,#4a1614,32.0082,45.3622,36.12,0.0088,#852e23,36.2336,18.1774,312.83,0.0269,#5f4f6b,43.9205,73.2884,300.99,0.0051,#6056d2,72.881,27.4517,82.32,0.0205,#cbaf81
