type,report,prompt_id,seed,block,rot_kind,angle_deg,image_path,file,condition,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
rotX,benchmark_combat_robot,combat_robot,,Block_5,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_5_rotX_+30.0_00001_.png,Block_5_rotX_+30.0_00001_.png,,,,,1024,1760,74.9827,12.5188,77.48,0.0324,#c7b6a2,4.0125,3.6704,289.72,0.2414,#0e0e14,0.9829,83.7505,8.2735,5,0.3154,71.4814,2.6393,2.7066,291.08,0.1709,#09090f,14.7163,11.6709,280.41,0.1445,#1e2535,43.3219,74.188,302.08,0.0049,#6253d0,47.6706,18.7753,259.17,0.0366,#567490,64.5353,20.1179,73.67,0.0083,#b3987a,86.3898,5.7703,225.88,0.0069,#ccdbe0
rotX,benchmark_combat_robot,combat_robot,,Block_6,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_6_rotX_-15.0_00001_.png,Block_6_rotX_-15.0_00001_.png,,,,,1024,1760,46.2881,48.377,293.66,0.0456,#5e67b8,6.439,36.8809,299.83,0.1145,#090d3f,0.9459,79.4119,4.1634,6,0.1549,101.4575,3.8435,30.4484,296.96,0.0465,#060733,21.1457,48.4936,298.76,0.1085,#262a73,38.4522,67.1634,297.76,0.0216,#454ebc,53.3445,114.9105,322.13,0.0004,#d50cfc,61.9783,38.6891,288.73,0.0089,#8692d7,83.2554,13.453,282.58,0.0036,#c9cfe8
rotX,benchmark_combat_robot,combat_robot,,Block_6,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_6_rotX_+30.0_00001_.png,Block_6_rotX_+30.0_00001_.png,,,,,1024,1760,7.9793,14.2766,283.05,0.2692,#0f172a,0.0114,0.0141,354.41,0.7245,#000000,0.7313,96.0328,12.4596,5,0.9925,77.1769,0.0081,0.015,5.73,0.992,#000000,19.6101,33.4489,303.87,0.0001,#332758,49.8701,67.8487,334.93,0.0001,#c243a9,52.9785,77.1919,287.21,0.0005,#017aff,60.6548,49.5136,162.8,0.0003,#11a677,96.0409,0.4475,277.42,0.0001,#f3f4f4
rotX,benchmark_elf_brawler,elf_brawler,,Block_1,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_1_rotX_-30.0_00001_.png,Block_1_rotX_-30.0_00001_.png,,,,,1024,1760,76.7725,15.4429,93.19,0.204,#c7bda1,7.9225,14.0964,283.24,0.2715,#0f1729,0.8332,71.4287,11.84,4,0.4048,67.0648,7.9593,14.2151,283.13,0.3227,#0f172a,43.3643,78.4973,305.67,0.006,#6f4dd2,47.5827,35.4924,116.83,0.0821,#68773a,61.753,41.4895,71.05,0.0747,#bf8b4f,63.7242,27.4278,83.46,0.0574,#b1976a,79.388,11.4325,105.02,0.0245,#c8c6b0
rotX,benchmark_elf_brawler,elf_brawler,,Block_1,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_1_rotX_-15.0_00001_.png,Block_1_rotX_-15.0_00001_.png,,,,,1024,1760,96.8525,0.4378,239.68,0.1716,#f5f6f7,2.4411,1.1792,22.17,0.2131,#0c0808,0.8436,79.2264,13.6354,5,0.2882,77.1431,1.7427,0.6982,7.41,0.2398,#080606,43.5198,77.8413,305.56,0.0059,#6f4ed2,57.9713,39.2394,112.51,0.0478,#87914a,64.0808,52.5165,61.15,0.0485,#d98849,77.5688,24.3726,76.44,0.044,#dabb94,80.9691,20.5476,238.32,0.0138,#9dd0e9
rotX,benchmark_elf_brawler,elf_brawler,,Block_2,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_2_rotX_-30.0_00001_.png,Block_2_rotX_-30.0_00001_.png,,,,,1024,1760,99.183,0.517,227.52,0.1493,#fcfdfd,1.787,0.3053,23.33,0.1812,#070606,0.8586,73.6218,13.9011,5,0.2601,77.0234,1.7573,0.3276,26.51,0.2109,#070606,42.9742,77.351,304.92,0.0056,#6b4ed0,53.0489,38.142,117.44,0.0491,#748642,53.0647,44.0776,73.2,0.0384,#a67535,63.5377,47.7121,51.95,0.0425,#db8458,75.3791,10.4675,246.18,0.0188,#a8bdcb
rotX,benchmark_elf_brawler,elf_brawler,,Block_2,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_2_rotX_-15.0_00001_.png,Block_2_rotX_-15.0_00001_.png,,,,,1024,1760,99.2697,0.3414,204.52,0.1531,#fcfdfd,2.0117,0.7716,28.06,0.1845,#0a0706,0.853,70.2573,14.7248,4,0.2582,77.3109,1.8229,0.4716,22.23,0.2116,#080606,43.4557,77.7824,305.53,0.0063,#6f4ed1,60.0978,40.2151,115.45,0.0414,#88984f,61.7329,21.6437,63.73,0.0466,#b28e73,65.348,54.0859,66.46,0.037,#d88e45,72.0802,2.5243,186.45,0.0291,#acb2b1
rotX,benchmark_elf_brawler,elf_brawler,,Block_1,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_1_rotX_+15.0_00001_.png,Block_1_rotX_+15.0_00001_.png,,,,,1024,1760,97.0823,0.5533,49.57,0.246,#f8f6f6,2.2372,0.2071,53.52,0.1477,#090808,0.7725,68.9264,7.0906,5,0.2358,66.3366,1.9101,0.2556,0.73,0.1875,#080707,23.9389,21.0064,39.68,0.0483,#552f26,40.528,66.5921,296.65,0.0116,#4754c2,60.0828,49.4639,113.66,0.0367,#87993c,64.7987,58.0217,60.24,0.041,#e18742,70.8365,25.1455,257.6,0.0232,#85b2d9
rotX,benchmark_elf_brawler,elf_brawler,,Block_2,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_2_rotX_+15.0_00001_.png,Block_2_rotX_+15.0_00001_.png,,,,,1024,1760,99.2171,0.2258,127.55,0.1817,#fdfdfc,3.5653,1.1188,36.61,0.1991,#0f0c0b,0.8257,74.1278,13.8406,5,0.2711,72.3912,1.9407,0.7544,17.31,0.2178,#090607,43.9149,73.1455,301.22,0.0059,#6156d1,49.0777,19.558,239.48,0.0342,#4b7b91,53.9819,37.0186,115.29,0.0533,#798746,65.4442,56.7516,58.77,0.0431,#e48848,76.0685,20.934,78.82,0.0333,#d1b896
rotX,benchmark_elf_brawler,elf_brawler,,Block_1,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\rotations\Block_1_rotX_+30.0_00001_.png,Block_1_rotX_+30.0_00001_.png,,,,,1024,1760,94.2306,0.9705,12.16,0.3659,#f0eeee,3.5728,0.2663,118.93,0.117,#0d0d0c,0.6663,76.2761,13.495,4,0.2138,69.642,1.6528,0.7677,287.18,0.1543,#060608,41.1789,70.4096,299.58,0.0095,#5352c7,44.6335,51.2815,66.93,0.0355,#995b15,47.8419,40.7486,113.58,0.0319,#6a782f,58.5825,31.9917,263.64,0.0394,#5a91c4,77.9289,2.7866,153.94,0.0596,#bdc2be
