source_path,recovered_path,output_folder,file,bench,prompt_id,seed,condition,recovered_sha256
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_4_rotX_+30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_african_scientist\rotations\Block_4_rotX_+30.0_00001_.png,rotations,Block_4_rotX_+30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,7f56230a0159fb74207bde8a828f5980b368a6372a4fe98c39b1f75234d09d5e
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_4_rotX_-15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_african_scientist\rotations\Block_4_rotX_-15.0_00001_.png,rotations,Block_4_rotX_-15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,d73343b2663841652102c76500325513daa6987d67261c3049b76e26815f2791
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_4_rotX_-30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_african_scientist\rotations\Block_4_rotX_-30.0_00001_.png,rotations,Block_4_rotX_-30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,664ada29cedec68f3fdd263c694503129ac59ecba8d84acd0085b2d5b8dbf4cb
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_5_rotX_+15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_african_scientist\rotations\Block_5_rotX_+15.0_00001_.png,rotations,Block_5_rotX_+15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,f1b92db263aa4ad1277d0d01ff48b94caec820738aab426a0534561196979e61
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_5_rotX_+30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_african_scientist\rotations\Block_5_rotX_+30.0_00001_.png,rotations,Block_5_rotX_+30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,9d9c7e4b768f2e6c37057f46d248baa2bd5a7590b6a8ab5c985d1be082203294
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_5_rotX_-15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_african_scientist\rotations\Block_5_rotX_-15.0_00001_.png,rotations,Block_5_rotX_-15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,2f9a1e85e8d8da8ae669e9eb9b5318aa45f2dc6843b8ff986d6a29c46dcd0108
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_5_rotX_-30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_african_scientist\rotations\Block_5_rotX_-30.0_00001_.png,rotations,Block_5_rotX_-30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,7e980939b37d4e9fa930498a273bfeffed945f98d2fcdc3c5866946e9e2564d0
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_6_rotX_+15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_african_scientist\rotations\Block_6_rotX_+15.0_00001_.png,rotations,Block_6_rotX_+15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,bf03813a9ad6d8325bd1dda8af5c63510cee67e4a663b235119af68458e54850
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_6_rotX_+30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_african_scientist\rotations\Block_6_rotX_+30.0_00001_.png,rotations,Block_6_rotX_+30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,7b7aedda353fb2d8db89a961395d65b96e4d30ef995001330b5b3d30d813ac40
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_6_rotX_-15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_african_scientist\rotations\Block_6_rotX_-15.0_00001_.png,rotations,Block_6_rotX_-15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,014a1dcb86ce552cca8f3a83236b24fe72ccd62136241a7f21e951688884b811
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_6_rotX_-30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_african_scientist\rotations\Block_6_rotX_-30.0_00001_.png,rotations,Block_6_rotX_-30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,868134ab595272f280361b25fe20cbc678e5a44b3132d44f5ec6fc53bb9a52cb
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\00_baseline_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\00_baseline_00001_.png,benchmark_combat_robot,00_baseline_00001_.png,pilot_rotations,combat_robot,4242145,baseline,037a0bbeae877ecdc270817343a526bdb4e7bfbeb6299717ab4e7dbeab72f618
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_1_rotX_+15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_1_rotX_+15.0_00001_.png,rotations,Block_1_rotX_+15.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,7bec715b3e3beea2262e15b191e3d8d45c0486b941aa3d2f59610be94c0af460
