metric,contrast,delta,ci_lo,ci_hi,t,dz,p,p_holm,n_prompts
color_n_effective,A (odd)   Preset,-0.09586,-0.20022,0.00849,-2.361,-0.964,0.10769,,6
color_n_effective,A (odd)   Block,0.27141,-0.02832,0.57115,2.328,0.95,0.07692,,6
color_n_effective,A (odd)   Rand,0.10268,-0.06507,0.27043,1.573,0.642,0.2,,6
color_n_effective,S (even)  Preset,0.09594,-0.17984,0.37172,0.894,0.365,0.35385,,6
color_top4_cluster_share,Preset+  -  Block+,0.25907,-0.1441,0.66225,1.652,0.674,0.2,0.4,6
color_top4_cluster_share,Preset+  -  Rand+,0.24053,0.01389,0.46717,2.728,1.114,0.10769,0.32308,6
color_top4_cluster_share,Block+   -  Rand+,-0.01855,-0.47356,0.43647,-0.105,-0.043,0.93846,0.93846,6
color_top4_cluster_share,A (odd)   Preset,0.12432,-0.0196,0.26824,2.221,0.907,0.13846,,6
color_top4_cluster_share,A (odd)   Block,-0.2721,-0.5811,0.0369,-2.264,-0.924,0.07692,,6
color_top4_cluster_share,A (odd)   Rand,-0.12428,-0.27857,0.03,-2.071,-0.845,0.13846,,6
color_top4_cluster_share,S (even)  Preset,-0.11789,-0.41368,0.17791,-1.024,-0.418,0.29231,,6
PC1,ICC_diff|Preset+,0.5144,,,,,,,6
PC1,ICC_diff|Block+,0.4002,,,,,,,6
PC1,ICC_diff|Rand+,0.5739,,,,,,,6
PC2,ICC_diff|Preset+,0.81,,,,,,,6
PC2,ICC_diff|Block+,0.4878,,,,,,,6
PC2,ICC_diff|Rand+,0.3472,,,,,,,6
PC3,ICC_diff|Preset+,0.5409,,,,,,,6
PC3,ICC_diff|Block+,0.1902,,,,,,,6
PC3,ICC_diff|Rand+,0.3796,,,,,,,6
stroke_width_median_px,ICC_diff|Preset+,0.2883,,,,,,,6
stroke_width_median_px,ICC_diff|Block+,0.0014,,,,,,,6
stroke_width_median_px,ICC_diff|Rand+,0.2441,,,,,,,6
contour_mean_length_px,ICC_diff|Preset+,0.503,,,,,,,6
contour_mean_length_px,ICC_diff|Block+,0.7124,,,,,,,6
contour_mean_length_px,ICC_diff|Rand+,0.6659,,,,,,,6
contour_n_components,ICC_diff|Preset+,0.7399,,,,,,,6
contour_n_components,ICC_diff|Block+,0.59,,,,,,,6
contour_n_components,ICC_diff|Rand+,0.7494,,,,,,,6
crosshatch_entropy_mean,ICC_diff|Preset+,0.773,,,,,,,6
crosshatch_entropy_mean,ICC_diff|Block+,0.4284,,,,,,,6
crosshatch_entropy_mean,ICC_diff|Rand+,0.7297,,,,,,,6
fft_radial_slope,ICC_diff|Preset+,0.1515,,,,,,,6
fft_radial_slope,ICC_diff|Block+,0.2353,,,,,,,6
fft_radial_slope,ICC_diff|Rand+,0.3106,,,,,,,6
color_n_effective,ICC_diff|Preset+,0.6397,,,,,,,6
color_n_effective,ICC_diff|Block+,0.5638,,,,,,,6
color_n_effective,ICC_diff|Rand+,0.2779,,,,,,,6
color_top4_cluster_share,ICC_diff|Preset+,0.5943,,,,,,,6
color_top4_cluster_share,ICC_diff|Block+,0.5631,,,,,,,6
color_top4_cluster_share,ICC_diff|Rand+,0.2192,,,,,,,6
