feature,PC1,PC2,PC3,PC4
EXPLAINED_VARIANCE_RATIO,0.34507,0.15855,0.11408,0.0872
stroke_width_median_px,-0.26636970477031396,0.06037863567436769,-0.40381185250581136,0.25278301046388646
stroke_width_std_px,-0.16898507375768615,-0.10536764084624016,-0.03856702170009034,-0.152014695219663
stroke_width_cv,0.13564865167666398,-0.13412965465194673,0.37956690246070873,-0.36525539826325676
edge_density,0.2411392506462454,0.17101511657159596,0.05171236879939754,0.10146616938006313
contour_mean_length_px,-0.26236424065487574,0.05705064752906707,0.10193397963070579,-0.018603163507685518
contour_n_components,0.37324196407581733,0.14027898311271123,0.03734605730703371,0.0720126229273102
crosshatch_entropy_mean,0.2968130544344232,-0.33975389514626386,-0.2559529638740406,0.0594464959517058
crosshatch_entropy_p90,0.23108279008726204,-0.28326921900066676,-0.23396542016271538,0.04651624458519844
color_top4_cluster_share,-0.09698880629574792,0.11325776977295476,0.07612245457669764,-0.2103931917315922
color_cluster_entropy_norm,0.08820944975156572,-0.12466590588901617,-0.0428924814343336,0.21874993426982212
color_n_effective,0.08537657617198298,-0.11297343493711356,-0.046411655324346275,0.2048373400170757
colorfulness_hs,-0.0003461341037123588,-0.025689500443572322,0.03629465701572975,-0.017435225427810015
luminance_hist_n_peaks,-0.03495906004108353,-0.12906321894967354,0.6331519919513031,0.6521797839280977
shadow_edge_transition_width_px,0.3354345674168725,-0.105395786615451,-0.0137963642233365,0.09080802173130541
shadow_edge_transition_width_std,0.32874979726527936,-0.15087717830758512,0.2188256976094189,-0.3943375846737093
glcm_contrast,0.15126777942022582,0.3272754308519416,0.05476335794491037,-0.00027290775122795215
glcm_homogeneity,-0.2447762790609173,-0.06292296412411194,0.0350504609275583,-0.08753205941031982
glcm_energy,-0.12579052122968687,0.10532772358389357,-0.023993474974044294,-0.09831867031220283
glcm_correlation,-0.1484063398958074,-0.20837776595089302,-0.05363796432150556,0.027586450237574715
lbp_entropy,0.1638658207255063,-0.24088123309533663,-0.16984377862951971,0.06990626077949384
lbp_uniform_share,0.020536720995516847,0.2169817923574068,0.16336837757590988,-0.008204069694948909
fft_radial_slope,0.22036559657224095,0.4412798426926555,-0.153271617137312,0.08325511660342286
fft_high_freq_share,0.17756399496524083,0.40208227253942147,-0.09947641980639635,0.06793294247613167
