prompt_id,seed,condition,cond_tag,block_name,angle_label,angle_deg,image_path,run_id,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
P01,P01_s3141592_B2_pos_low_00001_,,B2_pos_low,B2,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B2_pos_low_00001_.png,,P01_s3141592_B2_pos_low_00001_.png,,52e5b19ca6,P01_s3141592_B2_pos_low_00001_.png,1024,1280,59.4723,12.5066,72.47,0.0617,#9e8c7b,2.9331,1.0624,20.19,0.3405,#0d0a0a,0.9516,81.1421,9.0771,6,0.3704,51.8998,1.9846,0.5909,12.65,0.32,#090707,35.4192,24.3681,29.71,0.0505,#784641,48.5129,40.0083,37.82,0.0256,#ae5c4b,61.8466,52.4907,49.66,0.0235,#dd7c50,76.6847,41.8626,71.17,0.0194,#ebb274,83.1267,9.7135,99.06,0.0097,#d4cfbd
P01,P01_s3141592_B2_pos_mid_00001_,,B2_pos_mid,B2,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B2_pos_mid_00001_.png,,P01_s3141592_B2_pos_mid_00001_.png,,52e5b19ca6,P01_s3141592_B2_pos_mid_00001_.png,1024,1280,59.5819,8.3705,75.83,0.0558,#998e81,3.1216,0.9792,15.17,0.3407,#0e0b0b,0.9539,80.6307,9.6283,6,0.368,51.8057,2.1007,0.5675,9.3,0.3178,#090707,36.3579,24.3789,32.22,0.0501,#7a4842,50.1771,38.9435,40.11,0.0311,#b1624e,63.1162,52.3732,52.31,0.0249,#de8050,77.3655,39.327,72.21,0.0174,#eab57a,82.7313,8.1407,98.48,0.0087,#d2cebf
P01,P01_s3141592_B3_neg_high_00001_,,B3_neg_high,B3,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B3_neg_high_00001_.png,,P01_s3141592_B3_neg_high_00001_.png,,52e5b19ca6,P01_s3141592_B3_neg_high_00001_.png,1024,1280,70.3321,13.7155,84.52,0.0388,#b8aa93,3.2845,1.0637,21.7,0.2787,#0e0b0b,0.9738,78.9089,10.1384,5,0.3449,53.6636,2.6999,0.6533,2.5,0.2647,#0c090a,35.9624,22.9896,34.63,0.0637,#774841,48.657,14.0734,63.19,0.0803,#866f5f,51.49,35.4598,41.51,0.0273,#af6854,62.6686,54.3168,51.13,0.0229,#e07d4e,81.6088,35.004,78.29,0.0119,#edc48b
P01,P01_s3141592_B3_neg_low_00001_,,B3_neg_low,B3,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B3_neg_low_00001_.png,,P01_s3141592_B3_neg_low_00001_.png,,52e5b19ca6,P01_s3141592_B3_neg_low_00001_.png,1024,1280,62.5362,9.7795,80.08,0.048,#a19686,3.1791,0.8684,23.84,0.3489,#0e0b0b,0.9594,82.5153,10.3114,5,0.3641,51.5853,2.2367,0.4426,11.67,0.3254,#090808,37.3026,23.681,32.65,0.0387,#7c4b44,51.7466,39.7871,39.57,0.0274,#b66552,64.2567,52.0279,52.28,0.0173,#e28453,81.1605,36.9812,78.2,0.0152,#eec386,84.752,7.5954,101.88,0.0066,#d7d4c6
P01,P01_s3141592_B3_neg_mid_00001_,,B3_neg_mid,B3,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B3_neg_mid_00001_.png,,P01_s3141592_B3_neg_mid_00001_.png,,52e5b19ca6,P01_s3141592_B3_neg_mid_00001_.png,1024,1280,62.0388,12.349,78.54,0.0621,#a39481,3.3255,1.034,26.38,0.3516,#0e0b0b,0.9523,77.7623,10.8923,5,0.3806,52.9743,2.1512,0.5366,28.18,0.3204,#090707,34.8472,24.072,34.86,0.0532,#75453d,45.3098,12.3806,56.14,0.0602,#7d675a,45.3762,13.5961,262.09,0.0337,#5b6d82,58.9232,53.5109,45.82,0.0311,#d8714c,79.9134,34.3478,78.2,0.0188,#e8c088
P01,P01_s3141592_B3_pos_high_00001_,,B3_pos_high,B3,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B3_pos_high_00001_.png,,P01_s3141592_B3_pos_high_00001_.png,,52e5b19ca6,P01_s3141592_B3_pos_high_00001_.png,1024,1280,68.0751,46.1176,60.05,0.0342,#e0955e,2.2463,0.8547,29.37,0.3478,#0b0807,0.9757,83.2823,10.6002,5,0.4373,48.4397,1.3755,0.483,32.47,0.3258,#060504,25.3652,9.1303,281.05,0.1115,#383c4a,35.1994,28.5052,30.75,0.0355,#7d423d,47.499,20.5164,51.85,0.0737,#8e6856,51.3284,48.9227,38.96,0.0282,#c05d48,84.6578,29.4856,79.65,0.0149,#f1ce9d
P01,P01_s3141592_B3_pos_low_00001_,,B3_pos_low,B3,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B3_pos_low_00001_.png,,P01_s3141592_B3_pos_low_00001_.png,,52e5b19ca6,P01_s3141592_B3_pos_low_00001_.png,1024,1280,61.2893,10.552,75.07,0.0556,#a09282,2.5729,0.9401,7.08,0.3795,#0c0909,0.9546,85.9151,6.9634,6,0.5041,44.975,1.7418,0.5886,355.64,0.362,#080606,30.2928,11.7535,38.19,0.1421,#59423c,37.9019,26.499,29.29,0.0363,#824a45,57.4106,45.5636,44.86,0.0344,#cb7253,74.4907,41.9905,68.8,0.0227,#e7ab70,87.6569,13.1821,91.78,0.0096,#e5dbc3
P01,P01_s3141592_B3_pos_mid_00001_,,B3_pos_mid,B3,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B3_pos_mid_00001_.png,,P01_s3141592_B3_pos_mid_00001_.png,,52e5b19ca6,P01_s3141592_B3_pos_mid_00001_.png,1024,1280,59.4906,10.361,71.53,0.0647,#9c8d7e,2.3233,0.8621,11.54,0.353,#0b0808,0.9468,82.6609,9.2601,5,0.4603,44.673,1.361,0.4286,359.22,0.3306,#060505,33.9289,13.1098,40.87,0.1297,#644a43,37.669,28.3954,33.05,0.0382,#834941,54.0527,44.9183,42.2,0.0303,#c2684f,70.2945,45.1017,62.03,0.0244,#e49c64,84.0219,20.4913,83.46,0.0139,#e5cfac
P01,P01_s3141592_B4_neg_high_00001_,,B4_neg_high,B4,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B4_neg_high_00001_.png,,P01_s3141592_B4_neg_high_00001_.png,,52e5b19ca6,P01_s3141592_B4_neg_high_00001_.png,1024,1280,66.5792,44.6386,57.49,0.0405,#dc905f,2.3951,0.6701,20.18,0.2576,#0b0808,0.9808,80.0064,12.1038,4,0.3177,48.9275,2.2337,0.6095,19.67,0.2554,#0a0808,33.331,12.9911,7.4,0.0617,#63474c,38.127,27.5693,33.94,0.0401,#834a42,40.5016,15.2355,57.53,0.0623,#745a4b,52.8276,49.5371,43.61,0.0173,#c36345,82.2401,37.7212,80.0,0.0093,#f0c687
P01,P01_s3141592_B4_neg_low_00001_,,B4_neg_low,B4,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s3141592_B4_neg_low_00001_.png,,P01_s3141592_B4_neg_low_00001_.png,,52e5b19ca6,P01_s3141592_B4_neg_low_00001_.png,1024,1280,59.0641,47.1459,48.58,0.0435,#cf7752,3.2452,1.039,6.03,0.3158,#0e0b0c,0.9785,83.1019,10.9415,5,0.3776,49.5635,2.2064,0.6693,350.4,0.2864,#0a0808,37.4022,23.9276,30.23,0.0504,#7d4b46,46.5979,16.2405,54.84,0.0912,#866859,49.6986,36.4155,39.52,0.027,#ac6250,70.0362,50.2328,61.13,0.0153,#e9995c,85.3083,32.0061,82.32,0.0117,#f2d199
