run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
248,S04_gouache,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s42_scramble_C_00001_.png,S04_gouache_s42_scramble_C_00001_.png,,,,1024,1760,82.1814,11.7639,91.73,0.1018,#d5ccb7,9.513,12.5934,282.71,0.3617,#141a2b,0.9339,69.6521,12.2951,4,0.469,66.2645,8.8553,12.8875,283.01,0.3703,#12192a,21.3214,38.4276,28.72,0.0229,#63171a,43.3569,73.161,38.24,0.0361,#c22d1d,43.6272,76.896,304.3,0.0053,#6b50d2,45.6275,32.5738,87.05,0.033,#7f6a35,78.5074,10.6315,183.44,0.0987,#acc8c3
249,S04_gouache,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s42_scramble_D_00001_.png,S04_gouache_s42_scramble_D_00001_.png,,,,1024,1760,83.0459,9.5788,93.98,0.1136,#d5cfbd,9.7719,12.9365,282.34,0.3561,#141b2c,0.9216,70.0037,11.1145,5,0.3762,63.6572,8.2444,12.7826,283.73,0.34,#111828,43.5296,76.4398,303.99,0.0053,#6951d2,47.0824,71.6152,38.93,0.0285,#cc3b26,54.1807,35.2691,109.58,0.019,#818647,65.9989,65.6358,69.0,0.0323,#e08e2b,78.2481,30.1255,67.9,0.0363,#e8b98e
250,S04_gouache,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s1337_Block_3_pos_00001_.png,S04_gouache_s1337_Block_3_pos_00001_.png,,,,1024,1760,82.3932,6.8185,82.36,0.0897,#d4ccc0,8.226,13.4778,283.1,0.2873,#101829,0.9308,70.9338,7.4935,5,0.3391,69.1547,8.0696,13.6403,283.15,0.3032,#101729,34.2147,43.9039,40.55,0.0275,#883725,43.4605,73.9639,301.28,0.0051,#5f55d1,48.3207,82.795,36.17,0.0197,#dd2823,67.1042,63.7207,68.02,0.0358,#e39134,79.0034,21.2768,62.91,0.0202,#e2bca1
251,S04_gouache,,,rotator,-25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s1337_Block_3_neg_00001_.png,S04_gouache_s1337_Block_3_neg_00001_.png,,,,1024,1760,83.9961,15.2069,85.13,0.0938,#e0d0b5,10.7585,12.0484,284.33,0.3753,#171c2d,0.9451,72.8124,6.3556,5,0.3643,64.3355,8.1326,13.3029,283.13,0.3178,#101729,26.641,29.9869,29.13,0.0416,#682d2a,43.2095,77.6384,305.33,0.0051,#6e4ed1,45.3951,62.9252,38.64,0.0395,#be412c,65.2374,52.9864,66.09,0.0465,#d88e47,80.945,29.9787,77.65,0.0283,#e8c393
252,S04_gouache,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s1337_scramble_C_00001_.png,S04_gouache_s1337_scramble_C_00001_.png,,,,1024,1760,84.0952,7.0216,98.12,0.1229,#d6d2c5,8.6252,12.9955,283.59,0.3532,#121829,0.9095,70.4919,9.2148,5,0.433,63.7334,8.3257,12.9502,283.65,0.3798,#111829,15.8646,29.7348,24.24,0.0191,#4c1318,43.7155,76.6837,304.25,0.0056,#6b51d2,44.7141,69.5791,36.98,0.0507,#c43527,63.0612,48.7162,66.84,0.0532,#cd8a48,78.8175,14.5493,63.8,0.0265,#d9beab
253,S04_gouache,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s1337_scramble_D_00001_.png,S04_gouache_s1337_scramble_D_00001_.png,,,,1024,1760,82.8079,6.1049,106.37,0.1427,#d0cfc3,8.7055,13.0209,283.9,0.312,#12182a,0.8888,72.5385,7.143,5,0.3836,63.205,8.4483,13.1234,283.69,0.3447,#121829,33.8294,41.0732,35.22,0.028,#86362c,43.5743,76.3285,304.06,0.0055,#6a51d2,48.1193,70.5591,36.13,0.027,#d03c2f,66.4927,61.75,69.69,0.0389,#de9135,80.9868,20.9554,64.36,0.0314,#e7c2a6
254,S04_gouache,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s4242145_Block_3_pos_00001_.png,S04_gouache_s4242145_Block_3_pos_00001_.png,,,,1024,1760,84.3907,12.9094,81.49,0.0858,#e0d1bb,10.8168,12.797,280.01,0.3507,#151d2e,0.9293,70.0659,5.2207,5,0.3686,68.9323,8.0248,13.6846,282.94,0.3039,#101729,25.2745,41.7231,31.05,0.0196,#701e1d,43.7075,73.7331,301.2,0.0052,#6055d2,47.9119,82.6169,39.43,0.0161,#d92e1a,61.0341,50.2184,64.44,0.0648,#cb8343,78.0907,26.2506,73.15,0.0146,#e0bb93
255,S04_gouache,,,rotator,-25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s4242145_Block_3_neg_00001_.png,S04_gouache_s4242145_Block_3_neg_00001_.png,,,,1024,1760,82.6817,13.9591,92.52,0.1129,#d7cdb4,10.9187,11.928,282.2,0.3826,#171d2d,0.9155,70.5341,12.7445,4,0.395,67.6576,8.4075,13.3773,282.56,0.3404,#11182a,26.9423,30.7567,26.99,0.0377,#6a2c2c,42.6605,61.9137,37.04,0.0346,#b5392a,43.5015,78.1763,305.64,0.0054,#6f4ed2,78.3652,33.1493,77.99,0.0291,#e3bc86,78.9417,10.5186,181.55,0.0545,#adc9c4
256,S04_gouache,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s4242145_scramble_C_00001_.png,S04_gouache_s4242145_scramble_C_00001_.png,,,,1024,1760,85.7924,10.6069,85.14,0.1152,#e1d5c3,8.99,12.7089,280.66,0.3589,#12192a,0.9172,74.1242,6.4551,5,0.4291,63.8796,8.6611,12.955,280.77,0.3819,#11192a,23.1291,41.7851,30.79,0.0351,#6a1919,43.7626,76.8346,304.28,0.0052,#6b51d3,47.3717,66.115,38.54,0.0303,#c7422d,61.0743,50.326,63.54,0.0472,#cc8343,82.7853,27.4917,77.08,0.0222,#ecc99c
257,S04_gouache,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s4242145_scramble_D_00001_.png,S04_gouache_s4242145_scramble_D_00001_.png,,,,1024,1760,86.3904,14.0444,73.7,0.1048,#ead5bf,9.9003,12.4537,282.9,0.344,#151b2c,0.9254,74.1478,9.4821,5,0.4468,68.8297,9.6112,12.7396,281.65,0.3641,#131a2b,29.9158,42.2358,39.85,0.0286,#7a2e1e,43.5586,76.6994,304.21,0.0049,#6a50d2,50.1486,73.6283,44.24,0.0338,#d3481f,53.8681,44.0555,103.71,0.0464,#868433,83.759,7.8696,186.66,0.0827,#c0d5d2
258,S05_pencil,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s42_Block_3_pos_00001_.png,S05_pencil_s42_Block_3_pos_00001_.png,,,,1024,1760,84.668,3.953,98.71,0.206,#d5d3cc,8.2351,13.4275,283.31,0.2843,#111829,0.7872,70.3864,11.8791,4,0.4502,61.1101,8.0743,13.6772,283.18,0.3549,#101729,41.0681,42.0474,26.49,0.0213,#9f4444,43.7492,74.0511,301.29,0.0061,#6055d2,45.2689,68.6029,34.11,0.0131,#c6342e,66.7368,45.4828,78.95,0.033,#c89b51,78.4607,12.941,233.96,0.0954,#a7c7d5
259,S05_pencil,,,rotator,-25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s42_Block_3_neg_00001_.png,S05_pencil_s42_Block_3_neg_00001_.png,,,,1024,1760,86.5052,3.5826,96.97,0.1863,#dbd8d2,8.0973,13.7814,283.15,0.2777,#101729,0.8125,68.8195,6.4271,5,0.3601,63.6791,7.9811,14.2814,283.1,0.3286,#0f172a,31.635,30.8968,26.58,0.0188,#773736,43.3509,77.9604,305.35,0.0058,#6e4ed2,47.3158,54.0881,29.86,0.0162,#bf4946,60.242,36.0956,74.23,0.0247,#b48954,76.8005,14.7932,74.76,0.0315,#cfbaa3
