metric,contrast,delta,ci_lo,ci_hi,t,dz,p,p_holm,n_prompts
color_n_effective,A (odd)   Preset,-0.20319,-0.31807,-0.08831,-3.659,-0.747,0.0014,,24
color_n_effective,A (odd)   Block,0.30141,0.17134,0.43149,4.793,0.978,9e-05,,24
color_n_effective,A (odd)   Rand,0.02182,-0.09186,0.13549,0.397,0.081,0.69607,,24
color_n_effective,S (even)  Preset,-0.02965,-0.17872,0.11942,-0.411,-0.084,0.68943,,24
color_top4_cluster_share,Preset+  -  Block+,0.38412,0.20127,0.56696,4.346,0.887,0.00041,0.00123,24
color_top4_cluster_share,Preset+  -  Rand+,0.2345,0.08941,0.37959,3.343,0.682,0.00288,0.00576,24
color_top4_cluster_share,Block+   -  Rand+,-0.14962,-0.36593,0.0667,-1.431,-0.292,0.16491,0.16491,24
color_top4_cluster_share,A (odd)   Preset,0.20611,0.09186,0.32036,3.732,0.762,0.00155,,24
color_top4_cluster_share,A (odd)   Block,-0.31263,-0.45345,-0.17181,-4.593,-0.937,0.00017,,24
color_top4_cluster_share,A (odd)   Rand,-0.03111,-0.1483,0.08608,-0.549,-0.112,0.58561,,24
color_top4_cluster_share,S (even)  Preset,0.02844,-0.12392,0.18081,0.386,0.079,0.70267,,24
PC1,ICC_diff|Preset+,0.4742,,,,,,,24
PC1,ICC_diff|Block+,0.5014,,,,,,,24
PC1,ICC_diff|Rand+,0.628,,,,,,,24
PC2,ICC_diff|Preset+,0.5329,,,,,,,24
PC2,ICC_diff|Block+,0.498,,,,,,,24
PC2,ICC_diff|Rand+,0.3222,,,,,,,24
PC3,ICC_diff|Preset+,0.341,,,,,,,24
PC3,ICC_diff|Block+,0.4959,,,,,,,24
PC3,ICC_diff|Rand+,0.3439,,,,,,,24
stroke_width_median_px,ICC_diff|Preset+,0.1981,,,,,,,24
stroke_width_median_px,ICC_diff|Block+,0.0932,,,,,,,24
stroke_width_median_px,ICC_diff|Rand+,0.2426,,,,,,,24
contour_mean_length_px,ICC_diff|Preset+,0.2741,,,,,,,24
contour_mean_length_px,ICC_diff|Block+,0.3601,,,,,,,24
contour_mean_length_px,ICC_diff|Rand+,0.5182,,,,,,,24
contour_n_components,ICC_diff|Preset+,0.5419,,,,,,,24
contour_n_components,ICC_diff|Block+,0.35,,,,,,,24
contour_n_components,ICC_diff|Rand+,0.6533,,,,,,,24
crosshatch_entropy_mean,ICC_diff|Preset+,0.3445,,,,,,,24
crosshatch_entropy_mean,ICC_diff|Block+,0.4666,,,,,,,24
crosshatch_entropy_mean,ICC_diff|Rand+,0.5984,,,,,,,24
fft_radial_slope,ICC_diff|Preset+,0.3768,,,,,,,24
fft_radial_slope,ICC_diff|Block+,0.5411,,,,,,,24
fft_radial_slope,ICC_diff|Rand+,0.3752,,,,,,,24
color_n_effective,ICC_diff|Preset+,0.4362,,,,,,,24
color_n_effective,ICC_diff|Block+,0.5974,,,,,,,24
color_n_effective,ICC_diff|Rand+,0.5061,,,,,,,24
color_top4_cluster_share,ICC_diff|Preset+,0.4298,,,,,,,24
color_top4_cluster_share,ICC_diff|Block+,0.5511,,,,,,,24
color_top4_cluster_share,ICC_diff|Rand+,0.4247,,,,,,,24
