run_id,prompt_id,seed,condition,cond_tag,angle_label,angle_deg,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
10,P01,1618033,B6_pos,B6_pos_low,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_pos_low_00001_.png,P01_s1618033_B6_pos_low_00001_.png,1024,1280,2.799999952316284,2.151912212371826,0.7685400889352405,0.12442626953125,58.245714285714286,2800,3.21428656578064,3.890115261077881,0.55385,0.8678484289108288,11.091585597955858,47.27201843261719,2,17.0,6.028029882476839,7.0746328445734425,0.7105462106454014,0.2434361073026749,0.899273221406374,3.109647839718054,0.8760055541992187,-3.431307573456093,1.4905526756532562e-05
11,P01,1618033,B6_pos,B6_pos_mid,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_pos_mid_00001_.png,P01_s1618033_B6_pos_mid_00001_.png,1024,1280,2.0,1.6674745082855225,0.8337372541427612,0.1033576965332031,63.99291450165328,2117,3.180215358734131,3.946181297302246,0.55105,0.8698387559293287,11.152962133893189,51.589149475097656,2,23.0,4.192981858128627,2.096121785177497,0.7033516249875564,0.1761484889988095,0.963157317093552,3.0693958120063907,0.8789283752441407,-3.624757374962892,3.6575572343348647e-06
12,P01,1618033,baseline,baseline,none,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_baseline_00001_.png,P01_s1618033_baseline_00001_.png,1024,1280,2.799999952316284,2.160496711730957,0.7716059816157134,0.1245208740234375,59.41463414634146,2747,3.229543685913086,3.973296403884888,0.52685,0.8756551476238761,11.334278016520898,39.16868591308594,1,16.0,6.218694892735149,8.344576418066334,0.7128359735671849,0.2552030007980215,0.8840389994204094,3.1552769682011808,0.8347099304199219,-3.398778814740956,2.012729821447045e-05
13,P01,1618033,scrA_neg,scrA_neg_high,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_neg_high_00001_.png,P01_s1618033_scrA_neg_high_00001_.png,1024,1280,2.799999952316284,1.7662991285324097,0.6308211280758232,0.1447174072265625,55.85512367491166,3396,3.463396072387696,4.053917407989502,0.4664999999999999,0.9156991197611236,12.665187050271664,33.95640563964844,1,21.0,5.175209350349397,7.251382848379542,0.6581621887209474,0.1679016639584149,0.8717706068602066,3.118396705321484,0.8958671569824218,-3.378635235926038,1.898662897771408e-05
14,P01,1618033,scrA_neg,scrA_neg_low,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_neg_low_00001_.png,P01_s1618033_scrA_neg_low_00001_.png,1024,1280,2.799999952316284,2.061065673828125,0.736094896045666,0.132244873046875,56.4980443285528,3068,3.294193983078003,4.005887031555176,0.5297,0.8825094303405445,11.55173559717608,36.3184814453125,1,17.0,5.880262756981413,8.032705424749867,0.6972385106669925,0.2245487673479851,0.879042848143721,3.1659745880603363,0.846722412109375,-3.3804647651321176,2.057877627652172e-05
15,P01,1618033,scrA_neg,scrA_neg_mid,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_neg_mid_00001_.png,P01_s1618033_scrA_neg_mid_00001_.png,1024,1280,2.799999952316284,1.866260528564453,0.6665216286952432,0.1369621276855468,57.7417175940817,3109,3.3755457401275635,4.035322666168213,0.4972999999999999,0.89078368183495,11.819808260267584,35.799652099609375,1,19.0,5.578521196908246,7.570451812762002,0.6787540511641468,0.1937987265871144,0.8762041353855795,3.1722287209676185,0.8634544372558595,-3.392746487427095,1.844176302266592e-05
16,P01,1618033,scrA_pos,scrA_pos_high,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_pos_high_00001_.png,P01_s1618033_scrA_pos_high_00001_.png,1024,1280,4.0,2.145695686340332,0.536423921585083,0.1281425476074218,54.006109324758846,3110,3.386533260345459,3.9844624996185294,0.5809,0.8492815422602392,10.53505666603158,45.22186279296875,2,18.0,6.043976439038981,9.893115850860706,0.6895577494770475,0.2594827353653484,0.8721547350786314,2.995997159166833,0.9219017028808592,-3.432385336179569,2.0848347519943053e-05
17,P01,1618033,scrA_pos,scrA_pos_low,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_pos_low_00001_.png,P01_s1618033_scrA_pos_low_00001_.png,1024,1280,4.0,2.157181978225708,0.539295494556427,0.1228897094726562,64.22408293460926,2508,3.194333076477051,3.9788453578948975,0.5649,0.8618297219035526,10.908031660052298,40.46297836303711,1,16.0,6.146664567445578,9.653051298081143,0.7110515832083539,0.250466612419278,0.872915898059043,3.1465304267713297,0.8406776428222656,-3.400422730142449,2.209585337308896e-05
18,P01,1618033,scrA_pos,scrA_pos_mid,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrA_pos_mid_00001_.png,P01_s1618033_scrA_pos_mid_00001_.png,1024,1280,4.0,2.109898567199707,0.5274746417999268,0.1251533508300781,61.48463268365817,2668,3.296003818511963,3.986032962799072,0.53245,0.8838194475648217,11.593769396437764,41.5308952331543,1,17.0,5.873347821448993,9.537607410356228,0.7018335129048644,0.2463102390979672,0.8783582997754991,3.121434226808537,0.8729393005371093,-3.4696996870204764,1.8744507200191008e-05
19,P01,1618033,scrB_neg,scrB_neg_high,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_scrB_neg_high_00001_.png,P01_s1618033_scrB_neg_high_00001_.png,1024,1280,2.0,1.2783557176589966,0.6391778588294983,0.0695716857910156,82.82379654859218,1101,2.9246740341186523,3.908992290496826,0.4969,0.924795644008764,12.988676935505248,76.01499938964844,2,24.0,3.6621897244158657,1.1468851811057914,0.7519995787139133,0.1845339317855494,0.977070833694081,3.062552857154984,0.8526382446289062,-3.674662515084516,1.0869184837631688e-06
