feature,PC1,PC2,PC3,PC4
EXPLAINED_VARIANCE_RATIO,0.31773,0.16482,0.11058,0.08502
stroke_width_median_px,-0.16001567914274956,-0.2707289909471365,0.13377426627841668,-0.4556228867915207
stroke_width_std_px,-0.1419363448098646,-0.0020343119906154894,-0.06699355175526298,0.1190641011682298
stroke_width_cv,0.053425215848535636,0.30239736604130274,-0.21110909272163628,0.5922827339526484
edge_density,0.13744205356617903,0.12792193608920333,0.11372480279871154,-0.007474918133864476
contour_mean_length_px,-0.30712461984435746,-0.20860874116871522,0.2381338274456088,0.13745367438118808
contour_n_components,0.21489105659508936,0.19491662908455037,-0.015825759654955814,-0.04899868253623312
crosshatch_entropy_mean,0.38574936951905325,-0.09462475889579099,-0.38531008712157344,-0.1818539038480881
crosshatch_entropy_p90,0.3724473916430551,-0.09128385355033772,-0.21693438911273213,-0.19524833161573152
color_top4_cluster_share,-0.24567141454279387,0.15841118519257974,-0.24547173338374081,-0.0388814395283304
color_cluster_entropy_norm,0.2571039096562812,-0.15375035153075672,0.27118754087992075,0.07204892030318488
color_n_effective,0.2415335650523648,-0.14027208646656397,0.2507855925319188,0.05573410937058878
colorfulness_hs,0.004494703013824993,0.07858944697648149,0.11124853456936097,-0.015726796712476152
luminance_hist_n_peaks,0.058673268011110606,-0.1039521084050591,0.5230106590184802,0.12380449786548915
shadow_edge_transition_width_px,0.23030615434782784,0.030168321956155972,-0.009696698312302262,0.13567146936056895
shadow_edge_transition_width_std,0.19832502278107222,0.18015831673280347,0.14796458427841563,0.2655622017062841
glcm_contrast,0.03564398253457651,0.21217437654575869,0.13267039914770815,-0.12432980714272691
glcm_homogeneity,-0.18337911004283666,-0.03999088614714124,-0.06174691294836665,-0.019063101547134222
glcm_energy,-0.2502586414211223,0.07394618157990654,-0.2367400081443278,-0.1172117277275441
glcm_correlation,-0.055040078738844166,-0.17733094237436356,-0.11462408662598703,0.0887160488639576
lbp_entropy,0.28282970036680344,-0.19564896524247471,-0.07055944653698366,-0.008461184333510018
lbp_uniform_share,-0.1789511856860196,0.2981349967495528,0.10304225197004604,0.00924464574718314
fft_radial_slope,0.09786363259186545,0.5185875369513189,0.13629459867721155,-0.3220256139412453
fft_high_freq_share,0.041215082857654926,0.3488699094596519,0.1956164046765437,-0.2815806735009457
