space,prompt_id,V,V_scr,V_minus_V_scr,coh_B1,coh_B6,coh_scrA,coh_scrB,norm_A_B1,norm_A_B6,norm_A_scrA,norm_A_scrB
Texture,P01,0.8297505453061778,0.42564829030232554,0.4041022550038522,0.7934626484435355,0.6549129604224259,0.866553432912445,-0.5160501877522611,0.12349399042886665,0.8892468844234607,0.1930329164778967,0.9086665737784996
Texture,P02,0.6959520844634834,1.2680061687780917,-0.5720540843146082,0.5639357320838932,0.5352980949823557,0.9630083287545549,0.42478754593310764,0.12722439043495481,0.946104866988413,0.224203131376467,0.5998017667442807
Texture,S01_oil,0.9976671806320102,1.0286187800298547,-0.03095159939784453,0.8631510373653564,0.7386607668382249,0.9494219762841417,0.9553692015479303,0.06604721411955301,1.296980206574691,0.08548517927637621,0.8809498058196625
Texture,S02_linocut,1.4267178945020764,1.3980594646484161,0.028658429853660294,0.8817615994084012,0.825752290495411,0.6465569379914379,0.9056551048545038,0.15598520492798124,0.5445453387552635,0.245946217575218,0.09586316532851369
Texture,S03_cyberpunk,0.8019691106119144,0.29329425411412335,0.5086748564977911,0.37936818068444783,0.5468561589330756,0.3166038330204122,0.455925415911514,0.1207260110174307,1.1123466275587115,0.1075205609174028,0.5078556392055547
Texture,S04_gouache,0.7080056995376831,0.3906126427880688,0.3173930567496143,-0.18594789970705308,0.9262371227337469,0.20638547625158396,0.9177885960755261,0.13823813782375782,0.8130495673510127,0.056534160607643304,0.9346438090484023
Texture,S05_pencil,0.889062851552969,0.7382331975536623,0.1508296539993067,0.4301499221675909,0.9047472146357424,0.8683631003304574,0.7091658998658102,0.21703119418654584,0.9852862090257309,0.36928626411474075,1.2351837681908318
Texture,S06_pastel,0.9948349445050334,0.5468960322851389,0.44793891221989446,0.8486045994207079,0.6445739485137785,0.5544641262712127,0.9839941609231414,0.08129074287613326,1.2571692368382412,0.06153667392481765,0.8687367728274938
Texture,S07_comic,1.1156040810869055,1.3687008775065899,-0.2530967964196844,0.7581775622963308,0.9812162997062868,0.8976205664924833,0.9682600344750265,0.20195140904324976,0.5866747506945399,0.3135210705823647,0.6080100321224543
Texture,S08_papercraft,1.408933321391423,1.3460455090350925,0.06288781235633056,0.9316280034648182,0.9466431507370081,0.9691736218299317,0.9666331749555414,0.11602833901344255,0.6092917711938839,0.06488719421109368,0.5847636828726073
Texture,S09_fresco,1.0521046189809278,1.2278818836483891,-0.17577726466746135,0.1025174847964145,0.9798486957520414,0.9666122152699186,0.997020353050395,0.09256204455233347,0.9084145113102748,0.05933992474938155,0.9079607509882
Texture,S10_synthwave,1.2892570865538644,1.0711768997148585,0.21808018683900587,0.5958689698193724,0.9849245349132885,0.9298736564101703,0.8417508528513403,0.2021336525236725,0.4643160143315703,0.12351889401917751,0.3090521393065403
Linework,P01,0.434655834336091,0.053192018217270876,0.38146381611882013,0.43088402431088046,0.7078973314344742,0.9140209813985655,0.8254203927159866,0.13460234977281751,1.9114617436197157,0.23987204370968346,1.9209466126725152
Linework,P02,0.1276406969274041,-0.006869377588641701,0.1345100745160458,-0.28523085803448744,0.7538531602918452,0.826319626352607,0.847073228334403,0.2781567825918522,1.4190019874878248,0.7473254515832252,1.835921121693577
Linework,S01_oil,0.39250081725199115,0.05491268183845238,0.33758813541353877,0.25523720182163384,0.5427440098983944,-0.965743784431646,0.844848907714828,0.15108262919130655,0.8916801811986977,0.3275317296639874,0.7427533941704995
Linework,S02_linocut,-0.24005902036090682,0.05324683172605099,-0.2933058520869578,-0.28316332527585736,0.8549210547781104,0.12760093785158125,0.6013516279303015,0.10042884367971397,0.6141275549898817,0.23148195490899265,0.389769775696896
Linework,S03_cyberpunk,1.0646624672195326,-0.08126071372921603,1.1459231809487487,0.78197737436422,0.705628355724276,-0.569548704524559,0.8804175632855101,0.10411031129295649,0.505338922097737,0.18476889292162804,0.33773125134246745
Linework,S04_gouache,0.3001546776207856,0.1197297046188528,0.18042497300193283,-0.06948873602734763,0.5996524223775437,0.799183135624665,0.2400644403984466,0.3489252246204046,0.667664263936844,0.11158315700221645,0.45108194389849937
Linework,S05_pencil,0.13722506753814523,0.1027595403733004,0.03446552716484483,0.20489643159742174,0.7983276219101175,-0.9307765255426437,0.6462921334037253,0.12516655648374816,0.7269357427286763,0.2374075961272037,0.8778712273705609
Linework,S06_pastel,0.9473184474922955,-0.07170671764226205,1.0190251651345577,0.010678324645138515,0.9135038463742157,-0.6193022648383167,0.9417309897860139,0.09140012442957526,0.9887829825723587,0.09920892615000869,0.6731543641468583
Linework,S07_comic,-0.13057117033972637,0.13897169904183695,-0.26954286938156335,-0.889167612435792,0.8894167397801916,0.32502479571282644,0.9975612631703268,0.1350255708652752,0.9042204764114229,0.19668218385352765,0.9629818761724536
Linework,S08_papercraft,0.7476646330141345,-0.11111574852083034,0.8587803815349648,0.8357470627407324,0.9933711707939019,-0.49698389412116195,0.9662952683933392,0.09210515415225416,0.5272290710000905,0.12813329233834275,0.4491299717473938
Linework,S09_fresco,0.8917692744853958,0.1289876624981559,0.7627816119872399,-0.06653248730187548,0.9487800821790272,0.9420432853577274,0.8513180262550522,0.25741515435199863,1.2759946147284362,0.24912095491201752,0.9645685314806881
Linework,S10_synthwave,1.133786819655065,0.025740291216860778,1.1080465284382042,0.7334577511929298,0.8551722614312227,0.9205137827744404,0.9274525450909321,0.330007322009394,0.5066369679757673,0.33891024202172604,1.0733273619018395
Shadow,P01,0.36171041859230113,-0.13060403653658503,0.49231445512888616,0.874866251781446,-0.7572086923521806,0.8832015212335093,-0.9999839555931006,0.15477627479270187,0.348082930090548,0.17067344808691765,0.6514374145810263
Shadow,P02,-0.13565815201819942,-0.05654796836451487,-0.07911018365368455,0.6939939730400896,-0.9116527812558901,0.8645849230521617,-0.9616472040807977,0.22072795770902046,0.16540939689596554,0.08064842765293542,0.7584042743786327
Shadow,S01_oil,1.8821053974266038,-0.0009192510263903997,1.8830246484529942,0.9908496584537898,0.9234799144024535,0.9962737910028486,0.7638278051932107,0.0922920043193716,0.9424712172705298,0.17013170271417669,0.4935784673628354
Shadow,S02_linocut,1.8503117008200094,0.2535357613816104,1.5967759394383991,0.9948579929221283,0.953334268022571,0.9251821457453583,-0.36312260976632144,0.06179089227057245,0.8505048905793708,0.19513544397057672,0.36154181796960744
Shadow,S03_cyberpunk,1.7376528369428783,0.13315600551303108,1.6044968314298473,0.6652815105418488,0.8985722186156503,0.9539562069709927,-0.6019464851060865,0.05540458936906711,0.2127332000487811,0.18634409803939475,0.2634611970658491
Shadow,S04_gouache,1.744389160583047,0.025971343291305682,1.7184178172917415,0.8978411415625693,0.9991866683831818,0.9688980131360483,0.9657431625614267,0.026721514403711726,1.299678099076761,0.13329355140393423,0.8107153658566306
Shadow,S05_pencil,1.877958774671357,-0.10716096316709872,1.9851197378384557,0.956848224491655,0.8268078310699263,0.9438959748012237,0.7381195309786827,0.41152066948976285,0.9572075220782506,0.40530938174999287,0.9434146768930903
Shadow,S06_pastel,1.9118253527257394,0.09928685413684557,1.8125384985888937,0.9978643220327162,0.9996328227291483,0.9996756315956722,0.8829295051821778,0.15145939893145788,2.0758977443893682,0.09438533451106113,1.495992912388246
Shadow,S07_comic,1.4995626500423698,0.23148119932896716,1.2680814507134026,0.8938703483822207,0.8020283065246737,0.8946803434947453,0.2662707740307127,0.10542041600546369,0.7791588939133446,0.1659490619998626,0.567718287576821
Shadow,S08_papercraft,1.614195258258027,0.18338350537905718,1.43081175287897,0.8026087740128269,0.9580705505623518,0.9999933308587763,0.917916090961438,0.2341447093818053,1.185959451093066,0.07411516271740125,0.4845499904453206
Shadow,S09_fresco,1.911495737454938,-0.09644472413847566,2.0079404615934138,0.999918507400255,0.8973633148718325,0.9351915370143292,-0.49480340180668414,0.026785855125542136,0.19893100447283096,0.127276328095851,0.02815119489118787
Shadow,S10_synthwave,1.728067267793099,0.12495172826276152,1.6031155395303376,0.8480205435460574,0.9945781750297165,0.8963603820227934,0.9019470416957205,0.3454103236248478,1.2064777797545798,0.28021753711403175,0.532029795728825
Palette,P01,0.5431087114898479,1.020636831627021,-0.47752812013717305,-0.10727237822833942,0.8609585491477533,0.607645378297554,0.7471962099676247,0.22863405099626002,0.7372239635974311,0.2736597342418923,1.7342881878292273
Palette,P02,1.2309848077515242,0.9994762765748659,0.23150853117665826,0.81327033230652,0.883214979300392,0.8374493677211817,0.7917210326506048,0.18155482712729404,0.6901385139123526,0.1552308282319678,1.4217938723825068
Palette,S01_oil,0.7671433248837805,0.6425495704722871,0.12459375441149334,0.5653743636720656,0.5853168134190945,0.007063365031049319,0.8942278099081653,0.5023399694282359,0.3834397418871509,0.27815601302700044,1.7211381067293399
Palette,S02_linocut,1.1526093477727584,0.7256518309143529,0.42695751685840544,0.7788434779402553,0.9380543348300385,0.9116961465869062,0.9704845915041305,0.18923136340030955,0.4943347558318081,0.2702599013641493,1.5851460866819158
Palette,S03_cyberpunk,0.28629961566950984,0.13107517828314807,0.15522443738636177,0.06241804027208733,-0.2066682933461689,0.29524289893057554,0.8934786309812139,0.0721479097755197,0.3099148946327908,0.17684493728633957,1.9426979166295404
Palette,S04_gouache,0.881774954944329,0.46330333977035976,0.41847161517396925,0.4286308251526091,0.8889371130858141,0.2935166234186258,0.9547913690983793,0.21835991329353097,0.97569160511978,0.2086677257237677,2.2917052003261795
Palette,S05_pencil,0.2973742646885383,0.2679600487377638,0.02941421595077448,0.6550441274534707,-0.23153400933929585,0.8024240156088294,0.7713764385333389,0.2831456972038271,0.8801460489609647,0.2223290752044486,2.224145992710591
Palette,S06_pastel,0.6297180758804175,0.7081693944098444,-0.07845131852942688,0.29038316050797613,0.8049542263692581,0.8337356901088627,0.9753503841075193,0.27665992849978804,0.4996788776774829,0.1765589271869989,2.179656849611062
Palette,S07_comic,0.46918318903520206,0.9816684044117288,-0.5124852153765267,0.834320406476087,0.26171389764070707,0.913500183660479,0.7764295052274829,0.16253992389466387,0.4386815431282687,0.18965529022663938,1.0204908126750272
Palette,S08_papercraft,-0.2131158312183121,0.24751042515678068,-0.4606262563750928,-0.4495629514500597,0.040798010391573415,-0.747231709854393,0.9780261874550465,0.3319233102257702,0.3920150478008413,0.08614456223875533,1.1809686817570921
Palette,S09_fresco,0.29194746285582446,0.7768616977709942,-0.4849142349151698,0.4450005946554997,0.08809070159501006,0.8749570625997453,0.8638496036301399,0.12141285549304591,0.6962212019917938,0.520377268219267,1.3236333905371067
Palette,S10_synthwave,0.9442813198956603,0.774402161053426,0.16987915884223437,0.6332140381191071,0.765905269716858,0.6429078598141778,0.9439079585853418,0.15831885847028387,0.9331862987200358,0.4023926823077824,1.9614584918119313
