space,prompt_id,V,V_scr,V_minus_V_scr,coh_B1,coh_B6,coh_scrA,coh_scrB,norm_A_B1,norm_A_B6,norm_A_scrA,norm_A_scrB
Texture,S01_oil,1.0889313272089263,0.922287443557299,0.1666438836516273,0.8266886888395323,0.843075707968157,0.9694339494878426,0.9455052162737921,0.07201633328882523,1.2286455489998391,0.0919870959244061,0.8334853460751911
Texture,S02_linocut,1.4969415932845163,1.2409910211609607,0.25595057212355554,0.967994554201634,0.7620498373070747,0.6298373913604475,0.7821391653022519,0.18432326016627826,0.5929223737848586,0.24818964812649977,0.093679358633204
Texture,S03_cyberpunk,0.8067719189766437,0.3383435080234487,0.468428410953195,0.2811554610398177,0.35960958306588714,0.499062425101409,0.4964834673762958,0.11450285602652131,1.0660046135285286,0.11243603998062589,0.48782938812141624
Texture,S04_gouache,0.7832875950067281,0.4212054121511951,0.36208218285553295,0.09349293789685259,0.9588231388117785,0.4170766709155047,0.9285706338298715,0.1359335642571663,0.7665393037162479,0.0593169461244408,0.8876012618366338
Texture,S05_pencil,0.953873263574353,0.6332849173138752,0.32058834626047783,0.30880291213512756,0.921482148032887,0.8847633063453559,0.7117611142344304,0.21445455775859695,0.9985568771001508,0.3860944931790795,1.230233344547822
Texture,S06_pastel,1.071990254238936,0.5421185240185515,0.5298717302203844,0.7840871437001278,0.7694041793475456,0.7001040185610924,0.980399461933036,0.08643691898813492,1.1970353084880814,0.06607980250497396,0.8223783401708621
Texture,S07_comic,1.2586937168324215,1.1823258116211375,0.076367905211284,0.8125593145817024,0.9391475763631707,0.8931458936628184,0.9040189257874486,0.231023353873097,0.5853176610670577,0.3496672953062529,0.5782270694088354
Texture,S08_papercraft,1.466300364530136,1.2108863466081012,0.2554140179220348,0.9901751544873123,0.9876754567807564,0.9577246151787793,0.9693710468531507,0.13592848140131655,0.5794815625748486,0.06812730506015706,0.553976344134358
Texture,S09_fresco,1.114596256917991,1.0712719470764043,0.04332430984158675,0.318894754793249,0.9518120163873315,0.9745985697903863,0.9968936535323095,0.09052820021337007,0.8596035816310583,0.06802415608347703,0.8590209844851644
Texture,S10_synthwave,1.3773059329272026,0.9571045591809539,0.42020137374624866,0.7740698423032407,0.9410739450043213,0.943542442748751,0.8798163464453063,0.21808574145285375,0.442933019727497,0.129802676356882,0.30007980092086717
Linework,S01_oil,0.11156201079533395,-0.020112486701404808,0.13167449749673876,-0.37848439599617795,0.6599451262027605,-0.8886118804273183,0.9599420500042081,0.16968667673548676,0.8717060463031139,0.38126273122599613,0.7765935030351045
Linework,S02_linocut,-0.13951109794396555,0.047868418105507626,-0.18737951604947317,-0.7405630757519147,0.7723854114105179,-0.8044648416388975,0.5417795584237866,0.11757326305292262,0.6811689313513298,0.22811380612958435,0.43014993134857354
Linework,S03_cyberpunk,1.2509909616111023,-0.04377404038776214,1.2947650019988646,0.9059953539749048,0.8494742265247262,-0.5436479489618349,0.9485928700771469,0.10515527559450874,0.48840459265651304,0.18335424779267354,0.3600544198873682
Linework,S04_gouache,0.6102697862944847,-0.29495407446944977,0.9052238607639345,0.3878119803486694,0.727280184740848,0.24135002132586184,0.37265130090909615,0.3717131519244518,0.6347847782212118,0.1251430364160258,0.4276102296093284
Linework,S05_pencil,0.10937421765772443,0.011384487450418646,0.09798973020730578,-0.08875730795499746,0.9246975323409955,-0.8262199536960738,0.7988752939842311,0.12226293720740318,0.7124832812733345,0.2747339656849716,0.8806577902000255
Linework,S06_pastel,1.3119507605843657,-0.03635014003132439,1.34830090061569,0.3025352745416892,0.9901492088606464,-0.3961478823708841,0.9981594333332174,0.0933748717432892,1.0112376415073472,0.10092571385331497,0.7310962081260035
Linework,S07_comic,0.027610042815488955,-0.06305986669395325,0.0906699095094422,-0.9762956074507286,0.7201414637635152,-0.7255867834969899,0.9559905621212982,0.13254366899544695,1.0521258814724148,0.19965149155816814,1.0991196994713954
Linework,S08_papercraft,0.7381582723583351,-0.07249795129647021,0.8106562236548053,0.4208438723786613,0.9669667681688432,-0.49660078403994345,0.9570861092600031,0.08942857583158126,0.5712500913164162,0.12442768029040983,0.5044794889090988
Linework,S09_fresco,1.2515740572285439,-0.23792124039724505,1.489495297625789,0.45042615119640944,0.9422469341988055,-0.5479403843040002,0.9629690971564092,0.29745342707359684,1.3603585375136191,0.2891383570858401,1.0138030669828855
Linework,S10_synthwave,1.4318331031147826,0.011864431533879172,1.4199686715809035,0.9488521152379545,0.923792346530344,-0.7767686387970988,0.8224156158297445,0.32895586683569805,0.5157231376652733,0.39038239803143776,1.2431933665025523
Shadow,S01_oil,1.871668597146584,-0.0008851064826114752,1.8725537036291955,0.9997169426623702,0.9167878881031735,0.9998766177459871,0.8242627596603849,0.0918102084650197,0.9324167395179211,0.1686420442108108,0.48931416843253295
Shadow,S02_linocut,1.7825456325013485,0.2644690716672925,1.5180765608340558,0.9678631201552937,0.9576974580635202,0.9512694336540011,-0.4106892627977251,0.06097719637855034,0.8210800421790714,0.1949148085692417,0.36145934845163447
Shadow,S03_cyberpunk,1.666627304160791,0.11603871438005342,1.5505885897807377,0.5340557763662905,0.8919876133996801,0.9298397193050897,-0.6416461300811673,0.05329058874093238,0.21115028913552486,0.18208443695854212,0.26365166262118744
Shadow,S04_gouache,1.738469692290551,0.024958725847700647,1.7135109664428503,0.9574648510316703,0.9998080562147684,0.9496780794283978,0.9860952561822962,0.02674734679001953,1.2655600653610983,0.1304815866385996,0.7907117680203626
Shadow,S05_pencil,1.8273041214800894,-0.10096330017610194,1.9282674216561912,0.8729782362209898,0.820100502615935,0.9111734503659913,0.8287809494811434,0.4039878566169316,0.9528542051354287,0.39617007849514,0.9329688335304631
Shadow,S06_pastel,1.8687793329526143,0.08511339729555856,1.783665935657056,0.9950498771259135,0.9999925307753056,0.9991330775957097,0.9550904437767556,0.15033924285949885,2.0225171768673116,0.09337122870493667,1.4628914880953379
Shadow,S07_comic,1.4575304735485775,0.27287140136430993,1.1846590721842676,0.9559820491231523,0.8040415161224279,0.9264998331570816,0.2238012013845111,0.10551250486769094,0.7480880044435417,0.16596434071247276,0.5540292502104812
Shadow,S08_papercraft,1.6149014214316153,0.19244402268772004,1.4224573987438953,0.893522642733561,0.9627516007056581,0.9980523905839986,0.8931628660766484,0.2344476215409023,1.1458014596903041,0.07326082952069751,0.4654152023336436
Shadow,S09_fresco,1.897463092806785,-0.11796360913360204,2.0154267019403873,0.9868207107520396,0.8907818537157023,0.9589635607047454,-0.40597282107927296,0.02651994110473373,0.19747326791667444,0.1271007663395998,0.02740590096677333
Shadow,S10_synthwave,1.7322519323683925,0.12076297655047508,1.6114889558179173,0.9285454794041718,0.9964522096863028,0.9279548093250407,0.9369009878572746,0.34574912786354883,1.17224025289046,0.2801213830077631,0.5227774546356835
Palette,S01_oil,0.8100419078815265,0.7447662551787648,0.0652756527027617,0.6276877286442629,0.6949888657994091,0.14777798119495048,0.9036113984301388,0.6218565628525536,0.4646778620468955,0.33372359714309946,2.229527418293707
Palette,S02_linocut,1.1667023158677106,0.881279799064215,0.2854225168034955,0.8071916938841686,0.932728228655944,0.9184146208242048,0.9815737980822532,0.24276426966126255,0.71535743179611,0.3401897832507219,1.925697150956225
Palette,S03_cyberpunk,0.14494409413692047,0.2751212407183689,-0.13017714658144844,-0.056385406726576257,-0.28517496860657154,0.32276338505245444,0.9193551039492128,0.08519598877683326,0.3754958394871072,0.20890328191695426,2.4462022342408405
Palette,S04_gouache,0.8021706272491284,0.45216723574431333,0.350003391504815,0.48503730035592424,0.7731796386262002,0.12686130987455535,0.9343471810674561,0.3017880940171673,1.3444791774802471,0.25191069098557556,2.964236258569066
Palette,S05_pencil,0.3972840579614223,0.3243638601578318,0.07292019780359049,0.7681386083292467,-0.20774828259718073,0.7327632527148802,0.7714643535273917,0.36925732290410856,1.0623997005125236,0.2539577471820109,2.505998085963789
Palette,S06_pastel,0.7751030679245643,0.8140445109720813,-0.03894144304751701,0.5397746971467661,0.8503558321089315,0.7863452201650328,0.9852148575707443,0.3967649562787435,0.6897871004422532,0.21027531288459497,2.696675690692564
Palette,S07_comic,0.5864360840129683,1.0534489140459542,-0.4670128300329859,0.8638181793745698,0.3121708135492799,0.9494462945939693,0.7898860246022993,0.2628593566077699,0.5267003297648452,0.24226932707615995,1.5617809233247026
