recovered_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,bench,prompt_id,seed,condition,output_folder
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s4242145_scramble_B_00001_.png,S08_papercraft_s4242145_scramble_B_00001_.png,,,,1024,1280,80.5591,6.9597,87.03,0.1654,#cec7bb,9.1471,2.1522,26.17,0.1368,#1d1919,0.8938,74.3647,9.5964,5,0.2529,69.9913,7.1522,1.8743,8.22,0.12,#191515,21.6053,34.4199,36.65,0.0602,#5d2017,51.7557,71.8656,33.71,0.0179,#df433b,54.917,39.2861,63.53,0.0584,#b07747,61.7066,16.4778,218.58,0.1328,#6e9ca7,81.5169,24.9556,76.99,0.0461,#e6c69d,rotations_block1_vs_block6 + rotations_triangolo,S08_papercraft,4242145,scramble_B,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s4242145_scramble_A_00001_.png,S08_papercraft_s4242145_scramble_A_00001_.png,,,,1024,1280,76.406,34.3937,68.54,0.0415,#e6b382,3.3306,4.4095,16.49,0.3114,#150909,0.9825,72.8624,13.346,4,0.3149,72.5769,2.2915,1.634,330.64,0.2464,#0b070a,26.8171,38.3491,40.21,0.0685,#6e2a1b,27.4665,42.4055,301.51,0.0236,#413779,35.4292,23.8382,352.99,0.0678,#754559,39.5118,74.2109,33.71,0.0319,#ba111d,75.154,35.1165,72.33,0.0236,#e0b07c,rotations_block1_vs_block6 + rotations_triangolo,S08_papercraft,4242145,scramble_A,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s42_Block_1_pos_00001_.png,S08_papercraft_s42_Block_1_pos_00001_.png,,,,1024,1280,90.1004,2.3997,108.48,0.2047,#e3e3de,11.9414,5.1199,14.13,0.1284,#271d1e,0.8037,76.5988,7.3191,5,0.3061,75.3306,5.5763,2.4941,347.14,0.0901,#161113,25.9157,49.9601,30.51,0.0338,#7b1319,46.8467,77.8247,38.78,0.0291,#d1311f,65.4341,47.6485,76.12,0.0622,#c9964b,81.0123,23.4811,77.96,0.0549,#e2c59f,82.1751,16.6993,240.98,0.2159,#abd2e7,rotations_block1_vs_block6 + rotations_triangolo,S08_papercraft,42,Block_1_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s42_baseline_00001_.png,S08_papercraft_s42_baseline_00001_.png,,,,1024,1280,85.6167,8.1796,75.43,0.151,#e0d4c7,8.2853,3.88,27.37,0.1072,#1e1616,0.8483,71.116,6.6116,6,0.3079,65.3514,7.484,3.2262,21.86,0.115,#1b1515,22.447,39.4583,32.17,0.067,#661b18,47.8269,68.5776,32.67,0.0269,#cf3a37,63.639,54.4165,69.51,0.0361,#d08b3d,71.3354,25.2132,73.5,0.0288,#cba983,78.6,10.9626,237.81,0.1928,#adc7d3,rotations_block1_vs_block6 + rotations_triangolo,S08_papercraft,42,baseline,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s42_scramble_A_00001_.png,S08_papercraft_s42_scramble_A_00001_.png,,,,1024,1280,77.7446,39.8569,71.46,0.0653,#edb67a,4.486,2.5603,263.0,0.2984,#0c1014,0.9681,77.7765,9.2041,5,0.3258,77.0524,3.3045,3.1853,280.15,0.2691,#0a0c12,16.074,34.8044,301.13,0.0261,#262153,20.602,42.2452,32.57,0.0567,#631212,45.9627,80.2377,37.81,0.0277,#d2281c,73.2696,18.6884,49.37,0.05,#d4ab9b,81.081,51.9648,83.04,0.0173,#f1c367,rotations_block1_vs_block6 + rotations_triangolo,S08_papercraft,42,scramble_A,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s42_scramble_B_00001_.png,S08_papercraft_s42_scramble_B_00001_.png,,,,1024,1280,79.4386,8.1321,81.18,0.1728,#cec3b6,7.3794,2.5938,24.4,0.1179,#1a1515,0.8816,78.6478,11.8414,4,0.2598,70.9533,7.0766,2.3123,18.44,0.1279,#191515,21.7222,40.0174,34.34,0.0536,#641914,52.3699,73.2656,33.56,0.0181,#e2423b,55.852,38.1834,63.69,0.0589,#b27a4b,58.0189,15.6462,218.31,0.1319,#67929c,85.7243,19.1447,76.17,0.0371,#edd2b4,rotations_block1_vs_block6 + rotations_triangolo,S08_papercraft,42,scramble_B,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s4242145_Block_6_neg_00001_.png,S08_papercraft_s4242145_Block_6_neg_00001_.png,,,,1024,1280,69.9343,20.8172,321.33,0.0921,#bea2c3,51.2019,30.842,312.55,0.1089,#8b6fa1,0.5669,15.8456,2.489,3,0.1887,13.5815,48.363,29.578,314.28,0.0461,#856897,54.9362,34.9142,309.54,0.0791,#9378b2,56.6316,21.3327,332.74,0.0251,#a17d99,56.8804,23.2581,313.63,0.0716,#9780a6,58.5199,27.3838,311.64,0.1096,#9c83b1,64.2086,31.8512,307.67,0.067,#a992c9,rotations_block1_vs_block6 + rotations_triangolo,S08_papercraft,4242145,Block_6_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s1337_Block_1_neg_00001_.png,S09_fresco_s1337_Block_1_neg_00001_.png,,,,1024,1280,74.118,15.9801,88.89,0.1295,#c3b599,16.0785,4.7574,65.82,0.0545,#2d2722,0.8532,66.9361,12.4389,5,0.2111,43.0015,14.0857,4.1024,61.51,0.0489,#29231f,27.1032,38.0639,37.06,0.0405,#70291e,37.8998,12.2094,85.2,0.1166,#625846,43.686,4.7662,184.34,0.0945,#5e6a68,44.2813,47.1039,38.36,0.0247,#aa4c3a,81.0218,21.7889,80.81,0.0137,#dfc6a1,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,1337,Block_1_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s1337_Block_6_pos_00001_.png,S09_fresco_s1337_Block_6_pos_00001_.png,,,,1024,1280,28.1647,38.0414,80.72,0.075,#583e00,7.839,15.7959,48.21,0.088,#291100,0.7531,29.0756,4.9676,3,0.1914,30.6915,6.2423,12.3755,47.14,0.038,#230f01,10.8842,18.6849,61.43,0.0932,#2f1800,11.8089,23.3783,49.97,0.0982,#371600,14.5853,22.3336,74.52,0.074,#352100,20.0816,33.3163,60.99,0.0477,#4e2600,35.3178,43.067,94.33,0.0018,#5f5301,rotations_block1_vs_block6 + rotations_triangolo,S09_fresco,1337,Block_6_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s42_Block_6_neg_00001_.png,S08_papercraft_s42_Block_6_neg_00001_.png,,,,1024,1280,74.7124,15.5444,327.39,0.0819,#c9b0c7,59.1877,20.8108,320.55,0.0961,#a086a6,0.4257,12.9332,1.6576,2,0.1544,9.5831,56.7016,21.0251,322.28,0.057,#9b7f9f,61.8458,18.4058,310.02,0.058,#9f8fae,62.7439,16.2254,353.04,0.0165,#b38e9c,63.4045,25.8085,310.21,0.0891,#a791bd,66.3221,21.3965,299.88,0.0487,#a49cc2,69.6348,25.3608,306.29,0.0653,#b4a3cf,rotations_block1_vs_block6 + rotations_triangolo,S08_papercraft,42,Block_6_neg,rotations_block1_vs_block6
