file,condition,prompt_dir,prompt_sha1,seed,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,source_csv
B4_free_blockshuf_neg_seed42_00001_.png,blockshuf_neg,B4,4671cedb95,42,renders/B4_free_blockshuf_neg_seed42_00001_.png,1024,1280,91.8276,7.1398,228.77,0.3614,#d8ebf2,3.9047,1.3421,258.49,0.0783,#0c0e10,0.635,73.819,10.2553,4,0.2109,27.6435,3.0613,0.7308,256.8,0.1101,#0a0b0d,22.4281,16.4206,267.99,0.0208,#23374e,50.8093,27.112,271.26,0.0763,#5a7ba7,54.9588,28.3743,250.68,0.07,#488ab1,75.3441,14.4529,205.38,0.1008,#97c1c4,76.8802,20.592,235.82,0.0635,#91c5dd,palette_features_stage8.csv
B4_free_blockshuf_neg_seed777_00001_.png,blockshuf_neg,B4,4671cedb95,777,renders/B4_free_blockshuf_neg_seed777_00001_.png,1024,1280,91.4023,7.4836,227.44,0.2925,#d6eaf1,3.9135,0.7451,244.03,0.0857,#0c0e0f,0.7044,75.1225,8.6894,6,0.2922,32.2005,3.7156,0.6621,241.33,0.1204,#0c0e0e,20.6743,14.6706,263.45,0.07,#1f3447,51.3283,24.9373,275.02,0.0448,#637ba4,61.3988,32.8626,77.64,0.0033,#b28e5c,66.5508,26.4886,244.99,0.1718,#69aacc,78.8381,13.2604,213.83,0.05,#a4cad0,palette_features_stage8.csv
B4_free_blockshuf_neg_seed1337_00001_.png,blockshuf_neg,B4,4671cedb95,1337,renders/B4_free_blockshuf_neg_seed1337_00001_.png,1024,1280,90.897,5.9876,187.23,0.2683,#d8e8e6,3.6395,1.0739,259.62,0.1107,#0b0d0f,0.6779,74.2209,16.9581,4,0.3538,30.2426,3.2046,0.7726,260.03,0.1547,#0a0c0d,51.4243,24.2464,271.32,0.0591,#617ca4,60.2094,25.5009,80.99,0.0033,#a78d65,63.0066,31.0152,243.7,0.1992,#4da2c9,73.7892,16.1391,210.86,0.0562,#8fbdc4,77.4254,22.3742,238.03,0.0583,#8ec7e2,palette_features_stage8.csv
B4_free_blockshuf_neg_seed9999_00001_.png,blockshuf_neg,B4,4671cedb95,9999,renders/B4_free_blockshuf_neg_seed9999_00001_.png,1024,1280,92.6462,6.3908,223.5,0.3256,#dcedf2,2.9224,1.0823,265.09,0.113,#090b0d,0.6657,78.4117,8.347,5,0.3531,30.1821,2.2788,0.5434,269.91,0.1549,#08080a,27.5846,12.926,254.75,0.0225,#2e4454,38.7641,29.1177,269.95,0.0976,#345e8a,63.8514,30.7255,241.07,0.1982,#4ea5ca,76.8275,15.1959,208.69,0.0222,#99c5cb,80.6905,18.9766,232.68,0.0861,#9ed0e4,palette_features_stage8.csv
B4_free_blockshuf_neg_seed4242145_00001_.png,blockshuf_neg,B4,4671cedb95,4242145,renders/B4_free_blockshuf_neg_seed4242145_00001_.png,1024,1280,90.7196,7.4176,217.37,0.3104,#d4e8ed,3.7038,0.5209,244.59,0.1026,#0c0d0e,0.6904,78.4854,7.7026,5,0.3718,30.9393,3.4261,0.2923,220.57,0.1434,#0c0d0d,19.04,11.0725,265.42,0.031,#222f3e,39.359,31.2317,272.48,0.0783,#355f8f,66.1181,29.6706,241.2,0.2283,#59aacf,77.9658,19.7253,238.25,0.0329,#97c8df,81.9114,8.2694,39.62,0.0076,#dcc7c2,palette_features_stage8.csv
B4_free_rand_pos_seed42_00001_.png,rand_pos,B4,4671cedb95,42,renders/B4_free_rand_pos_seed42_00001_.png,1024,1280,88.8384,7.2044,208.05,0.3248,#cfe3e5,4.8904,2.4099,274.23,0.1022,#0f1114,0.6665,74.0529,9.5135,5,0.2529,28.4346,3.2133,1.0731,283.38,0.1205,#0b0c0e,25.3393,20.4152,272.57,0.0232,#263d5b,53.9007,29.5077,269.24,0.1297,#5c83b3,62.4646,26.9003,253.15,0.1232,#659dc4,75.3925,13.8181,201.9,0.0969,#99c1c3,77.2661,19.6628,237.3,0.0493,#95c6dd,palette_features_stage8.csv
B4_free_rand_pos_seed777_00001_.png,rand_pos,B4,4671cedb95,777,renders/B4_free_rand_pos_seed777_00001_.png,1024,1280,89.5593,6.3936,183.05,0.1095,#d4e5e2,4.9247,2.137,270.14,0.1095,#0f1114,0.6724,73.749,9.2111,4,0.2991,28.335,3.4901,1.1036,276.38,0.1341,#0c0d0f,29.8894,19.0528,268.18,0.031,#304864,53.4864,29.4386,269.28,0.0945,#5b82b2,68.245,25.3438,245.65,0.1651,#72aecf,72.73,15.4868,199.72,0.1174,#8ebbbb,77.239,17.6697,233.97,0.0726,#99c6d9,palette_features_stage8.csv
B4_free_rand_pos_seed1337_00001_.png,rand_pos,B4,4671cedb95,1337,renders/B4_free_rand_pos_seed1337_00001_.png,1024,1280,87.0325,7.9644,208.31,0.3407,#c8dee1,5.1367,2.1659,278.95,0.129,#101115,0.6453,71.2322,8.1145,5,0.289,29.4329,3.9433,1.2314,287.72,0.1708,#0e0e10,30.2126,19.6531,273.83,0.0292,#354865,50.7577,30.6643,273.44,0.1024,#577aad,62.3831,26.7059,253.29,0.1182,#659dc4,71.5074,14.6614,204.98,0.081,#8db7ba,75.1756,19.4178,238.99,0.0433,#91c0d7,palette_features_stage8.csv
B4_free_rand_pos_seed9999_00001_.png,rand_pos,B4,4671cedb95,9999,renders/B4_free_rand_pos_seed9999_00001_.png,1024,1280,91.9581,5.4987,220.24,0.1862,#dcebef,4.6089,2.5565,274.96,0.1259,#0e1014,0.6514,75.8481,7.8347,5,0.2891,29.2863,3.1772,1.2091,280.78,0.1566,#0b0b0e,25.2486,19.6396,273.52,0.0267,#283d59,50.8107,30.4955,272.71,0.1325,#567bad,65.1614,27.8884,250.1,0.1324,#66a5cc,74.8212,14.4205,205.65,0.0713,#96c0c3,79.0253,17.6984,238.55,0.0534,#9fcadf,palette_features_stage8.csv
B4_free_rand_pos_seed4242145_00001_.png,rand_pos,B4,4671cedb95,4242145,renders/B4_free_rand_pos_seed4242145_00001_.png,1024,1280,89.1142,7.2955,208.25,0.2816,#cfe4e6,3.5934,1.5272,271.28,0.1205,#0b0d10,0.6624,74.0187,8.4273,5,0.2789,29.5969,3.0565,0.925,268.33,0.1675,#0a0b0d,12.6134,12.8975,278.76,0.0283,#182132,40.6006,30.5219,274.99,0.0624,#3e6191,60.4705,30.1607,253.33,0.1113,#5699c4,73.4399,16.2175,200.71,0.0929,#8ebdbe,77.0753,20.3686,241.22,0.0504,#95c5df,palette_features_stage8.csv
