run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
98,S05_pencil,4242145,baseline,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s4242145_baseline_00001_.png,S05_pencil_s4242145_baseline_00001_.png,1024,1760,2.799999952316284,1.8890149593353271,0.6746482112518074,0.13308493874289773,71.1512904182735,3371,3.196368455886841,3.9524433612823486,0.59965,0.8350472179398902,10.127378500130332,30.509384155273438,5,23.0,5.747165100475895,5.575617219186517,0.7101695098098526,0.2947744356198022,0.9721633600525539,2.9045544979083657,0.875644198330966,-3.265169285581513,1.3044972612825022e-05
99,S05_pencil,4242145,Block_1_pos,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s4242145_Block_1_pos_00001_.png,S05_pencil_s4242145_Block_1_pos_00001_.png,1024,1760,2.799999952316284,2.3428683280944824,0.8367387028547475,0.09848688299005681,26.571407185628743,6680,3.348625421524048,3.9947316646575928,0.6322,0.8398795070521832,10.263977644825573,46.747474670410156,3,23.0,6.422402299407852,7.606365752633307,0.7451896570985318,0.2927081203033864,0.9651142396777839,2.834175203488733,0.9315185546875,-2.8822251170575686,2.356376683417036e-05
100,S05_pencil,4242145,Block_1_neg,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s4242145_Block_1_neg_00001_.png,S05_pencil_s4242145_Block_1_neg_00001_.png,1024,1760,2.0,1.6027390956878662,0.8013695478439331,0.10068470348011363,49.05596107055961,3699,3.6427230834960938,4.127575397491455,0.5281,0.8699387632574477,11.156055046981114,35.38578414916992,4,24.0,5.417053210651141,2.939650720155106,0.7280254671768613,0.28050992127997754,0.9774499247256632,2.9070935491569028,0.9349925648082387,-3.0699197272622563,1.0212962254921606e-05
101,S05_pencil,4242145,Block_6_pos,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s4242145_Block_6_pos_00001_.png,S05_pencil_s4242145_Block_6_pos_00001_.png,1024,1760,2.0,1.0392735004425049,0.5196367502212524,0.004052734375,52.54676258992806,139,3.6935536861419678,4.089625358581543,0.64195,0.7672763912814831,8.392528697664224,34.36332702636719,1,1.0,2.3239997848536906,0.936939691051875,0.9099376805770505,0.5789436373011929,0.6172065532806223,2.46505581327916,0.9814763849431818,-2.377504117930786,0.0001679674977976658
102,S05_pencil,4242145,Block_6_neg,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s4242145_Block_6_neg_00001_.png,S05_pencil_s4242145_Block_6_neg_00001_.png,1024,1760,2.0,1.9992804527282715,0.9996402263641357,0.023254949396306818,37.42053571428571,1120,3.67270827293396,4.048539638519287,0.5006999999999999,0.8604157107196253,10.865350752533388,21.73212242126465,2,26.0,6.07802187727702,2.2103143168450985,0.706746452487958,0.3242768061782571,0.9833346920131805,2.569763481537109,0.8163241299715909,-2.2623673264622663,3.281641402494869e-05
103,S05_pencil,4242145,scramble_A,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s4242145_scramble_A_00001_.png,S05_pencil_s4242145_scramble_A_00001_.png,1024,1760,2.0,2.243957757949829,1.1219788789749146,0.023692183061079546,44.61755485893417,957,3.422309637069702,4.022145748138428,0.6811499999999999,0.7816689848932394,8.73420225537232,50.085121154785156,1,20.0,8.696542813943005,1.9771851666200506,0.8752329466778621,0.38017398179311634,0.9601824285018472,2.6841847394620597,0.9265902432528409,-2.720039621146071,5.3871651313275556e-05
104,S05_pencil,4242145,scramble_B,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S05_pencil_s4242145_scramble_B_00001_.png,S05_pencil_s4242145_scramble_B_00001_.png,1024,1760,2.0,1.6604915857315063,0.8302457928657532,0.10526622425426137,57.263809236341686,3313,3.4772839546203613,4.065767288208008,0.518,0.8735242766804922,11.267512197574824,35.23548126220703,3,25.0,4.9337259180410795,2.962866580192587,0.7320561882771979,0.28123857570007577,0.9762862041638597,2.956964678266939,0.8899918989701705,-2.9433833319040197,1.4298797861164326e-05
105,S06_pastel,42,baseline,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s42_baseline_00001_.png,S06_pastel_s42_baseline_00001_.png,1024,1760,2.799999952316284,2.059997320175171,0.7357133411631132,0.04475597034801136,64.68404170008019,1247,3.5502710342407227,4.104769229888916,0.5545,0.858129955034198,10.796709756560476,51.64768600463867,6,19.0,7.164683108639963,2.1791303969674427,0.8373212326206441,0.29933154320523725,0.9828383453583036,2.8440231636759155,0.8448586203835227,-3.238797232523306,8.095320091493475e-06
106,S06_pastel,42,Block_1_pos,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s42_Block_1_pos_00001_.png,S06_pastel_s42_Block_1_pos_00001_.png,1024,1760,2.799999952316284,2.4441170692443848,0.8728989681669468,0.07444513494318182,29.173298543161557,4599,3.5391287803649902,4.077353477478027,0.54725,0.8664099019334172,11.047435537083324,54.83500289916992,5,21.0,6.647921996113836,4.707261026965998,0.7801035529180719,0.2857898060737716,0.9709779585577896,2.713808232980678,0.9563210227272727,-3.0700335717520253,1.5009935962773919e-05
107,S06_pastel,42,Block_1_neg,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s42_Block_1_neg_00001_.png,S06_pastel_s42_Block_1_neg_00001_.png,1024,1760,2.0,1.5853734016418457,0.7926867008209229,0.04377774325284091,48.6124460874923,1623,3.6578543186187744,4.112981796264648,0.5408000000000001,0.8583401209789331,10.803002872920725,45.798805236816406,2,23.0,6.090915854139304,1.9427588177283521,0.7877652576603109,0.2868057299565224,0.9772842481175654,2.800877175148677,0.9504522150213067,-2.987065734495373,1.0569201784378416e-05
108,S06_pastel,42,Block_6_pos,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s42_Block_6_pos_00001_.png,S06_pastel_s42_Block_6_pos_00001_.png,1024,1760,2.0,1.1576021909713745,0.5788010954856873,0.004114324396306818,51.49305555555556,144,3.7142422199249268,4.1015706062316895,0.56495,0.8240225500015573,9.82249957326254,39.3300895690918,1,1.0,6.452445949059243,1.074522014756918,0.8591728555802901,0.4823023397869585,0.6436624728096829,2.4135578575690206,0.9852871981534091,-2.5425039448615623,0.00010502538676269231
109,S06_pastel,42,Block_6_neg,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s42_Block_6_neg_00001_.png,S06_pastel_s42_Block_6_neg_00001_.png,1024,1760,2.0,1.866811752319336,0.933405876159668,0.06333951083096591,37.93718843469591,3009,3.5496633052825928,3.9437615871429443,0.5338499999999999,0.8732769628491255,11.259788717943206,30.653593063354492,2,26.0,5.121449837448377,3.2430135895496752,0.6238518271780917,0.29902722180617186,0.9716249644051727,2.4824987494483874,0.8135281649502841,-1.92914691155959,9.094720273944022e-05
110,S06_pastel,42,scramble_A,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s42_scramble_A_00001_.png,S06_pastel_s42_scramble_A_00001_.png,1024,1760,2.799999952316284,2.2806060314178467,0.8145021679486917,0.02379705255681818,64.59036144578313,664,3.3684864044189453,3.978079319000244,0.6103000000000001,0.8260663064051936,9.878316721839425,66.31192779541016,2,18.0,8.293555823853472,1.5563977799713344,0.8877789907609337,0.345752167240073,0.9722483194634783,2.5531774301770627,0.9503551136363637,-2.802771348326321,2.599722777792589e-05
111,S06_pastel,42,scramble_B,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s42_scramble_B_00001_.png,S06_pastel_s42_scramble_B_00001_.png,1024,1760,2.0,1.7424180507659912,0.8712090253829956,0.038433837890625,62.97,1100,3.587925434112549,4.098700046539307,0.51895,0.8844419791948722,11.613797802499507,43.109439849853516,3,21.0,7.254799973513594,1.70569040539013,0.8431551038561792,0.29345871220347064,0.9829451094516796,2.8659186251126023,0.9034113103693181,-2.935335537600765,1.053615002286891e-05
112,S06_pastel,1337,baseline,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s1337_baseline_00001_.png,S06_pastel_s1337_baseline_00001_.png,1024,1760,2.799999952316284,2.0333640575408936,0.7262014614888849,0.041367409446022727,55.26612305411416,1349,3.576765298843384,4.1123881340026855,0.59335,0.850751015316504,10.578066618938946,52.96583557128906,6,18.0,7.321960148357198,2.1394272620631645,0.8407244137320424,0.30456508313492137,0.9827949765781064,2.8447809179867587,0.8443320534446023,-3.2271913785392354,7.887755095053662e-06
113,S06_pastel,1337,Block_1_pos,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s1337_Block_1_pos_00001_.png,S06_pastel_s1337_Block_1_pos_00001_.png,1024,1760,2.799999952316284,2.5016303062438965,0.8934394103022884,0.07384588068181819,28.701315505714902,4637,3.5446107387542725,4.077857494354248,0.5541,0.8668938342221059,11.062268329441958,53.67437744140625,5,21.0,6.416613139901555,4.884099507392491,0.7786144382206014,0.2873714623965857,0.9701567476908077,2.7140978280568744,0.957004061612216,-3.065451059758762,1.5428402768743455e-05
114,S06_pastel,1337,Block_1_neg,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s1337_Block_1_neg_00001_.png,S06_pastel_s1337_Block_1_neg_00001_.png,1024,1760,2.0,1.6315829753875732,0.8157914876937866,0.04457563920454546,49.22549019607843,1632,3.655761241912842,4.113630771636963,0.5279499999999999,0.879397569254062,11.452496977687128,44.318878173828125,2,23.0,6.32280628728108,1.9589018553528876,0.7863010882542978,0.2866468000321064,0.9765694381668562,2.782996483618481,0.9538030450994318,-2.985670701005228,1.0593919190532998e-05
115,S06_pastel,1337,Block_6_pos,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s1337_Block_6_pos_00001_.png,S06_pastel_s1337_Block_6_pos_00001_.png,1024,1760,2.0,1.0342766046524048,0.5171383023262024,0.004052734375,52.54676258992806,139,3.506673574447632,4.010085105895996,0.6891,0.7467371953548453,7.927955042739553,27.526641845703125,1,1.0,2.7452660959367856,0.8528358269682226,0.9499707095546805,0.5292067762544153,0.7084337363391373,2.1644302777519697,0.9752513538707386,-2.2160968544800763,0.0003003886217833114
116,S06_pastel,1337,Block_6_neg,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s1337_Block_6_neg_00001_.png,S06_pastel_s1337_Block_6_neg_00001_.png,1024,1760,2.0,1.7656408548355103,0.8828204274177551,0.02836081764914773,42.10296540362438,1214,3.6775119304656982,4.051083564758301,0.52915,0.8724628492430174,11.234401760571533,28.757640838623047,2,26.0,5.784657245869339,2.0688912216052047,0.7150876291389199,0.3214378856257197,0.9830088128361428,2.600087610308219,0.8213212446732955,-2.3231501174637206,2.8698358316401878e-05
