prompt_id,n_seeds,pairs,seeds,benches,mean_hf,sd_hf,relative_sigma_pct,resolutions,feature,estimator
P01,18,153,42 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 777 1337,benchmark_latenti_b6 benchmark_pavimento_rumore,12.675407,0.208734,1.6468,1024x1280,"HF = std(g - GaussianBlur(g, sigmaX=1.5)) on BGR2GRAY float32, frozen in docs/prereg_punto7_simmetria_segno.md sec. 1","sample sd (ddof=1) across distinct baseline seeds, over the mean, percent"
P02,18,153,42 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 777 1337,benchmark_latenti_b6 benchmark_pavimento_rumore,19.073521,0.349298,1.8313,1024x1280,"HF = std(g - GaussianBlur(g, sigmaX=1.5)) on BGR2GRAY float32, frozen in docs/prereg_punto7_simmetria_segno.md sec. 1","sample sd (ddof=1) across distinct baseline seeds, over the mean, percent"
