type,report,prompt_id,seed,block,rot_kind,angle_deg,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
baseline,benchmark_elf_brawler,elf_brawler,4242145,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.0823981761932373,0.5205995440483093,0.099749755859375,90.48027681660899,1445,2.4424972534179688,3.409374952316284,0.49405,0.9122076619924568,12.543174787151006,27.431547164916992,4,14.0,6.276101653965607,13.815137719611418,0.7786111170908943,0.261370810038001,0.9397410725845107,2.479414662960452,0.9502487182617188,-3.5725392734862416,6.431185427186013e-06
baseline,benchmark_tiefling_seed1337,tiefling,1337,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed1337\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.0823981761932373,0.5205995440483093,0.099749755859375,90.48027681660899,1445,2.4424972534179688,3.409374952316284,0.49405,0.9122076619924568,12.543174787151006,27.431547164916992,4,14.0,6.276101653965607,13.815137719611418,0.7786111170908943,0.261370810038001,0.9397410725845107,2.479414662960452,0.9502487182617188,-3.5725392734862416,6.431185427186013e-06
baseline,benchmark_african_scientist,african_scientist,4242145,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.0823981761932373,0.5205995440483093,0.099749755859375,90.48027681660899,1445,2.4424972534179688,3.409374952316284,0.49405,0.9122076619924568,12.543174787151006,27.431547164916992,4,14.0,6.276101653965607,13.815137719611418,0.7786111170908943,0.261370810038001,0.9397410725845107,2.479414662960452,0.9502487182617188,-3.5725392734862416,6.431185427186013e-06
baseline,benchmark_flag,flag,4242145,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.0823981761932373,0.5205995440483093,0.099749755859375,90.48027681660899,1445,2.4424972534179688,3.409374952316284,0.49405,0.9122076619924568,12.543174787151006,27.431547164916992,4,14.0,6.276101653965607,13.815137719611418,0.7786111170908943,0.261370810038001,0.9397410725845107,2.479414662960452,0.9502487182617188,-3.5725392734862416,6.431185427186013e-06
baseline,benchmark_tiefling,tiefling,4242145,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.0823981761932373,0.5205995440483093,0.099749755859375,90.48027681660899,1445,2.4424972534179688,3.409374952316284,0.49405,0.9122076619924568,12.543174787151006,27.431547164916992,4,14.0,6.276101653965607,13.815137719611418,0.7786111170908943,0.261370810038001,0.9397410725845107,2.479414662960452,0.9502487182617188,-3.5725392734862416,6.431185427186013e-06
baseline,benchmark_tiefling_seed42,tiefling,42,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.0823981761932373,0.5205995440483093,0.099749755859375,90.48027681660899,1445,2.4424972534179688,3.409374952316284,0.49405,0.9122076619924568,12.543174787151006,27.431547164916992,4,14.0,6.276101653965607,13.815137719611418,0.7786111170908943,0.261370810038001,0.9397410725845107,2.479414662960452,0.9502487182617188,-3.5725392734862416,6.431185427186013e-06
baseline,benchmark_combat_robot,combat_robot,4242145,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.0823981761932373,0.5205995440483093,0.099749755859375,90.48027681660899,1445,2.4424972534179688,3.409374952316284,0.49405,0.9122076619924568,12.543174787151006,27.431547164916992,4,14.0,6.276101653965607,13.815137719611418,0.7786111170908943,0.261370810038001,0.9397410725845107,2.479414662960452,0.9502487182617188,-3.5725392734862416,6.431185427186013e-06
baseline,benchmark_preraphaelite_altar,preraphaelite_altar,4242145,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_preraphaelite_altar\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.0823981761932373,0.5205995440483093,0.099749755859375,90.48027681660899,1445,2.4424972534179688,3.409374952316284,0.49405,0.9122076619924568,12.543174787151006,27.431547164916992,4,14.0,6.276101653965607,13.815137719611418,0.7786111170908943,0.261370810038001,0.9397410725845107,2.479414662960452,0.9502487182617188,-3.5725392734862416,6.431185427186013e-06
baseline,benchmark_troll_shaman,troll_shaman,4242145,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_troll_shaman\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.0823981761932373,0.5205995440483093,0.099749755859375,90.48027681660899,1445,2.4424972534179688,3.409374952316284,0.49405,0.9122076619924568,12.543174787151006,27.431547164916992,4,14.0,6.276101653965607,13.815137719611418,0.7786111170908943,0.261370810038001,0.9397410725845107,2.479414662960452,0.9502487182617188,-3.5725392734862416,6.431185427186013e-06
rotX,benchmark_african_scientist,african_scientist,4242145,Block_2,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_2_rotX_-30.0_00001_.png,Block_2_rotX_-30.0_00001_.png,1024,1760,4.0,2.179802179336548,0.544950544834137,0.11491851806640625,99.09605263157894,1520,2.4263203144073486,3.3444137573242188,0.4837,0.940803360065745,13.578135102914345,31.444272994995117,3,16.0,6.447245215671935,14.749462396347914,0.7603396114804566,0.19865531253334412,0.9236452007259865,2.663665211463566,0.9395927429199219,-3.4363478700082952,1.2197765937091384e-05
