recovered_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,bench,prompt_id,seed,condition,output_folder
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S07_comic_s42_Block_3_pos_00001_.png,S07_comic_s42_Block_3_pos_00001_.png,,,,1024,1280,85.972,17.1953,95.85,0.1437,#e1d7b7,2.9868,1.5444,47.05,0.2133,#0e0a08,0.8917,77.7307,5.8931,6,0.3121,75.3213,2.2584,1.079,45.92,0.2231,#0b0806,29.005,48.5658,36.12,0.0178,#80231a,44.4786,76.4003,38.47,0.0418,#c92b1c,58.427,16.7037,218.21,0.0529,#65949e,69.5439,50.3748,75.5,0.0889,#d8a050,79.9892,27.6758,80.91,0.0373,#e1c294,rotations_triangolo,S07_comic,42,Block_3_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S07_comic_s4242145_scramble_D_00001_.png,S07_comic_s4242145_scramble_D_00001_.png,,,,1024,1280,86.6706,17.5021,95.76,0.155,#e3d9b8,3.4619,1.0977,60.93,0.2238,#0f0c0a,0.8785,80.8665,15.4225,4,0.3321,73.8393,3.3631,1.1789,59.64,0.2518,#0e0c0a,45.1689,75.0182,38.51,0.0624,#c9301f,46.2383,40.9242,48.73,0.0313,#a35a3b,55.6081,18.3713,218.71,0.0469,#598d99,58.7188,18.4848,76.79,0.0804,#a08a6e,84.2296,34.2359,83.05,0.036,#f0cd92,rotations_triangolo,S07_comic,4242145,scramble_D,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S07_comic_s42_Block_3_neg_00001_.png,S07_comic_s42_Block_3_neg_00001_.png,,,,1024,1280,85.8831,15.0166,98.04,0.173,#ded7bb,3.7347,1.8209,48.04,0.2486,#110c0a,0.8663,80.1157,7.1357,6,0.411,85.6662,3.0458,1.2859,45.31,0.2697,#0e0a09,25.7835,49.3785,34.57,0.0304,#781815,47.6326,86.9521,38.37,0.0349,#dd2016,68.2794,51.0859,71.12,0.0651,#da9a4e,73.8657,18.5042,221.72,0.1413,#89becb,83.1614,35.2635,85.73,0.0589,#ebcb8d,rotations_triangolo,S07_comic,42,Block_3_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S07_comic_s42_scramble_C_00001_.png,S07_comic_s42_scramble_C_00001_.png,,,,1024,1280,89.5831,15.3257,93.51,0.1503,#ebe1c4,2.7077,1.2687,55.83,0.2308,#0d0907,0.8599,79.5684,8.3806,6,0.3438,77.0745,2.2924,0.9936,56.89,0.257,#0b0806,34.425,46.6177,32.91,0.0158,#8f312b,44.3261,78.0681,36.65,0.0531,#cb241e,55.8517,35.2738,103.69,0.0189,#8b8949,71.6654,50.8209,75.72,0.0568,#dea554,81.8608,6.8844,173.98,0.0868,#becfca,rotations_triangolo,S07_comic,42,scramble_C,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S07_comic_s42_scramble_D_00001_.png,S07_comic_s42_scramble_D_00001_.png,,,,1024,1280,86.9045,29.1686,89.99,0.0681,#eed8a2,5.3225,1.7015,54.31,0.2127,#14110f,0.9272,83.5828,12.6313,6,0.3151,76.5401,3.5211,0.9063,54.02,0.1932,#0e0c0b,45.4639,77.4464,38.44,0.0475,#cd2d1d,55.3589,32.2884,117.01,0.0112,#7d8b52,65.3556,44.0336,67.46,0.0565,#cf9256,75.383,68.9988,79.28,0.0157,#eeae33,87.104,11.5558,111.08,0.1218,#dbdcc6,rotations_triangolo,S07_comic,42,scramble_D,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s1337_Block_3_pos_00001_.png,S08_papercraft_s1337_Block_3_pos_00001_.png,,,,1024,1280,84.7041,7.0263,86.61,0.1694,#dad3c6,14.2259,2.4169,336.96,0.1343,#272325,0.8608,72.6984,8.5463,5,0.2919,61.1701,5.9784,3.4242,42.28,0.0714,#19120f,27.1864,45.1765,32.34,0.0424,#79201d,51.765,64.5943,33.21,0.022,#d74c42,62.8875,42.9452,71.21,0.0748,#c48d50,78.5267,14.3658,236.69,0.2171,#a5c8d8,78.6768,19.412,75.56,0.0445,#d9bfa0,rotations_triangolo,S08_papercraft,1337,Block_3_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s1337_scramble_C_00001_.png,S08_papercraft_s1337_scramble_C_00001_.png,,,,1024,1280,85.9653,9.6895,81.22,0.1601,#e2d5c5,7.4269,2.3346,356.61,0.1413,#191517,0.8887,76.2124,6.2343,6,0.1976,65.043,6.2398,2.1034,351.59,0.1385,#171314,19.5424,43.2106,32.6,0.0398,#610d0f,38.4185,17.2071,241.08,0.0322,#385f72,43.725,67.1464,34.83,0.0459,#c0332b,58.3622,39.4,69.07,0.0591,#b6824c,82.4522,22.4797,77.07,0.0474,#e6c9a4,rotations_triangolo,S08_papercraft,1337,scramble_C,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s1337_Block_3_neg_00001_.png,S08_papercraft_s1337_Block_3_neg_00001_.png,,,,1024,1280,87.1264,6.1583,84.98,0.1362,#e0d9cf,15.2139,1.6943,22.99,0.1958,#292525,0.8512,73.7233,3.6238,6,0.3191,66.6117,7.2271,1.8793,19.89,0.1127,#191515,23.6602,44.0943,31.55,0.053,#6e1718,41.6136,34.4523,72.74,0.0643,#805b2b,50.1326,68.491,32.54,0.0406,#d7413c,63.0047,49.7085,76.33,0.0756,#c38f40,80.9504,12.1906,238.11,0.2065,#b1cddc,rotations_triangolo,S08_papercraft,1337,Block_3_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s4242145_Block_3_pos_00001_.png,S08_papercraft_s4242145_Block_3_pos_00001_.png,,,,1024,1280,83.523,10.1972,76.13,0.1464,#ddcebe,18.0117,2.2207,15.22,0.1418,#302b2b,0.889,72.9313,8.9542,5,0.1846,60.8699,8.8434,4.408,47.61,0.0696,#1f1815,26.3798,46.6506,30.63,0.0318,#781a1d,53.2158,65.2779,33.04,0.0305,#dc4f45,59.3689,40.1469,68.14,0.0691,#ba844e,79.1774,18.9432,74.42,0.0372,#dbc0a3,81.7747,7.2991,233.27,0.115,#bdced6,rotations_triangolo,S08_papercraft,4242145,Block_3_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s1337_scramble_D_00001_.png,S08_papercraft_s1337_scramble_D_00001_.png,,,,1024,1280,85.7491,10.9581,75.66,0.1389,#e4d4c3,9.6867,6.7928,40.46,0.1245,#241815,0.8895,74.7345,10.8843,5,0.2798,56.6487,7.884,4.3825,42.94,0.112,#1d1613,38.0054,61.0313,33.06,0.0707,#a92927,46.0658,44.3471,65.68,0.0462,#996028,51.5865,23.7871,60.14,0.0641,#9a7358,77.7125,15.253,242.76,0.1384,#a3c5d9,82.6185,5.8304,240.45,0.1415,#c3d0d7,rotations_triangolo,S08_papercraft,1337,scramble_D,rotations_block1_vs_block6
