set_id,condition,folder,image_file,preset_file,model_strength,clip_strength,prompt_key,prompt_sha1,seed,barnacles,comfy_image_file,comfy_folder
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,9999.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,9999,0,G1_blockshuf_no_barnacles_seed9999_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,101.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,101,0,G1_blockshuf_no_barnacles_seed101_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,102.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,102,1,G1_blockshuf_no_barnacles_seed102_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,103.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,103,0,G1_blockshuf_no_barnacles_seed103_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,104.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,104,1,G1_blockshuf_no_barnacles_seed104_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,105.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,105,0,G1_blockshuf_no_barnacles_seed105_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,106.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,106,0,G1_blockshuf_no_barnacles_seed106_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,107.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,107,0,G1_blockshuf_no_barnacles_seed107_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,108.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,108,0,G1_blockshuf_no_barnacles_seed108_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,109.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,109,0,G1_blockshuf_no_barnacles_seed109_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,110.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,110,0,G1_blockshuf_no_barnacles_seed110_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,201.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,201,0,G1_blockshuf_no_barnacles_seed201_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,202.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,202,0,G1_blockshuf_no_barnacles_seed202_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,203.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,203,0,G1_blockshuf_no_barnacles_seed203_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,204.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,204,0,G1_blockshuf_no_barnacles_seed204_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,205.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,205,0,G1_blockshuf_no_barnacles_seed205_00001_.png,2_no_barnacles
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,1337.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,1337,0,G1_blockshuf_isolated_seed1337_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,42.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,42,0,G1_blockshuf_isolated_seed42_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,4242145.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,4242145,0,G1_blockshuf_isolated_seed4242145_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,777.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,777,0,G1_blockshuf_isolated_seed777_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,9999.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,9999,0,G1_blockshuf_isolated_seed9999_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,101.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,101,0,G1_blockshuf_isolated_seed101_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,102.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,102,0,G1_blockshuf_isolated_seed102_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,103.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,103,0,G1_blockshuf_isolated_seed103_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,104.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,104,0,G1_blockshuf_isolated_seed104_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,105.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,105,0,G1_blockshuf_isolated_seed105_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,106.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,106,0,G1_blockshuf_isolated_seed106_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,107.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,107,0,G1_blockshuf_isolated_seed107_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,108.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,108,0,G1_blockshuf_isolated_seed108_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,109.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,109,0,G1_blockshuf_isolated_seed109_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,110.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,110,0,G1_blockshuf_isolated_seed110_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,201.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,201,0,G1_blockshuf_isolated_seed201_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,202.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,202,0,G1_blockshuf_isolated_seed202_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,203.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,203,0,G1_blockshuf_isolated_seed203_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,204.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,204,0,G1_blockshuf_isolated_seed204_00001_.png,3_isolated
A3,"blockshuffle, keyword kept, all marine context removed",A3_isolated,205.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,isolated,441a0ba5cf,205,0,G1_blockshuf_isolated_seed205_00001_.png,3_isolated
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,1337.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,1337,0,G1_blockshuf_matched_neutral_seed1337_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,42.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,42,0,G1_blockshuf_matched_neutral_seed42_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,4242145.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,4242145,0,G1_blockshuf_matched_neutral_seed4242145_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,777.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,777,0,G1_blockshuf_matched_neutral_seed777_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,9999.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,9999,0,G1_blockshuf_matched_neutral_seed9999_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,101.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,101,0,G1_blockshuf_matched_neutral_seed101_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,102.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,102,0,G1_blockshuf_matched_neutral_seed102_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,103.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,103,0,G1_blockshuf_matched_neutral_seed103_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,104.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,104,0,G1_blockshuf_matched_neutral_seed104_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,105.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,105,0,G1_blockshuf_matched_neutral_seed105_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,106.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,106,0,G1_blockshuf_matched_neutral_seed106_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,107.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,107,0,G1_blockshuf_matched_neutral_seed107_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,108.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,108,0,G1_blockshuf_matched_neutral_seed108_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,109.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,109,0,G1_blockshuf_matched_neutral_seed109_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,110.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,110,0,G1_blockshuf_matched_neutral_seed110_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,201.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,201,0,G1_blockshuf_matched_neutral_seed201_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,202.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,202,0,G1_blockshuf_matched_neutral_seed202_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,203.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,203,0,G1_blockshuf_matched_neutral_seed203_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,204.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,204,0,G1_blockshuf_matched_neutral_seed204_00001_.png,6_matched_neutral
A4,"blockshuffle, length- and syntax-matched neutral substitutions",A4_matched_neutral,205.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,matched_neutral,3684e0237c,205,0,G1_blockshuf_matched_neutral_seed205_00001_.png,6_matched_neutral
A5,"stock model, full prompt",A5_baseline_full_prompt,1337.png,,0.0,0.0,full,30de058455,1337,0,G1_baseline_exact_seed1337_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,42.png,,0.0,0.0,full,30de058455,42,0,G1_baseline_exact_seed42_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,4242145.png,,0.0,0.0,full,30de058455,4242145,0,G1_baseline_exact_seed4242145_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,777.png,,0.0,0.0,full,30de058455,777,0,G1_baseline_exact_seed777_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,9999.png,,0.0,0.0,full,30de058455,9999,0,G1_baseline_exact_seed9999_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,101.png,,0.0,0.0,full,30de058455,101,0,G1_baseline_exact_seed101_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,102.png,,0.0,0.0,full,30de058455,102,0,G1_baseline_exact_seed102_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,103.png,,0.0,0.0,full,30de058455,103,0,G1_baseline_exact_seed103_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,104.png,,0.0,0.0,full,30de058455,104,0,G1_baseline_exact_seed104_00001_.png,0_baseline_exact
A5,"stock model, full prompt",A5_baseline_full_prompt,105.png,,0.0,0.0,full,30de058455,105,1,G1_baseline_exact_seed105_00001_.png,0_baseline_exact
