space,n_features,features,V_mean,p_signflip,floor,n_prompts_V_pos,V_scr_mean,p_scr,V_minus_V_scr_mean,p_V_minus_V_scr_descriptive,coh_B1_mean,coh_B6_mean,coh_scrA_mean,coh_scrB_mean,type,p_holm,criterion_V_pos_p,criterion_V_gt_V_scr,confirmed,regime_degradato,degraded_conditions
Texture,3,glcm_contrast;glcm_homogeneity;lbp_entropy,1.1418692223497855,0.001953125,0.001953125,10,0.8519819490711926,0.001953125,0.28988727327859276,0.001953125,0.6157920763978596,0.8434153589068909,0.7869289283152388,0.8594959031567893,primary,,True,True,True,True,B6_neg;scrB_neg;scrB_pos
Linework,3,stroke_width_cv;edge_density;contour_mean_length_px,0.6703812114516196,0.013671875,0.001953125,9,-0.06975524628878041,0.05078125,0.7401364577404002,0.009765625,0.12323643605244698,0.8477079202742003,-0.5764639076407179,0.8318461891099143,secondary,0.02734375,True,True,True,True,B6_neg;scrB_neg;scrB_pos
Shadow,2,crosshatch_entropy_mean;crosshatch_entropy_p90,1.745754160068735,0.001953125,0.001953125,10,0.08568462940007947,0.08203125,1.6600695306686553,0.001953125,0.9091999685575451,0.9240401229402474,0.9552440971866043,0.4189786250460849,secondary,0.0078125,True,True,True,True,B6_neg;scrB_neg;scrB_pos
Palette,5,paper_L;ink_L;sw1_L;chroma_spread;tonal_range,0.5947923335546046,0.00390625,0.001953125,9,0.6474328089842445,0.001953125,-0.052640475429639996,0.521484375,0.49545078472572,0.3917728272434989,0.48047793046180276,0.9025293435712799,secondary,0.01171875,True,False,False,True,B6_neg;scrB_neg;scrB_pos
