prompt_id,seed,condition,cond_tag,block_name,angle_label,angle_deg,image_path,run_id,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
P01,1618033,B1_neg,B1_neg_high,B1,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_high_00001_.png,0.0,P01_s1618033_B1_neg_high_00001_.png,1024,1280,2.799999952316284,1.966248035430908,0.7022314531842547,0.1226165771484375,65.0672064777328,2470,3.4150543212890625,4.05490779876709,0.5477,0.8843290592193558,11.610162316257082,40.73994064331055,1,19.0,5.575881723641154,7.067662264694352,0.6977525752925366,0.1904294743335852,0.8844296287226726,3.178083472608418,0.8575042724609375,-3.353036973697635,2.013899544040329e-05
P01,1618033,B1_neg,B1_neg_low,B1,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_low_00001_.png,1.0,P01_s1618033_B1_neg_low_00001_.png,1024,1280,2.799999952316284,2.1008002758026123,0.7502858255639387,0.1248626708984375,57.46488764044944,2848,3.2692229747772217,3.9867563247680655,0.56575,0.8634382779834118,10.956788646589096,39.96149063110352,2,16.0,5.978029435984738,8.417532735204963,0.7077165454872497,0.2405553995646379,0.8800495113263689,3.16141009410965,0.8296714782714845,-3.3593639668659865,2.175329696829401e-05
P01,1618033,B1_neg,B1_neg_mid,B1,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_mid_00001_.png,2.0,P01_s1618033_B1_neg_mid_00001_.png,1024,1280,4.0,2.242903232574463,0.5607258081436157,0.1173751831054687,63.81003732890917,2411,3.273221254348755,4.015104293823242,0.53375,0.8816534447190265,11.524352415410975,42.2307014465332,1,17.0,5.8876006003363655,8.284671156606993,0.716164141681074,0.225082687960188,0.8807774490980006,3.1656111883925653,0.8326034545898438,-3.3285477044730203,2.347011925842692e-05
P01,1618033,B1_pos,B1_pos_high,B1,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_high_00001_.png,3.0,P01_s1618033_B1_pos_high_00001_.png,1024,1280,2.799999952316284,2.1055748462677,0.7519910293305095,0.1422782897949218,57.522208513263415,3242,3.2280385494232178,3.94989013671875,0.5345500000000001,0.896311129558933,12.002345985029852,44.91108703613281,1,18.0,6.278752402413728,11.006207442053473,0.6740052023606049,0.2290151700173819,0.8563221045094459,3.0125325610303104,0.9210197448730468,-3.498801425086622,1.7137105816052737e-05
P01,1618033,B1_pos,B1_pos_low,B1,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_low_00001_.png,4.0,P01_s1618033_B1_pos_low_00001_.png,1024,1280,2.799999952316284,2.08489203453064,0.7446043107271929,0.1293357849121093,59.9444837340877,2828,3.181852102279663,3.97379732131958,0.55335,0.8682437027808373,11.10374788344873,37.497371673583984,1,16.0,5.878781702926258,9.281317459439965,0.7035726929286831,0.2500805781436589,0.8785990323850362,3.143846921679575,0.8540924072265625,-3.473058899627103,1.8313145210904213e-05
P01,1618033,B1_pos,B1_pos_mid,B1,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_mid_00001_.png,5.0,P01_s1618033_B1_pos_mid_00001_.png,1024,1280,2.799999952316284,2.104465246200561,0.751594743585497,0.1386772155761718,63.71083070452156,2853,3.191289186477661,3.928760051727295,0.51045,0.8943197035360725,11.93625878291876,41.59067916870117,2,17.0,6.446437848727,10.453764780647898,0.6810424685491281,0.2207648724857224,0.8689650882791611,3.095105881851208,0.8876480102539062,-3.5056292952024988,1.6568205881257803e-05
P01,1618033,B2_neg,B2_neg_high,B2,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B2_neg_high_00001_.png,,P01_s1618033_B2_neg_high_00001_.png,1024,1280,2.799999952316284,1.9831809997558594,0.7082789405461539,0.13110504150390626,60.764497878359265,2828,3.226003885269165,3.9783263206481934,0.55005,0.8960052265570808,11.992170592447204,38.889495849609375,1,18.0,6.071491680370143,8.277551248089,0.6978479367534478,0.20696369845037627,0.8729025056305105,3.1627681470659645,0.8424102783203125,-3.406729962519725,1.7649702143078905e-05
P01,1618033,B2_neg,B2_neg_low,B2,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B2_neg_low_00001_.png,,P01_s1618033_B2_neg_low_00001_.png,1024,1280,2.799999952316284,2.142052173614502,0.7650186464619406,0.1262451171875,58.84495021337126,2812,3.2361388206481934,3.9934487342834473,0.57735,0.8620879021480189,10.915842725903193,37.83823013305664,1,16.0,6.149260630042885,8.798968303753098,0.7015462836024539,0.2406859175130348,0.8789429166477447,3.1602021809320973,0.8379562377929687,-3.409757781999093,2.0222222561691614e-05
P01,1618033,B2_neg,B2_neg_mid,B2,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B2_neg_mid_00001_.png,,P01_s1618033_B2_neg_mid_00001_.png,1024,1280,2.799999952316284,2.0071277618408203,0.716831355722144,0.13312759399414062,59.77834874957177,2919,3.29357647895813,3.997992992401123,0.5277,0.8872017044130003,11.703002584195508,38.514583587646484,1,17.0,6.004879482760557,8.533770577565676,0.6901553229854083,0.19785206210773149,0.8781260719302354,3.1721013419496153,0.8409072875976562,-3.39028882663329,1.9244527595188872e-05
P01,1618033,B2_pos,B2_pos_high,B2,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B2_pos_high_00001_.png,,P01_s1618033_B2_pos_high_00001_.png,1024,1280,2.799999952316284,1.9567111730575562,0.6988254308500533,0.11966629028320312,76.84909358157766,2041,3.169283866882324,4.009672164916992,0.5296,0.8876479780275681,11.71749206003084,42.439414978027344,1,16.0,6.258555867628848,8.393862874884416,0.7145935644344716,0.22367914684274995,0.8805825876222344,3.1641345963825476,0.825238037109375,-3.3907935916304623,1.896324149742326e-05
