tag,dL_mean,dL_min,dL_max,pass_rate
B1_neg,-1.4611358642578125,-5.1649169921875,7.267410278320312,1.0
B1_pos,2.591118918524848,-1.92242431640625,7.3349151611328125,1.0
B6_neg,0.04499340057373047,-5.161262512207031,7.588104248046875,0.8611111111111112
B6_pos,-2.8096401426527233,-7.16851806640625,2.96389389038086,1.0
scrA_neg,1.0456341637505426,-2.005828857421875,4.633827209472656,1.0
scrA_pos,-1.1588017145792644,-8.387168884277344,1.621612548828125,1.0
scrB_neg,26.36893653869629,18.714141845703125,31.726089477539062,0.05555555555555555
scrB_pos,-29.298228475782608,-40.39942169189453,-19.653827667236328,0.027777777777777776
