run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
73,S04_gouache,,,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s1337_Block_6_pos_00001_.png,S04_gouache_s1337_Block_6_pos_00001_.png,,,,1024,1760,7.9903,14.2808,283.1,0.2682,#0f172a,0.3365,1.2945,23.69,0.563,#050000,0.7329,71.3581,3.2727,6,0.5711,73.4923,0.1826,0.7669,21.05,0.5645,#030000,19.1714,38.1864,47.93,0.004,#561c00,34.444,42.6558,89.3,0.0014,#624f00,43.2915,74.2591,301.92,0.0065,#6153d0,56.7692,45.8852,163.98,0.0003,#119b71,71.5407,2.3945,274.3,0.0005,#adafb4
74,S04_gouache,,,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s1337_Block_6_neg_00001_.png,S04_gouache_s1337_Block_6_neg_00001_.png,,,,1024,1760,69.286,18.8575,309.44,0.1009,#c19fbb,57.0871,26.2012,322.06,0.121,#0f172a,0.303,12.9985,2.0335,2,0.1853,13.2248,54.4729,25.6689,325.09,0.0753,#0f172a,55.8407,17.7163,315.97,0.0539,#6450cd,57.3721,18.9913,332.71,0.0563,#c101ff,62.4039,30.2956,315.65,0.11,#119a70,67.3965,30.9411,327.61,0.0124,#ac7d93,67.4713,22.3732,345.33,0.0511,#aba7c9
75,S04_gouache,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s1337_scramble_A_00001_.png,S04_gouache_s1337_scramble_A_00001_.png,,,,1024,1760,68.6883,54.8389,58.95,0.0706,#eb9358,8.8659,14.8737,287.79,0.23,#10172a,0.9675,61.1399,11.38,5,0.2521,70.2739,4.3455,8.0025,296.58,0.1184,#10172b,38.7637,30.2791,38.92,0.1337,#6051bd,43.9651,78.2765,39.82,0.0446,#c72015,54.4759,26.9687,195.12,0.104,#75a07d,62.4703,24.4775,145.37,0.0713,#e07e39,65.4855,55.7026,57.34,0.0407,#c99399
76,S04_gouache,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s1337_scramble_B_00001_.png,S04_gouache_s1337_scramble_B_00001_.png,,,,1024,1760,80.4518,11.0651,89.45,0.1187,#cdc5b2,16.3033,5.504,256.86,0.1514,#121829,0.9317,71.266,6.457,6,0.2442,66.2563,7.3514,5.9711,291.74,0.0625,#101728,31.1061,42.2065,35.1,0.0554,#802f25,49.1418,72.2275,35.08,0.0177,#6354d2,58.2447,45.1979,64.59,0.077,#d73b31,63.7259,19.0919,213.45,0.1672,#be7e45,78.6174,26.8229,68.07,0.038,#e7be98
77,S04_gouache,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s4242145_baseline_00001_.png,S04_gouache_s4242145_baseline_00001_.png,,,,1024,1760,83.8283,15.0766,71.05,0.105,#e4cdb7,23.2286,11.2624,294.1,0.1696,#171c2e,0.9402,64.1771,6.9945,5,0.1917,59.9104,17.7201,4.1166,304.03,0.0794,#11182a,28.7929,34.4615,24.1,0.0423,#742d30,43.9466,24.6555,99.64,0.0571,#6450cd,44.0528,64.027,34.83,0.042,#bd382e,62.9404,50.2672,65.14,0.0565,#e8c094,81.8973,9.0419,180.21,0.1123,#b7d0cb
78,S04_gouache,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s4242145_Block_1_pos_00001_.png,S04_gouache_s4242145_Block_1_pos_00001_.png,,,,1024,1760,85.1144,14.7016,240.01,0.3634,#b6d9ec,19.715,10.3358,287.32,0.1175,#131a2c,0.7161,79.9796,7.4335,5,0.185,77.2102,11.9622,13.4306,300.23,0.0915,#11182a,29.6372,62.4477,37.79,0.029,#bd2415,50.5113,83.6791,39.44,0.0334,#6757cf,52.087,43.8457,108.43,0.0776,#7b8232,74.3396,53.3738,77.44,0.0584,#e2a851,91.9417,6.4689,102.68,0.0936,#eae8dc
79,S04_gouache,,,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s4242145_Block_1_neg_00001_.png,S04_gouache_s4242145_Block_1_neg_00001_.png,,,,1024,1760,77.756,17.9537,93.37,0.1098,#beb99e,13.915,2.5239,52.9,0.0439,#101729,0.919,56.7306,4.2673,5,0.1889,59.9303,13.5157,2.0644,57.92,0.0459,#101729,26.8274,45.4407,36.26,0.0324,#6f4ed2,35.0646,27.7506,104.91,0.0622,#c5502f,49.0986,61.9947,43.17,0.0257,#ac7547,53.7944,38.1029,63.39,0.099,#7e9b91,70.2464,10.0014,133.04,0.0899,#dcc59d
80,S04_gouache,,,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s4242145_Block_6_pos_00001_.png,S04_gouache_s4242145_Block_6_pos_00001_.png,,,,1024,1760,7.9912,14.2797,283.09,0.2682,#0f172a,1.2098,4.0628,27.44,0.4083,#0f0100,0.7329,70.4778,1.9658,6,0.4226,71.8646,1.0629,3.7043,26.22,0.4082,#0e0100,12.5539,18.7863,78.89,0.0145,#2d1e01,29.8202,36.3591,96.52,0.004,#4f4706,43.2915,74.2591,301.92,0.0065,#6153d0,56.3929,45.5268,164.11,0.0003,#119a70,71.5407,2.3945,274.3,0.0005,#adafb4
81,S04_gouache,,,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s4242145_Block_6_neg_00001_.png,S04_gouache_s4242145_Block_6_neg_00001_.png,,,,1024,1760,69.3098,17.8243,335.16,0.0907,#b3a2bf,56.8279,27.8786,333.22,0.099,#0f172a,0.3963,13.3407,2.074,2,0.1512,17.5326,54.5416,26.6062,334.44,0.0729,#0f172a,55.8422,18.4904,348.72,0.0259,#6250cd,57.6584,15.8834,315.97,0.0423,#c100ff,63.0671,33.416,321.6,0.0783,#119c72,63.1015,21.5276,13.65,0.0259,#bc83b3,67.8822,19.6087,298.63,0.0281,#cc9fac
82,S04_gouache,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S04_gouache_s4242145_scramble_A_00001_.png,S04_gouache_s4242145_scramble_A_00001_.png,,,,1024,1760,70.4994,50.2171,62.49,0.0364,#d9a682,6.5779,3.7135,26.63,0.2145,#12192b,0.9809,66.6099,13.1198,4,0.3002,69.9962,3.6077,4.7193,295.47,0.1434,#0d0c14,40.3647,74.7155,39.67,0.046,#3e0e1b,45.8526,33.5852,297.58,0.0108,#b92311,48.4114,22.8215,208.45,0.1568,#6554bc,67.1419,50.9433,61.6,0.0177,#347d85,70.2177,7.9803,58.28,0.0425,#ea9a59
