hash_id,x_min,x_max,y_min,y_max,bbox_width,bbox_height,bbox_area_frac,timestamp_ms
396d6d3960e9,78,899,208,675,821,467,0.29251632690429685,1789751246180
9baacd4e8b36,42,944,486,996,902,510,0.3509674072265625,1789751274811
8018a80e7b21,92,917,597,1068,825,471,0.2964591979980469,1789751283947
410a9b2d5916,192,865,557,945,673,388,0.1992218017578125,1789751290691
65a6094367b7,191,880,286,674,689,388,0.2039581298828125,1789751303539
b6ca42067d86,121,900,296,742,779,446,0.26507110595703126,1789751313595
47a6381f0097,159,810,589,1005,651,416,0.2066162109375,1789751320883
83057136d13a,231,850,616,968,619,352,0.1662353515625,1789751330811
6147ea84f0db,182,858,291,656,676,365,0.1882476806640625,1789751338531
1a4f6db098c1,214,877,334,702,663,368,0.18614501953125,1789751348003
caa7e4241f69,125,877,487,906,752,419,0.24039306640625,1789751355843
e0022e85240f,136,901,653,1070,765,417,0.24338150024414062,1789751363235
e938d5402194,222,881,526,925,659,399,0.20060806274414061,1789751370795
cf70935e1537,164,876,213,589,712,376,0.204248046875,1789751377851
0ce3bdc49b6f,175,801,200,541,626,341,0.16286163330078124,1789751388155
9e10a5c345aa,198,901,221,600,703,379,0.20327529907226563,1789751397643
ed3460ac9b65,198,872,184,584,674,400,0.2056884765625,1789751407675
5522dcc6ea2a,61,952,235,636,891,401,0.27259140014648436,1789751418595
804f2cde64b4,292,923,326,675,631,349,0.16801376342773439,1789751437323
3fa0840c66c9,152,798,201,602,646,401,0.19763641357421874,1789751446963
bd2cfdec30b3,152,858,331,702,706,371,0.19983367919921874,1789751458683
e886e7eb23e3,147,803,589,953,656,364,0.182177734375,1789751467571
1c865f4b97c3,107,925,290,735,818,445,0.27771759033203125,1789751489547
18b17c08e673,211,841,648,1040,630,392,0.18841552734375,1789751501435
7d2948cac415,202,849,533,954,647,421,0.20781478881835938,1789751509756
ab91f103fb4e,54,927,554,1060,873,506,0.33701934814453127,1789751522883
4d8335e8e87e,179,920,205,572,741,367,0.20747909545898438,1789751530684
7ea86df04f74,131,869,539,998,738,459,0.25843963623046873,1789751537899
8c21d89409b9,201,885,253,614,684,361,0.1883880615234375,1789751546563
37b186843b00,182,833,306,694,651,388,0.1927093505859375,1789751555307
a9a02964dbd7,141,780,637,1015,639,378,0.18428192138671876,1789751564068
27e16e75f083,192,934,627,1056,742,429,0.24285736083984374,1789751572411
ffe310d79763,58,967,521,1060,909,539,0.37380294799804686,1789751580475
7af42ffa34be,201,901,307,664,700,357,0.1906585693359375,1789751589060
a8bf356f4c17,108,873,590,1024,765,434,0.25330352783203125,1789751597411
dd0a4ac5acaa,158,911,663,1099,753,436,0.2504791259765625,1789751607659
598135f7fa31,104,836,208,598,732,390,0.217803955078125,1789751615427
32d6c5781ca0,182,935,671,1088,753,417,0.23956375122070311,1789751622243
a235c141367d,246,880,268,640,634,372,0.179937744140625,1789751629500
e71d09056895,171,913,284,729,742,445,0.25191497802734375,1789751638819
6b8da525c779,162,849,294,663,687,369,0.19340744018554687,1789751651499
4df0dd1c570d,116,927,546,1072,811,526,0.32545928955078124,1789751662748
a91697b35056,111,912,492,988,801,496,0.30311279296875,1789751671715
1077f2ed30ff,146,909,232,648,763,416,0.2421630859375,1789751680467
0ee0196b08ab,85,697,204,541,612,337,0.1573516845703125,1789751690028
cd32132103a6,195,836,703,1063,641,360,0.176055908203125,1789751698332
6b5fd4c86175,172,845,624,1013,673,389,0.19973526000976563,1789751708068
13ce2e68ee85,191,872,542,938,681,396,0.2057464599609375,1789751715556
22bfe75ef216,136,858,366,790,722,424,0.23355712890625,1789751728811
2098f2031100,190,880,589,990,690,401,0.21109771728515625,1789751739932
2e75d0d05c6f,133,889,594,1021,756,427,0.2462860107421875,1789751749211
f7e7adc29fb7,187,786,608,1002,599,394,0.18005828857421874,1789751757203
67596b49cb72,184,897,655,1063,713,408,0.221942138671875,1789751764796
7971ee26a821,133,836,621,984,703,363,0.19469375610351564,1789751774163
3315a0f11058,113,899,514,978,786,464,0.2782470703125,1789751782396
62285a4b2b0a,174,790,311,664,616,353,0.165899658203125,1789751792044
8a0f95b600ec,215,841,284,683,626,399,0.19056243896484376,1789751801163
173235927424,154,891,306,751,737,445,0.2502174377441406,1789751812676
b4e4fdbb938c,155,759,362,707,604,345,0.1589813232421875,1789751821571
fb94da5e4069,184,885,205,581,701,376,0.201092529296875,1789751829956
0d485d19432f,127,848,283,690,721,407,0.22388229370117188,1789751840675
d9280efc561c,125,907,284,764,782,480,0.286376953125,1789751850187
27b32be5d267,93,874,263,688,781,425,0.2532386779785156,1789751861212
a4649a61d24a,131,891,543,973,760,430,0.24932861328125,1789751871819
5ad228d9ce12,237,850,350,715,613,365,0.17070388793945312,1789751880091
03ad5f009512,112,866,613,1027,754,414,0.2381561279296875,1789751888028
3c18825eb3ee,117,877,221,674,760,453,0.262664794921875,1789751896699
994d4ec7281d,58,951,581,1177,893,596,0.4060577392578125,1789751908444
c3a8959aa19b,170,817,594,955,647,361,0.17819747924804688,1789751928915
a318f3a4f19b,39,916,511,1024,877,513,0.3432472229003906,1789751938548
ee9f922fd97c,166,810,326,683,644,357,0.1754058837890625,1789751947011
266ba3996268,163,864,239,660,701,421,0.22515945434570311,1789751955627
289b4ae088eb,139,872,592,994,733,402,0.22481231689453124,1789751964948
9fa0735f0b43,78,986,503,1045,908,542,0.375469970703125,1789751975460
11205ed4192d,198,885,264,690,687,426,0.22328338623046876,1789751986675
fd6fff5af466,192,883,586,1005,691,419,0.22089309692382814,1789751995891
80608fce6453,155,837,589,1012,682,423,0.22009735107421874,1789752002892
17746b82b13a,207,821,209,570,614,361,0.16910858154296876,1789752011852
5bdd60627d55,268,845,637,1013,577,376,0.165521240234375,1789752019500
26e03ef9eb9b,166,880,521,978,714,457,0.24894561767578124,1789752029108
764e8c7b8b3c,184,767,670,1017,583,347,0.15434341430664061,1789752036132
cad7131afcc5,199,840,272,661,641,389,0.19023818969726564,1789752054547
1909f556192a,116,903,358,804,787,446,0.26779327392578123,1789752064771
e15477ec27a9,80,779,596,989,699,393,0.20958480834960938,1789752071773
db214b149b5f,88,783,594,1011,695,417,0.22111129760742188,1789752078380
7e703830a251,182,854,616,994,672,378,0.193798828125,1789752086084
d76c03763ab8,176,754,682,992,578,310,0.1367034912109375,1789752093747
76b44413a68f,109,860,535,976,751,441,0.25267868041992186,1789752102644
35e0d77fa503,238,836,608,1005,598,397,0.18112640380859374,1789752110101
5b396bb00a9e,201,889,651,1047,688,396,0.207861328125,1789752120124
fa42c37bad5b,215,891,664,1043,676,379,0.1954681396484375,1789752128204
6d4a6fefa546,99,931,165,632,832,467,0.296435546875,1789752137804
d2dfb7c4c888,89,928,204,660,839,456,0.291888427734375,1789752147228
37a919e3adf6,190,856,307,694,666,387,0.19664154052734376,1789752166947
ed7c12076ce5,163,850,612,1004,687,392,0.205462646484375,1789752174979
483bae71f3c4,115,896,335,770,781,435,0.2591972351074219,1789752186420
b189dc769638,124,876,241,683,752,442,0.2535888671875,1789752193236
817df174e6f2,120,950,549,1122,830,573,0.36284637451171875,1789752214476
d0b508024b5d,99,856,225,572,757,347,0.20040817260742189,1789752225821
22b836993141,182,869,589,1013,687,424,0.222235107421875,1789752233220
f5e3d602fc37,88,747,312,675,659,363,0.18250808715820313,1789752243822
55a872aa7299,80,844,208,628,764,420,0.24481201171875,1789752252917
35064c0188c3,164,876,516,986,712,470,0.25531005859375,1789752260037
c82e9da923e0,175,845,569,978,670,409,0.20906829833984375,1789752267725
9f3b2fb2c776,117,913,596,1068,796,472,0.2866455078125,1789752275838
2a48061cfd22,144,880,206,559,736,353,0.1982177734375,1789752284453
7f375ed4ce93,101,916,688,1126,815,438,0.27234649658203125,1789752294101
8112823804c5,225,944,674,1048,719,374,0.20515899658203124,1789752300742
9e7ecd127443,140,811,292,663,671,371,0.18992691040039061,1789752308565
d6e11fb14cfc,78,998,488,1036,920,548,0.3846435546875,1789752318845
c0663af56bab,132,955,209,613,823,404,0.2536712646484375,1789752326613
a5ab18f1e07d,127,900,251,691,773,440,0.259490966796875,1789752335982
2b25ae9761e2,97,893,256,684,796,428,0.25992431640625,1789752346446
