run_id,prompt_id,seed,condition,cond_tag,dose_target_D,angle_deg,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
0,P01,P01_s1618033_B1_neg_d030_00001_,,B1_neg_d030,0.03,-15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_neg_d030_00001_.png,P01_s1618033_B1_neg_d030_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_d030_00001_.png,1024.0,1280.0,57.5322,52.1703,46.46,0.0377,#d26f4a,3.7055,0.8736,45.24,0.3089,#0f0d0c,0.9836,81.3572,4.2089,6.0,0.3723,53.7749,3.4977,0.8073,48.59,0.3077,#0e0c0b,26.7188,24.9633,32.77,0.0646,#62322c,37.9807,50.3374,36.24,0.019,#9c382b,56.2899,19.4735,254.34,0.0144,#678ba7,69.3239,54.5822,56.6,0.0122,#f09257,84.855,36.1545,79.17,0.013,#f7cd91
1,P01,P01_s1618033_B1_neg_d045_00001_,,B1_neg_d045,0.045001,-23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_neg_d045_00001_.png,P01_s1618033_B1_neg_d045_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_d045_00001_.png,1024.0,1280.0,63.0726,7.9884,79.12,0.1094,#a1978b,5.1027,2.0999,49.11,0.1728,#15100e,0.9411,77.4223,5.4551,6.0,0.2546,50.6504,4.4958,1.6538,51.25,0.1701,#120f0d,18.0269,12.6549,47.11,0.0845,#3c271f,33.9917,24.4128,47.66,0.0762,#704534,41.7876,38.8864,46.03,0.0372,#964f36,57.1804,52.3042,53.98,0.0312,#cb7240,81.9181,43.4445,82.9,0.0217,#efc67a
2,P01,P01_s1618033_B1_neg_d060_00001_,,B1_neg_d060,0.06,-31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_neg_d060_00001_.png,P01_s1618033_B1_neg_d060_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_d060_00001_.png,1024.0,1280.0,60.9766,22.5029,100.18,0.0803,#9b946c,18.4121,15.9664,67.35,0.0701,#3c2918,0.9104,53.6136,5.4912,5.0,0.1986,31.2554,15.4505,12.8942,68.65,0.0464,#322416,27.5973,26.7064,57.8,0.0653,#5e381f,29.2974,22.587,93.72,0.087,#4e4522,38.3726,29.9721,76.99,0.1116,#72552a,57.0251,44.1496,66.68,0.0517,#b87c42,69.0641,25.448,112.05,0.0151,#a8ac7e
3,P01,P01_s1618033_B1_pos_d030_00001_,,B1_pos_d030,0.03,15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_pos_d030_00001_.png,P01_s1618033_B1_pos_d030_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_d030_00001_.png,1024.0,1280.0,56.3524,9.5587,54.33,0.0579,#96837a,3.6143,1.7019,7.12,0.2765,#110c0d,0.962,79.8874,9.9326,5.0,0.357,53.4717,2.079,1.0043,353.8,0.2445,#0a0708,35.4525,16.5244,35.67,0.1125,#6d4b45,39.7341,33.4724,30.1,0.0454,#8f4944,49.4073,54.476,36.85,0.026,#c25240,63.0468,52.8202,55.96,0.0199,#db824b,81.9664,28.1196,82.23,0.0142,#e6c898
4,P01,P01_s1618033_B1_pos_d045_00001_,,B1_pos_d045,0.045001,23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_pos_d045_00001_.png,P01_s1618033_B1_pos_d045_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_d045_00001_.png,1024.0,1280.0,68.0198,15.9289,73.24,0.0435,#b9a28b,2.4404,0.9749,0.36,0.339,#0b0809,0.9728,65.7149,11.9245,5.0,0.3531,68.0351,1.145,0.5282,2.96,0.3072,#060404,37.1531,39.1844,36.3,0.0459,#8d4034,45.238,68.5633,40.15,0.0374,#c23b23,50.8946,27.1817,61.58,0.0379,#9b7051,64.0379,55.607,69.06,0.0269,#d38c3c,66.8599,10.7279,249.2,0.0204,#91a6b4
5,P01,P01_s1618033_B1_pos_d060_00001_,,B1_pos_d060,0.06,31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B1_pos_d060_00001_.png,P01_s1618033_B1_pos_d060_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_d060_00001_.png,1024.0,1280.0,79.5015,8.7277,101.82,0.1047,#c8c5b5,3.8309,2.1539,358.4,0.2391,#120c0e,0.9481,88.1439,6.2621,6.0,0.3007,71.6599,2.4811,1.5553,334.95,0.2216,#0c080b,15.989,20.6748,33.42,0.0518,#421d18,29.2798,40.2675,43.29,0.0572,#752f1b,40.1957,73.2152,42.44,0.0363,#b4290b,65.6466,30.4187,82.36,0.0791,#b99b6a,90.625,7.9772,114.05,0.0265,#e4e6d6
6,P01,P01_s1618033_B6_neg_d030_00001_,,B6_neg_d030,0.03,-21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_neg_d030_00001_.png,P01_s1618033_B6_neg_d030_00001_.png,,52e5b19ca6,P01_s1618033_B6_neg_d030_00001_.png,1024.0,1280.0,75.8562,38.5503,296.55,0.0671,#b9b3fb,26.7578,53.4491,299.55,0.0618,#353487,0.8545,50.0993,6.2784,5.0,0.2274,18.9331,23.4478,52.3581,299.65,0.0409,#2c2d7d,33.7507,57.1242,299.09,0.0546,#4544a0,54.8655,46.7438,299.58,0.0989,#8479ca,56.5672,41.906,323.87,0.0223,#ae73b3,65.2014,49.087,294.55,0.1285,#9496ee,73.5471,38.1912,317.51,0.0171,#d2a4e4
7,P01,1618033,B6_neg,B6_neg_d045,0.045001,-32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_neg_d045_00001_.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P01,P01_s1618033_B6_neg_d060_00001_,,B6_neg_d060,0.06,-43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_neg_d060_00001_.png,P01_s1618033_B6_neg_d060_00001_.png,,52e5b19ca6,P01_s1618033_B6_neg_d060_00001_.png,1024.0,1280.0,77.0781,23.0324,33.51,0.146,#e9b1a8,52.8905,27.3504,23.79,0.0644,#ad6d6c,0.3934,26.4273,5.2703,2.0,0.248,28.6647,46.8714,27.144,22.59,0.0395,#9c5e5f,62.4217,22.5091,33.33,0.1283,#bf8a82,63.8376,29.1585,33.51,0.1197,#cd8a7f,66.3299,40.5639,24.58,0.0446,#e78685,71.2718,35.926,30.19,0.0731,#ee988f,73.2987,11.8991,13.05,0.034,#cbadb0
9,P01,P01_s1618033_B6_pos_d030_00001_,,B6_pos_d030,0.03,21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_pos_d030_00001_.png,P01_s1618033_B6_pos_d030_00001_.png,,52e5b19ca6,P01_s1618033_B6_pos_d030_00001_.png,1024.0,1280.0,28.6023,31.2799,97.26,0.0407,#4b4410,0.5212,0.8574,59.02,0.472,#040100,0.9693,58.9429,7.1273,4.0,0.469,63.4864,0.2315,0.4361,45.68,0.4299,#020100,12.8883,28.214,43.94,0.0147,#3f1300,15.9774,23.4363,80.15,0.0392,#362501,37.8397,38.4454,94.27,0.0076,#665916,42.4423,53.8124,70.58,0.0138,#905701,59.1744,63.9225,84.93,0.0116,#b28803
