prompt_id,prompt_sha1,condition,seed,file_path,filename,body_area_frac,contrast_proxy_frac,file,colorfulness_hs
S4_claymation,47e50abd86,preset_pos_1x,4242145,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_preset_pos_1x_seed4242145_00001_.png,S4_claymation_preset_pos_1x_seed4242145_00001_.png,0.2943328857421875,0.0260986328125,S4_claymation_preset_pos_1x_seed4242145_00001_.png,39.25041198730469
S4_claymation,47e50abd86,preset_pos_2x,42,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_preset_pos_2x_seed42_00001_.png,S4_claymation_preset_pos_2x_seed42_00001_.png,0.3205413818359375,0.0214324951171875,S4_claymation_preset_pos_2x_seed42_00001_.png,46.52507019042969
S4_claymation,47e50abd86,preset_pos_2x,777,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_preset_pos_2x_seed777_00001_.png,S4_claymation_preset_pos_2x_seed777_00001_.png,0.270135498046875,0.0116119384765625,S4_claymation_preset_pos_2x_seed777_00001_.png,41.6074333190918
S4_claymation,47e50abd86,preset_pos_2x,1337,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_preset_pos_2x_seed1337_00001_.png,S4_claymation_preset_pos_2x_seed1337_00001_.png,0.28514404296875,0.0291259765625,S4_claymation_preset_pos_2x_seed1337_00001_.png,48.35063171386719
S4_claymation,47e50abd86,preset_pos_2x,9999,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_preset_pos_2x_seed9999_00001_.png,S4_claymation_preset_pos_2x_seed9999_00001_.png,0.2893035888671875,0.029736328125,S4_claymation_preset_pos_2x_seed9999_00001_.png,45.87633514404297
S4_claymation,47e50abd86,preset_pos_2x,4242145,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_preset_pos_2x_seed4242145_00001_.png,S4_claymation_preset_pos_2x_seed4242145_00001_.png,0.28482666015625,0.03458251953125,S4_claymation_preset_pos_2x_seed4242145_00001_.png,41.46281433105469
S4_claymation,47e50abd86,blockshuf_neg_1x,42,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_blockshuf_neg_1x_seed42_00001_.png,S4_claymation_blockshuf_neg_1x_seed42_00001_.png,0.3705841064453125,0.05111083984375,S4_claymation_blockshuf_neg_1x_seed42_00001_.png,58.96585464477539
S4_claymation,47e50abd86,blockshuf_neg_1x,777,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_blockshuf_neg_1x_seed777_00001_.png,S4_claymation_blockshuf_neg_1x_seed777_00001_.png,0.3389495849609375,0.02467041015625,S4_claymation_blockshuf_neg_1x_seed777_00001_.png,54.94391250610352
S4_claymation,47e50abd86,blockshuf_neg_1x,1337,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_blockshuf_neg_1x_seed1337_00001_.png,S4_claymation_blockshuf_neg_1x_seed1337_00001_.png,0.3355499267578125,0.025799560546875,S4_claymation_blockshuf_neg_1x_seed1337_00001_.png,60.65114974975586
S4_claymation,47e50abd86,blockshuf_neg_1x,9999,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_blockshuf_neg_1x_seed9999_00001_.png,S4_claymation_blockshuf_neg_1x_seed9999_00001_.png,0.382525634765625,0.0177490234375,S4_claymation_blockshuf_neg_1x_seed9999_00001_.png,55.479122161865234
S4_claymation,47e50abd86,blockshuf_neg_1x,4242145,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_blockshuf_neg_1x_seed4242145_00001_.png,S4_claymation_blockshuf_neg_1x_seed4242145_00001_.png,0.3368408203125,0.0213104248046875,S4_claymation_blockshuf_neg_1x_seed4242145_00001_.png,48.55804061889648
S4_claymation,47e50abd86,blockshuf_neg_2x,42,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_stage9\renders\S4_claymation_blockshuf_neg_2x_seed42_00001_.png,S4_claymation_blockshuf_neg_2x_seed42_00001_.png,0.37371826171875,0.02598876953125,S4_claymation_blockshuf_neg_2x_seed42_00001_.png,71.66697692871094
