type,report,prompt_id,seed,block,rot_kind,angle_deg,image_path,file,condition,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
rotX,benchmark_tiefling,tiefling,,Block_2,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_2_rotX_-30.0_00001_.png,Block_2_rotX_-30.0_00001_.png,,,,,1024,1760,99.6771,0.1146,326.09,0.1566,#674f3f,2.5844,0.7444,340.1,0.1376,#141213,0.8446,79.733,8.3429,5,0.3147,26.3529,2.4551,0.7127,346.24,0.1608,#0f0c0c,18.3863,12.7289,37.45,0.1539,#10172a,43.0239,27.0656,71.73,0.1082,#524168,44.256,11.439,173.27,0.091,#765a6a,58.8781,26.3861,141.07,0.0493,#6f4ed2,82.1881,22.3364,311.59,0.0232,#bfab8d
rotX,benchmark_tiefling,tiefling,,Block_1,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_1_rotX_+15.0_00001_.png,Block_1_rotX_+15.0_00001_.png,,,,,1024,1760,98.2668,0.6175,338.72,0.4042,#9060c3,6.5487,1.5726,1.9,0.0849,#130f13,0.6019,78.3783,12.2621,4,0.198,32.0548,3.2664,1.1279,29.17,0.0987,#100d10,16.032,16.8274,48.79,0.0853,#41236a,46.7018,21.6505,139.45,0.0591,#764936,75.9802,33.1827,304.51,0.0665,#744fc8,77.4769,23.1767,87.59,0.0441,#dca965,81.6447,21.2316,294.82,0.0992,#b1c0b9
rotX,benchmark_tiefling,tiefling,,Block_1,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_1_rotX_-30.0_00001_.png,Block_1_rotX_-30.0_00001_.png,,,,,1024,1760,76.8221,11.5433,87.28,0.1124,#978951,23.9026,24.3856,72.76,0.0867,#0f172a,0.8873,63.1622,8.9732,5,0.2195,28.2395,20.9154,22.9349,70.23,0.0504,#0f172a,29.6174,33.8377,62.43,0.1083,#705a48,39.0607,34.3225,75.3,0.1111,#6c5f2e,43.8775,20.1871,92.7,0.0931,#6f4ed2,53.8691,26.694,107.42,0.0793,#af8c91,84.0776,6.083,76.22,0.0104,#b59f51
rotX,benchmark_tiefling,tiefling,,Block_1,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_1_rotX_+30.0_00001_.png,Block_1_rotX_+30.0_00001_.png,,,,,1024,1760,95.6191,1.4765,354.76,0.53,#d6d8d9,4.5386,6.1786,303.19,0.0895,#191412,0.4717,78.3164,9.9027,5,0.2705,32.062,2.884,2.8659,308.13,0.1457,#110d0c,16.2624,16.9633,43.33,0.0615,#55495f,46.524,34.9278,71.12,0.0697,#7b5924,69.4763,31.7835,312.87,0.1249,#6450c8,78.9938,16.3263,91.81,0.0428,#8077ad,81.2004,13.8426,312.6,0.0995,#bab7b7
rotX,benchmark_tiefling,tiefling,,Block_2,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_2_rotX_-15.0_00001_.png,Block_2_rotX_-15.0_00001_.png,,,,,1024,1760,99.5504,0.1451,60.24,0.2153,#3c3a44,9.1069,1.5833,220.16,0.1649,#150f12,0.791,76.4789,6.3706,6,0.2485,31.6423,3.6059,0.3579,85.51,0.1344,#0c080b,23.7354,19.5426,80.18,0.1141,#3d2119,28.7482,20.7743,35.32,0.0781,#242842,40.2541,29.6017,141.3,0.0737,#49366d,57.2736,32.0002,313.28,0.0407,#724ed3,80.0848,25.5932,302.21,0.0362,#c2aa82
rotX,benchmark_tiefling,tiefling,,Block_2,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_2_rotX_+15.0_00001_.png,Block_2_rotX_+15.0_00001_.png,,,,,1024,1760,99.7873,0.0712,297.54,0.3049,#593a87,5.8721,1.1221,50.81,0.0944,#110b0d,0.6961,71.75,8.367,5,0.2525,26.6128,5.3998,1.1981,50.59,0.1294,#0f090b,33.0065,16.3877,140.01,0.0467,#36184c,37.1317,22.2785,72.02,0.0916,#7c4931,51.7188,27.8109,133.12,0.0751,#745dbe,70.1063,13.8836,96.52,0.0635,#d9b170,77.1497,15.212,303.12,0.1231,#b7cad3
rotX,benchmark_tiefling,tiefling,,Block_2,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_2_rotX_+30.0_00001_.png,Block_2_rotX_+30.0_00001_.png,,,,,1024,1760,99.4915,0.0952,290.66,0.333,#614a3d,4.6896,1.0009,27.75,0.0933,#0b0a0c,0.6658,78.5701,15.7501,5,0.2411,17.8147,3.5578,0.7158,21.83,0.1229,#080609,49.434,6.4479,169.21,0.0541,#0f172a,55.9049,15.6064,64.54,0.0388,#372822,61.527,18.5305,136.93,0.0702,#5f55d2,78.3339,11.889,97.46,0.0709,#86659b,82.1279,11.7685,303.11,0.1182,#ab9977
rotX,benchmark_tiefling,tiefling,,Block_3,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_3_rotX_-30.0_00001_.png,Block_3_rotX_-30.0_00001_.png,,,,,1024,1760,98.7538,0.5634,102.09,0.2458,#44332a,14.6356,10.7489,56.14,0.1896,#0b0809,0.7672,73.0531,8.0495,5,0.2149,39.7268,7.698,1.3114,74.22,0.0976,#0a0708,16.8975,17.5994,62.58,0.1173,#0f172a,34.5018,34.8737,67.32,0.0512,#7b5799,56.705,22.0852,148.68,0.0559,#6d4ed2,58.3672,41.0382,137.27,0.062,#a68bbb,80.7511,16.3109,307.63,0.0515,#c3a472
rotX,benchmark_tiefling,tiefling,,Block_3,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_3_rotX_-15.0_00001_.png,Block_3_rotX_-15.0_00001_.png,,,,,1024,1760,98.7542,0.1915,65.78,0.2565,#ac947b,7.5322,3.665,42.14,0.1335,#100d11,0.7576,72.9527,9.1856,5,0.2454,33.7415,6.014,2.4378,43.49,0.1492,#0e0b11,21.353,15.7935,35.94,0.0962,#101729,29.6926,14.9027,145.74,0.0523,#755c93,31.6391,26.0148,67.0,0.073,#704ed2,60.6751,36.1793,140.58,0.0677,#8d6649,78.9667,9.6801,296.83,0.0444,#c5c3c0
rotX,benchmark_tiefling,tiefling,,Block_3,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\rotations\Block_3_rotX_+15.0_00001_.png,Block_3_rotX_+15.0_00001_.png,,,,,1024,1760,99.5896,0.1937,269.54,0.2765,#6f489a,4.2115,0.8553,66.28,0.1186,#110c10,0.7301,76.7684,10.3168,5,0.2293,41.3935,3.264,0.4947,67.21,0.1509,#100b0e,36.4757,32.123,96.41,0.0784,#40526f,50.5604,22.9424,142.8,0.0515,#9b5633,52.1554,41.8882,137.48,0.0588,#8853c1,69.1228,28.7413,314.06,0.0644,#8982cb,80.0324,35.3553,123.49,0.0415,#e5c17d
