run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
28,S02_linocut,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_baseline_00001_.png,S02_linocut_s1337_baseline_00001_.png,,,,1024,1760,83.1735,8.3536,95.97,0.1283,#d4cfc0,8.1218,14.1985,282.92,0.272,#0f172a,0.8891,64.4181,8.4656,5,0.2572,72.5223,6.732,1.8069,36.95,0.2148,#181413,28.7585,44.477,32.52,0.026,#7c2521,42.6213,74.3292,303.26,0.0051,#6550cd,43.0906,70.5319,36.36,0.0243,#c02d23,64.7703,51.2325,76.34,0.0216,#c99342,71.15,21.4988,80.1,0.0425,#c3ab88
29,S02_linocut,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_Block_1_pos_00001_.png,S02_linocut_s1337_Block_1_pos_00001_.png,,,,1024,1760,89.7255,2.9819,94.7,0.1753,#e4e1dc,7.9914,12.0366,286.17,0.3921,#131727,0.8179,80.1255,14.169,5,0.243,67.5761,3.9939,2.5379,322.03,0.0905,#110d11,40.169,70.114,35.37,0.0393,#b7231f,42.1664,44.8695,288.98,0.0431,#4a5faa,72.2221,57.1652,85.05,0.0438,#d6ab44,77.4344,22.4927,79.81,0.0386,#d6bb97,84.1194,14.5306,238.08,0.1525,#b4d7e9
30,S02_linocut,,,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_Block_1_neg_00001_.png,S02_linocut_s1337_Block_1_neg_00001_.png,,,,1024,1760,74.7018,17.7502,96.21,0.1514,#c1b897,8.1359,14.252,282.98,0.2709,#0f172a,0.8847,71.0844,13.6114,4,0.4611,73.0243,7.9613,4.9721,79.45,0.1562,#1b1710,8.0717,14.2604,283.03,0.3049,#0f172a,19.0098,33.8226,33.23,0.0313,#571915,42.3152,66.5144,38.9,0.0226,#b83421,43.3658,77.9964,305.46,0.0055,#6e4ed2,79.0456,28.5313,83.53,0.0283,#ddc08f
31,S02_linocut,,,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_Block_6_pos_00001_.png,S02_linocut_s1337_Block_6_pos_00001_.png,,,,1024,1760,7.9912,14.2798,283.09,0.2682,#0f172a,1.6015,7.1364,20.51,0.3107,#160000,0.7329,70.1523,2.3292,6,0.2475,71.9202,1.3884,6.2295,19.94,0.2376,#140000,11.5605,21.5245,54.16,0.0099,#341700,28.3745,37.3307,86.69,0.0031,#544001,43.3259,74.3147,301.93,0.0065,#6153d1,56.0858,45.5441,163.57,0.0003,#13996f,71.5407,2.3945,274.3,0.0005,#adafb4
32,S02_linocut,,,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_Block_6_neg_00001_.png,S02_linocut_s1337_Block_6_neg_00001_.png,,,,1024,1760,80.2215,15.8475,335.01,0.2231,#ddbed4,7.996,14.2782,283.09,0.2683,#0f172a,0.6431,66.091,11.6687,5,0.4814,104.3929,7.9948,14.274,283.08,0.4157,#0f172a,42.4228,74.5494,302.72,0.0068,#6250cd,50.1282,118.6669,319.03,0.0006,#c100ff,66.1255,45.9721,349.49,0.0433,#e680b1,66.7787,22.2225,336.86,0.0657,#c096b3,74.0858,23.0265,9.23,0.0572,#e1a7b0
33,S02_linocut,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_scramble_A_00001_.png,S02_linocut_s1337_scramble_A_00001_.png,,,,1024,1760,71.0146,47.6914,63.62,0.0752,#e79e60,1.8856,1.1619,51.88,0.3681,#0a0605,0.9683,85.9354,8.3101,6,0.4117,84.341,1.4637,0.4917,51.35,0.3622,#070504,26.9078,44.9513,48.14,0.0495,#70290b,35.0782,62.267,301.12,0.0118,#4c44a9,43.8009,84.8327,38.67,0.0422,#ce140e,71.9884,38.7094,92.76,0.0157,#c5af69,87.3991,3.9649,346.05,0.0164,#e2d9dd
34,S02_linocut,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_scramble_B_00001_.png,S02_linocut_s1337_scramble_B_00001_.png,,,,1024,1760,74.8855,9.0934,107.36,0.1131,#bab9a8,8.1569,14.0391,282.7,0.2785,#10172a,0.9132,77.999,8.5294,5,0.1794,72.5389,5.3689,1.9466,39.25,0.1358,#151110,18.669,35.6676,31.64,0.0249,#581514,42.469,69.6177,37.41,0.0189,#bc2e21,43.6624,74.4854,302.06,0.0052,#6354d2,58.6415,52.711,71.49,0.0436,#be8032,83.3679,15.2583,74.11,0.02,#e3ccb4
35,S02_linocut,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_baseline_00001_.png,S02_linocut_s4242145_baseline_00001_.png,,,,1024,1760,82.9053,10.6943,94.3,0.1341,#d5cebb,7.2215,2.6837,50.19,0.2072,#1a1513,0.8866,72.7393,6.6907,5,0.3099,72.305,5.9861,1.9787,54.11,0.2104,#161311,20.9596,26.8201,39.94,0.0209,#53251a,38.15,61.5451,36.28,0.0276,#a82c21,42.4642,74.2837,303.05,0.0053,#6350cd,67.1623,13.8521,225.44,0.0995,#85a9b5,78.7254,27.1699,83.52,0.0211,#dbbf91
36,S02_linocut,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_Block_1_pos_00001_.png,S02_linocut_s4242145_Block_1_pos_00001_.png,,,,1024,1760,85.5439,7.34,88.1,0.1848,#dcd5c8,7.7018,12.7398,284.57,0.3959,#111627,0.8602,79.6603,8.116,5,0.6157,68.928,7.3222,12.9492,284.14,0.4504,#101627,25.3624,32.632,36.3,0.0199,#662a20,40.586,66.8444,298.87,0.008,#5152c1,43.6161,79.3802,37.82,0.0194,#c92018,72.074,58.5816,84.77,0.0245,#d7ab41,86.9825,10.4523,243.96,0.1653,#c7ddeb
37,S02_linocut,,,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_Block_1_neg_00001_.png,S02_linocut_s4242145_Block_1_neg_00001_.png,,,,1024,1760,76.2321,21.2593,86.29,0.0998,#ceba95,8.124,14.1732,283.04,0.2731,#0f172a,0.9311,77.2004,9.1014,5,0.3252,64.4849,8.0692,14.2226,283.13,0.2918,#0f172a,16.929,25.9227,36.54,0.0334,#491c15,41.652,65.5683,38.94,0.0164,#b53320,43.4636,78.2955,305.86,0.0051,#704ed2,59.9348,40.7497,74.87,0.0247,#b6884b,85.2696,13.8106,88.36,0.0156,#e1d4bb
