report,prompt_id,seed,steps,cfg,family,block,rot_kind,angle_deg,amplitude,image_rel,clip_dist,cosine_sim
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rot_other,Block_3,tensor_rot_y,20.0,,rotations/Block_3_tensor_rot_y_+20.0_00001_.png,0.0771,0.9229
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rot_other,Block_3,structural_rot_y,-20.0,,rotations/Block_3_structural_rot_y_-20.0_00001_.png,0.0889,0.9111
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rot_other,Block_3,structural_rot_y,20.0,,rotations/Block_3_structural_rot_y_+20.0_00001_.png,0.1883,0.8117
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rot_other,Block_3,tensor_rot_x,-20.0,,rotations/Block_3_tensor_rot_x_-20.0_00001_.png,0.0994,0.9006
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rot_other,Block_3,tensor_rot_x,20.0,,rotations/Block_3_tensor_rot_x_+20.0_00001_.png,0.16,0.84
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rot_other,Block_3,tensor_rot_y,-20.0,,rotations/Block_3_tensor_rot_y_-20.0_00001_.png,0.1159,0.8841
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rot_other,Block_3,tensor_rot_y,20.0,,rotations/Block_3_tensor_rot_y_+20.0_00001_.png,0.142,0.858
benchmark_flag_report.html,flag,4242145,6,1.0,rot_other,Block_3,structural_rot_y,-20.0,,rotations/Block_3_structural_rot_y_-20.0_00001_.png,0.0897,0.9103
benchmark_flag_report.html,flag,4242145,6,1.0,rot_other,Block_3,structural_rot_y,20.0,,rotations/Block_3_structural_rot_y_+20.0_00001_.png,0.1019,0.8981
benchmark_flag_report.html,flag,4242145,6,1.0,rot_other,Block_3,tensor_rot_x,-20.0,,rotations/Block_3_tensor_rot_x_-20.0_00001_.png,0.0845,0.9155
