prompt_id,V_1_3,V_3_6,V_1_6,V_scr_1_3,V_scr_3_6,V_scr_1_1,V_scr_3_3,Delta_1_3,Delta_3_6
S01_oil,0.1873135854556921,0.4842140672351303,1.106650987209349,0.09193185275858701,0.09193185275858701,0.37232992958813693,0.11714448078902195,0.09538173269710509,0.39228221447654327
S02_linocut,0.07368598553410755,0.5521646255620845,0.9524356424964964,-0.09085292324148436,-0.09085292324148436,0.4687538478721605,0.6186440742347908,0.1645389087755919,0.6430175488035688
S03_cyberpunk,-0.1235932015188157,0.5574592838526042,1.017364016882249,-0.015731619435330746,-0.015731619435330746,0.8565503976891115,-0.03972073151110461,-0.10786158208348495,0.573190903287935
S04_gouache,0.15195551935090834,0.11754182734689628,0.8977238839759252,-5.3037175681364124e-05,-5.3037175681364124e-05,0.730886440711318,0.12379512196279946,0.1520085565265897,0.11759486452257764
S05_pencil,0.21684341096437149,-0.0026288037768580907,0.9846589786360951,-0.204417802083512,-0.204417802083512,0.5335032555935304,-0.22410513033300372,0.4212612130478835,0.20178899830665392
S06_pastel,0.20297262731184856,0.3454991717735772,1.0571545983566142,-0.03731190933343581,-0.03731190933343581,0.6990407917703766,0.19870040446361487,0.24028453664528437,0.382811081107013
S07_comic,-0.026899104934209273,0.5813320786144548,0.9011545868991488,-0.03895707543515681,-0.03895707543515681,0.3408588713465819,0.11463908168492837,0.012057970500947535,0.6202891540496116
S08_papercraft,0.1848353022240775,-0.20510170136131967,1.0234006987043562,0.0465754404144903,0.0465754404144903,0.7347860694689968,0.7932670511593616,0.13825986180958721,-0.25167714177580996
S09_fresco,0.12417455935477112,0.5299653836703748,1.0309198055363331,-0.050448270465002,-0.050448270465002,0.8803500067124366,0.1878840892127055,0.17462282981977312,0.5804136541353768
S10_synthwave,-0.18950954169911616,0.5782113388163533,0.5831649698061685,-0.09632580847659614,-0.09632580847659614,0.45291901645053984,-0.053244581680998104,-0.09318373322252002,0.6745371472929494
