file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share,condition,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
S03_cyberpunk_s4242145_scrB_pos_00001_.png,1024,1280,4.0,1.7899643182754517,0.4474910795688629,0.05508575439453125,66.7918593894542,1081,3.1752352714538574,3.856247901916504,0.44144999999999995,0.9306919053777453,13.202759763475614,82.3403549194336,3,22.0,5.427788019386867,1.882132546261001,0.791827361111933,0.17238043044837345,0.9820906587454491,3.079947306334355,0.8529655456542968,-3.668888848546192,4.696611197186186e-06,,74.6206,27.624,309.13,0.091,#c5aedf,6.2705,12.0365,329.23,0.1193,#1e0f1c,0.9639,73.4739,10.1955,5,0.1474,75.3405,2.8373,10.9564,316.79,0.0945,#140517,25.5656,61.7647,315.09,0.0492,#581f80,35.6311,55.7925,354.78,0.0368,#9d1c5e,37.8169,43.933,38.09,0.0479,#933f2f,46.2048,86.2969,322.03,0.0223,#ad33c8,76.3113,23.4641,283.94,0.0529,#b0bbe6
S03_cyberpunk_s42_B1_neg_00001_.png,1024,1280,4.0,2.2849743366241455,0.5712435841560364,0.05426864624023438,70.91824526420737,1003,3.0965576171875,3.925482988357544,0.4429,0.9416520180862035,13.610121795846524,70.11862182617188,4,21.0,6.167640753449829,2.465486438294291,0.808938063743139,0.14829407466696987,0.9840317408132135,3.0323412244960246,0.8665390014648438,-3.83002711620516,1.9947031686596483e-06,,86.4545,5.723,252.01,0.1897,#d0dae2,12.5847,6.4829,319.78,0.263,#251f27,0.8487,81.7373,9.5463,5,0.316,55.9099,6.6349,4.1597,4.44,0.1276,#1b1314,35.2918,54.9864,325.34,0.0299,#803386,35.6086,60.0696,33.83,0.043,#a02421,57.7907,55.736,69.31,0.0448,#c07c2c,75.4132,24.8728,233.33,0.1885,#7fc3de,88.3723,9.2815,63.93,0.0235,#ecdbce
S03_cyberpunk_s42_B1_pos_00001_.png,1024,1280,4.0,2.2810425758361816,0.5702606439590454,0.05497817993164063,83.11534025374856,867,3.009382724761963,3.8923428058624268,0.42284999999999995,0.9476022865773324,13.83651916216745,72.6042251586914,4,21.0,5.630517699846224,2.572603022257221,0.8038560246891386,0.1511537138751493,0.9843718691032681,3.0048446960973756,0.8742523193359375,-3.9191944364439366,1.9244307030112976e-06,,87.035,6.1285,265.09,0.1888,#d3dbe5,9.639,9.6048,309.13,0.2061,#1e1825,0.8605,83.4375,5.6224,6,0.3122,56.5061,6.3231,6.0029,8.16,0.1177,#1d1113,33.8639,56.776,29.8,0.0562,#992026,49.9214,62.509,327.4,0.0243,#b150b1,62.0385,59.9682,71.35,0.0363,#cd872b,77.1239,24.8278,235.77,0.1946,#85c8e4,89.7606,9.909,73.48,0.0245,#efdfd0
S03_cyberpunk_s42_B6_neg_00001_.png,1024,1280,4.0,2.0399723052978516,0.5099930763244629,0.07564849853515625,53.337278106508876,1859,3.0803558826446533,3.862858533859253,0.4276,0.9555425394004615,14.144508662276651,67.79882049560547,2,22.0,4.926988170424631,3.2610298926136005,0.7320553359702576,0.12917457490853804,0.9777898332739444,3.129287822028825,0.8367965698242188,-3.6371270918457292,4.300629368902651e-06,,84.996,12.5803,287.84,0.196,#d1d3eb,10.3018,18.5684,311.64,0.1391,#23172f,0.852,82.1614,11.2965,6,0.2049,56.4107,8.0526,15.1555,316.96,0.109,#201325,29.0398,44.8158,0.95,0.0493,#801c45,36.0145,37.6495,290.47,0.0959,#44518d,47.0009,63.3703,331.49,0.0405,#b044a3,53.6968,48.3875,52.09,0.0233,#be6a3f,90.214,6.9596,12.45,0.023,#f2dfe0
S03_cyberpunk_s42_B6_pos_00001_.png,1024,1280,4.0,2.182955265045166,0.5457388162612915,0.04491729736328125,77.36399474375821,761,3.3439273834228516,3.912278413772583,0.43665,0.9487024557085237,13.87878936119425,74.29020690917969,3,21.0,5.971513383251576,1.6043779168114747,0.8241842954727912,0.1559471999591079,0.9884564742741323,3.052706315905767,0.883234405517578,-4.039559583738883,8.289055724127387e-07,,84.33,14.7186,135.36,0.1723,#c6d8bf,12.8045,1.4757,74.3,0.2509,#23211f,0.8961,81.0385,9.3703,5,0.3252,52.8216,7.6141,6.0583,53.61,0.1177,#1e150f,36.1722,58.7872,39.05,0.0507,#9d2c1b,59.8662,58.8799,82.14,0.0512,#b7891f,61.4149,54.5834,339.72,0.0108,#db6eb7,73.9966,26.0245,196.64,0.2075,#72c3c3,88.6526,25.6357,103.42,0.0333,#e6e0af
S03_cyberpunk_s42_baseline_00001_.png,1024,1280,4.0,2.276843547821045,0.5692108869552612,0.05395965576171875,85.62469733656174,826,2.9781222343444824,3.888127326965332,0.47519999999999996,0.9328669272522132,13.282618779380366,72.69393920898438,4,20.0,5.952880266197621,2.66445939192871,0.8077292429322316,0.15296281352014612,0.9833512142214247,3.00968783674126,0.8686889648437499,-3.8474210121373233,2.071534348237168e-06,,86.8641,6.3057,259.6,0.1933,#d1dbe5,7.5644,5.2438,0.42,0.1154,#1d1417,0.8534,83.6601,5.4838,6,0.2952,57.0626,6.1682,5.149,14.46,0.11,#1b1112,33.4872,57.3862,30.11,0.0548,#991e24,49.4688,62.2116,329.24,0.0219,#b34ead,61.334,60.5507,70.83,0.0368,#cb8529,76.4973,25.5322,234.87,0.1853,#81c6e3,89.8283,9.3857,69.1,0.0233,#f0dfd1
S03_cyberpunk_s42_scrA_neg_00001_.png,1024,1280,4.0,2.1596179008483887,0.5399044752120972,0.053424835205078125,86.23768472906404,812,3.024528741836548,3.876671552658081,0.39575000000000005,0.9665096921515268,14.58121231637064,70.40785217285156,4,20.0,5.90572132774088,2.3303961290867337,0.812217867606053,0.15391700773422295,0.9852148742983877,3.0030886091813485,0.8707099914550781,-3.8742263338808947,1.880112669218202e-06,,86.8186,5.8013,258.66,0.1869,#d2dae4,10.9393,10.3742,303.79,0.2189,#1f1b29,0.8542,83.1034,10.4278,5,0.1717,63.603,7.21,5.6268,7.25,0.1236,#1e1315,33.8815,41.51,345.2,0.0344,#833261,35.2261,58.3001,29.68,0.048,#9f2128,50.0524,69.2298,327.69,0.0145,#b84ab7,60.6577,59.8461,70.26,0.0372,#ca8329,90.3134,9.1884,75.3,0.0219,#efe1d2
S03_cyberpunk_s42_scrA_pos_00001_.png,1024,1280,4.0,2.319474458694458,0.5798686146736145,0.056623077392578124,75.11842105263158,988,2.9987056255340576,3.8704521656036377,0.4311,0.9559485649947284,14.16044069551204,75.07730865478516,4,20.0,5.908538058069564,2.809901938573504,0.8040752023183309,0.14913983114620322,0.9829914386468697,3.0031401290903696,0.8748954772949218,-3.821319684104925,2.356289581571454e-06,,87.4253,5.5452,249.81,0.1969,#d2dde5,11.353,6.6695,1.58,0.1905,#271b1e,0.8492,85.6084,6.4912,6,0.3021,60.1213,4.8156,3.1956,352.32,0.1113,#150f11,34.8614,60.0452,30.86,0.0602,#9f1e24,49.8798,60.4038,331.43,0.0263,#b64fa9,63.4658,63.3169,71.34,0.0342,#d38a27,76.6384,25.3446,231.91,0.1907,#80c7e1,90.4241,9.1666,65.07,0.0259,#f2e1d4
S03_cyberpunk_s42_scrB_neg_00001_.png,1024,1280,4.0,2.0361626148223877,0.5090406537055969,0.0426910400390625,85.03951367781156,658,3.0461819171905518,3.80637788772583,0.3863,0.9693121970624524,14.694952476945582,85.36288452148438,2,21.0,5.637563283291549,1.5044448289924706,0.8276508594842727,0.1621736914322296,0.9880844857690425,3.0454789996024583,0.8698905944824218,-4.049104937316376,5.019733217600106e-07,,90.2221,17.495,117.54,0.2135,#e0e7c5,19.8319,5.9073,75.61,0.0953,#352f28,0.8475,75.3242,6.3806,6,0.1894,64.3468,17.092,7.2884,69.38,0.0828,#312920,42.2775,66.2694,40.68,0.0579,#b6361e,53.0098,38.6638,357.63,0.021,#ba6383,72.2501,71.6352,84.49,0.0517,#dcaa1b,79.5683,29.2147,187.99,0.1066,#7bd5cc,92.4162,30.7732,102.04,0.0404,#f3ebaf
S03_cyberpunk_s42_scrB_pos_00001_.png,1024,1280,4.0,1.8868436813354492,0.4717109203338623,0.055303192138671874,66.38003663003663,1092,3.2515523433685303,3.835488796234131,0.42705,0.9570575083807256,14.204046009535855,77.15757751464844,2,22.0,5.301464014210177,2.1209215387512783,0.7897542872531348,0.15831005350554517,0.9832473236746815,3.1015184146901844,0.8500228881835938,-3.6709627540645253,4.135549139844319e-06,,79.8804,18.0503,284.25,0.1215,#bec5e6,7.2923,11.354,327.1,0.1482,#1f121e,0.931,81.0814,12.8612,4,0.2327,54.4453,3.6289,11.5611,316.23,0.1278,#16081a,21.5401,46.956,300.49,0.1049,#2d2a70,24.9561,45.75,11.46,0.0473,#770d30,41.9225,66.0064,331.46,0.0272,#a43298,45.9073,48.5155,47.39,0.0207,#ab5432,84.7103,11.8603,343.94,0.021,#e7cdda
S04_gouache_s1337_B1_neg_00001_.png,1024,1280,4.393799781799316,2.5785274505615234,0.586855928493306,0.06027069091796875,179.13378684807256,441,3.378218412399292,4.037002086639404,0.4183,0.9654697646815398,14.53923098685695,72.02051544189453,5,17.0,6.437231452232982,4.193967190173855,0.804002662423025,0.1673778819695868,0.9501644813553571,3.151205668323809,0.7773185729980469,-3.632032466723659,3.6379990681210903e-06,,82.5945,12.8214,70.02,0.1105,#dfcab7,23.3509,8.2232,289.08,0.1623,#363743,0.9213,63.7323,6.5126,5,0.2,69.0346,17.6442,3.6659,339.48,0.0864,#2f2a2d,33.397,44.2297,30.7,0.0406,#8a302d,42.2904,26.6802,92.3,0.0529,#706337,44.3127,72.7005,36.99,0.04,#c62e22,61.0788,53.8852,66.58,0.0627,#cb833a,81.3766,9.4375,195.99,0.1136,#b5d0cf
S04_gouache_s1337_B1_pos_00001_.png,1024,1280,5.599999904632568,2.651503086090088,0.4734827020080209,0.05736618041992188,203.76964769647697,369,3.288374662399292,4.019869327545166,0.3811,0.9750582990831964,14.930941097617522,72.51974487304688,5,15.0,6.842834254672856,4.9287221483756,0.8093211890822984,0.15785792702501328,0.9473541782704875,3.1592034732751313,0.7929122924804688,-3.6967766545196845,3.461241789351566e-06,,84.9863,11.9388,74.68,0.1321,#e3d1bf,19.8868,13.2702,289.98,0.1507,#2d2f42,0.9181,65.3546,4.0817,6,0.1537,66.8554,17.155,4.9098,306.63,0.0894,#2c2930,31.3102,40.8707,28.61,0.0439,#812e2d,47.5503,71.7652,39.13,0.0316,#cd3d26,57.5802,25.2904,224.86,0.0643,#4795a9,64.4728,51.9314,66.16,0.0525,#d48c47,82.5096,27.406,76.25,0.0351,#ebc89c
