prompt_id,seed,condition,tag,grad_ratio,dL,passed,file,baseline_file
P02,2718281,Block_6_neg,B6_neg,1.0848808288574219,-1.2748870849609375,True,P02_s2718281_B6_neg_00001_.png,P02_s2718281_baseline_00001_.png
P02,2718281,Block_6_pos,B6_pos,0.9098342061042786,-2.60601806640625,True,P02_s2718281_B6_pos_00001_.png,P02_s2718281_baseline_00001_.png
P02,2718281,scramble_A_neg,scrA_neg,0.9860268831253052,2.0776824951171875,True,P02_s2718281_scrA_neg_00001_.png,P02_s2718281_baseline_00001_.png
P02,2718281,scramble_A_pos,scrA_pos,1.0242286920547485,1.2687149047851562,True,P02_s2718281_scrA_pos_00001_.png,P02_s2718281_baseline_00001_.png
P02,2718281,scramble_B_neg,scrB_neg,0.9783133864402771,18.714141845703125,True,P02_s2718281_scrB_neg_00001_.png,P02_s2718281_baseline_00001_.png
P02,2718281,scramble_B_pos,scrB_pos,0.9452415704727173,-22.463150024414062,False,P02_s2718281_scrB_pos_00001_.png,P02_s2718281_baseline_00001_.png
P02,3141592,Block_1_neg,B1_neg,0.9762009978294373,-2.91265869140625,True,P02_s3141592_B1_neg_00001_.png,P02_s3141592_baseline_00001_.png
P02,3141592,Block_1_pos,B1_pos,0.9902705550193787,-0.452728271484375,True,P02_s3141592_B1_pos_00001_.png,P02_s3141592_baseline_00001_.png
P02,3141592,Block_6_neg,B6_neg,1.059555172920227,-2.09405517578125,True,P02_s3141592_B6_neg_00001_.png,P02_s3141592_baseline_00001_.png
P02,3141592,Block_6_pos,B6_pos,0.8855434656143188,-0.641998291015625,True,P02_s3141592_B6_pos_00001_.png,P02_s3141592_baseline_00001_.png
P02,3141592,scramble_A_neg,scrA_neg,1.004164695739746,-0.72930908203125,True,P02_s3141592_scrA_neg_00001_.png,P02_s3141592_baseline_00001_.png
P02,3141592,scramble_A_pos,scrA_pos,1.0139306783676147,-1.3065261840820312,True,P02_s3141592_scrA_pos_00001_.png,P02_s3141592_baseline_00001_.png
P02,3141592,scramble_B_neg,scrB_neg,0.969997763633728,21.678756713867188,False,P02_s3141592_scrB_neg_00001_.png,P02_s3141592_baseline_00001_.png
P02,3141592,scramble_B_pos,scrB_pos,0.9304689168930054,-25.86463165283203,False,P02_s3141592_scrB_pos_00001_.png,P02_s3141592_baseline_00001_.png
S01_oil,1337,Block_1_neg,B1_neg,0.9981345534324646,-3.16912841796875,True,S01_oil_s1337_B1_neg_00001_.png,S01_oil_s1337_baseline_00001_.png
S01_oil,1337,Block_1_pos,B1_pos,0.9965518712997437,3.8419570922851562,True,S01_oil_s1337_B1_pos_00001_.png,S01_oil_s1337_baseline_00001_.png
S01_oil,1337,Block_6_neg,B6_neg,1.5284227132797241,4.179656982421875,False,S01_oil_s1337_B6_neg_00001_.png,S01_oil_s1337_baseline_00001_.png
