space,n_features,mean_V_1_3,p_V_1_3,mean_V_3_6,p_V_3_6,mean_V_1_6,p_V_1_6,mean_scr_1_1,p_scr_1_1,mean_scr_3_3,p_scr_3_3,mean_scr_1_3,p_scr_1_3,mean_scr_cross,p_scr_cross,mean_Delta_1_3,p_Delta_1_3,sig_Delta_1_3,mean_Delta_3_6,p_Delta_3_6,sig_Delta_3_6,mean_Delta_1_6,p_Delta_1_6,regime,regime_desc,coh_b1,coh_b3,coh_b6,coh_sa,coh_sb,coh_sc,coh_sd,cross_1_3,cross_3_6,cross_1_6,disatt_1_3,disatt_3_6,disatt_1_6,share_antisym_b1,share_antisym_b3,share_antisym_b6
Tessitura (Primario),3,0.08017791420436356,0.11328125,0.35386572717332976,0.01171875,0.9554628168502735,0.001953125,0.606997862720319,0.001953125,0.18370038599821162,0.08203125,-0.03955911524731219,0.154296875,0.562990640721378,0.00390625,0.11973702945167575,0.037109375,True,0.39342484242064196,0.0078125,True,0.34846495412995465,0.001953125,4. Asimmetria di Propagazione,"Forte asimmetria tra ingresso e uscita (|V_1,3 - V_3,6| = 0.2737 > 0.25). La dinamica di uno dei due confini penetra nel centro molto piu' profondamente dell'altra.",0.9204494442830797,0.31375919576176825,0.9598692652988947,0.904357111373987,0.49140699309475533,-0.0770314225152376,0.2376294815472182,0.886238482662712,0.47901166159340186,0.01875835450711834,1.6491205469934067,0.872854412983414,0.019956699883091827,0.49826478439814886,0.46595274545646337,0.4408175511093194
Tratteggio e Bordi,3,0.13847206032828163,0.181640625,1.1595564591913357,0.001953125,1.0922511424247712,0.001953125,0.1719697061763228,0.001953125,0.12712559648273625,0.099609375,0.2978898905153834,0.00390625,0.14291633982082075,0.00390625,-0.1594178301871017,0.25,False,0.8616665686759524,0.009765625,True,0.9202814362484484,0.001953125,1. Centro Piatto / Prossimita ai Confini,"Almeno uno dei due contrasti contro lo scramble non e' significativo (Delta_1_3=-0.1594, p=0.25000; Delta_3_6=+0.8617, p=0.00977). L'effetto e' limitato ai confini (ingresso e uscita) del modello.",0.2649509132062818,0.13550763185720524,0.9428578471415473,0.5963890681290045,0.09829727560049394,0.03464335225581872,0.2557917132739806,0.5284349970638516,-0.665025653215584,-0.4253834766080642,2.7888617385507692,-1.8605160063339223,-0.8510886444552902,0.26308244928228647,0.37771076186780245,0.41034928350797206
Ombreggio e Crosshatch,2,0.40639486783717993,0.013671875,-0.14688543003180599,0.123046875,1.1959746412882706,0.00390625,0.733789351434895,0.001953125,-0.016843289488341146,0.98046875,0.46322311377573416,0.00390625,0.7323049687287323,0.001953125,-0.056828245938554144,0.796875,False,-0.6101085438075401,0.001953125,True,0.4621852898533758,0.099609375,1. Centro Piatto / Prossimita ai Confini,"Almeno uno dei due contrasti contro lo scramble non e' significativo (Delta_1_3=-0.0568, p=0.79688; Delta_3_6=-0.6101, p=0.00195). L'effetto e' limitato ai confini (ingresso e uscita) del modello.",0.9547706723894388,0.006055635534796686,0.4311796600141024,0.3944586288595905,0.7390409459675382,-0.0496871752068835,0.07359399922922384,-0.25782239564191384,0.9460833849610998,-0.5568935789862526,-3.39071462823304,18.514859393056067,-0.867947671597021,0.41250828754818153,0.4281269170816622,0.2623995744181694
Frequenze Spaziali,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,False,0.0,1.0,False,0.0,1.0,1. Centro Piatto / Prossimita ai Confini,"Almeno uno dei due contrasti contro lo scramble non e' significativo (Delta_1_3=+0.0000, p=1.00000; Delta_3_6=+0.0000, p=1.00000). L'effetto e' limitato ai confini (ingresso e uscita) del modello.",1.0,0.06666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,3.8729833462074175,3.8729833462074175,1.0,0.4627249413764454,0.3520267178117859,0.40381666702202323
Spazio Palette,5,0.23714493373054085,0.01171875,0.1644347736589983,0.017578125,0.965107683137471,0.001953125,0.16335935782836652,0.00390625,0.21855797956190653,0.044921875,0.1820746804499215,0.001953125,0.39428297403428514,0.001953125,0.05507025328061932,0.44140625,False,-0.017639906790923192,0.78515625,False,0.8017483253091043,0.001953125,1. Centro Piatto / Prossimita ai Confini,"Almeno uno dei due contrasti contro lo scramble non e' significativo (Delta_1_3=+0.0551, p=0.44141; Delta_3_6=-0.0176, p=0.78516). L'effetto e' limitato ai confini (ingresso e uscita) del modello.",0.5530026410918901,0.1664317722074661,0.9021090896938535,0.6319216659808338,0.1935915605631864,0.20595279295529675,0.11840866367406022,0.544741509171161,0.6561484824023321,-0.14899678056471827,1.795596491309083,1.693380211716054,-0.21095205109210968,0.5136927610661824,0.467080142359439,0.4562044452463865
