,blockshuf_neg,blockshuf_pos,preset_neg,preset_pos,rand_neg,rand_pos
blockshuf_neg,0.0866,-0.0434,-0.0229,0.0372,-0.0190,0.1006
blockshuf_pos,-0.0434,0.0297,-0.0050,-0.0078,-0.0041,-0.0096
preset_neg,-0.0229,-0.0050,0.0109,-0.0692,0.0361,-0.0264
preset_pos,0.0372,-0.0078,-0.0692,0.1186,-0.0450,0.0612
rand_neg,-0.0190,-0.0041,0.0361,-0.0450,0.2758,-0.1049
rand_pos,0.1006,-0.0096,-0.0264,0.0612,-0.1049,0.1964
