run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
273,S06_pastel,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s42_scramble_D_00001_.png,S06_pastel_s42_scramble_D_00001_.png,,,,1024,1760,82.4652,4.0608,117.36,0.1816,#c8cbc5,14.4323,2.8331,346.97,0.1339,#12182a,0.8347,71.2977,8.7886,5,0.1728,63.9273,10.8328,4.4821,44.37,0.1056,#11192c,26.6634,30.1728,34.81,0.0311,#692e27,46.2902,68.4094,40.96,0.0391,#6851d2,49.3938,39.6594,79.71,0.0422,#c54127,55.2367,19.7716,254.66,0.0672,#9b7040,82.1305,18.3843,82.02,0.032,#d9c5aa
274,S06_pastel,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s1337_Block_3_pos_00001_.png,S06_pastel_s1337_Block_3_pos_00001_.png,,,,1024,1760,82.3039,4.1584,119.11,0.1428,#cacdc5,20.1853,7.3078,288.6,0.1098,#141b2c,0.8876,75.6087,7.341,5,0.0981,73.8296,8.151,1.6029,17.36,0.0446,#111728,29.1404,42.8258,33.82,0.0291,#7b2820,50.8403,75.4325,36.85,0.0232,#6056d3,54.8567,18.8133,235.04,0.0479,#dd4031,63.4977,54.1614,73.39,0.0503,#d28f2f,83.7598,18.5146,79.53,0.0243,#e4cdb0
275,S06_pastel,,,rotator,-25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s1337_Block_3_neg_00001_.png,S06_pastel_s1337_Block_3_neg_00001_.png,,,,1024,1760,78.2177,6.7024,117.1,0.1035,#bdc3b9,18.6914,4.7612,58.18,0.1339,#121828,0.9132,57.8076,4.6183,5,0.3056,64.8958,14.1902,2.3621,30.03,0.0853,#0f172a,30.7392,34.4841,32.31,0.0392,#873f41,44.7084,67.2579,35.26,0.0267,#6e4ed1,48.6024,23.633,67.85,0.1047,#c1362c,57.3723,44.6059,77.23,0.0473,#b28440,71.9978,13.5247,234.43,0.2009,#cab69a
276,S06_pastel,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s1337_scramble_C_00001_.png,S06_pastel_s1337_scramble_C_00001_.png,,,,1024,1760,82.1376,5.2392,110.58,0.1445,#cbcac0,12.3494,5.2718,1.88,0.1297,#121829,0.8837,74.2498,8.7548,5,0.1795,72.703,10.1671,4.5982,333.21,0.1097,#10182b,34.3629,43.7392,36.56,0.054,#833229,47.3002,77.3012,36.14,0.0214,#6951d2,55.2823,18.0417,233.94,0.0432,#d53028,58.7839,39.052,66.34,0.0698,#b77f4b,84.4169,18.7527,82.37,0.0229,#e1cbad
277,S06_pastel,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s1337_scramble_D_00001_.png,S06_pastel_s1337_scramble_D_00001_.png,,,,1024,1760,82.4146,6.6683,96.17,0.1424,#c6cbc5,16.2957,4.2482,300.08,0.0904,#111829,0.885,74.1248,7.8181,5,0.1613,55.37,10.3754,1.721,35.38,0.0579,#101728,29.789,15.3225,37.14,0.0672,#af3d2e,42.506,57.091,36.65,0.0337,#6951d2,54.7611,18.6599,242.62,0.0941,#746d36,57.9366,42.3588,66.94,0.0462,#b97f47,84.5002,21.5854,80.98,0.0254,#e7cfaf
278,S06_pastel,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s4242145_Block_3_pos_00001_.png,S06_pastel_s4242145_Block_3_pos_00001_.png,,,,1024,1760,80.6431,6.5903,97.19,0.1261,#ccc8bc,13.42,4.6452,9.66,0.0942,#111729,0.9079,69.698,12.0548,5,0.2323,73.4415,13.2113,4.3878,9.05,0.0996,#0f172a,48.6424,77.8294,38.62,0.0201,#7b2f27,56.0954,42.4036,71.68,0.0458,#5f55d2,58.5595,47.2111,23.0,0.0144,#da4537,64.226,19.9241,240.29,0.1327,#98753f,82.9093,19.8107,83.75,0.0255,#e0ccaa
279,S06_pastel,,,rotator,-25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s4242145_Block_3_neg_00001_.png,S06_pastel_s4242145_Block_3_neg_00001_.png,,,,1024,1760,77.4473,10.2346,91.15,0.1047,#bfbeb0,18.8388,3.2627,344.79,0.1311,#111728,0.9164,59.2924,5.8645,5,0.2078,61.0954,16.2597,4.0152,20.43,0.116,#0f172a,29.8283,33.2522,34.94,0.0344,#2e2626,45.1016,65.1106,35.75,0.0162,#873d3a,52.9017,15.621,236.14,0.0918,#6f4ed2,55.8503,38.2135,14.01,0.0117,#c13c30,75.5522,26.3563,81.32,0.0246,#d4b991
280,S06_pastel,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s4242145_scramble_C_00001_.png,S06_pastel_s4242145_scramble_C_00001_.png,,,,1024,1760,81.6432,3.0563,103.71,0.1779,#cac8c1,11.9397,4.6887,1.3,0.1199,#121728,0.8115,63.306,11.9481,5,0.2774,67.0358,9.6228,3.6603,298.51,0.0991,#191514,44.5154,70.6961,36.69,0.0366,#6a50d2,52.083,38.0992,68.16,0.0552,#ac4848,53.2244,46.9468,20.86,0.0204,#c53226,67.8262,18.3282,74.02,0.0677,#966b40,72.9288,15.3841,236.26,0.1783,#94b9ca
281,S06_pastel,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S06_pastel_s4242145_scramble_D_00001_.png,S06_pastel_s4242145_scramble_D_00001_.png,,,,1024,1760,82.8215,6.6042,73.15,0.1524,#d4cdc4,11.9272,3.6362,37.16,0.0838,#131829,0.8823,71.0236,5.0942,6,0.2384,68.4593,10.8562,3.0349,32.94,0.0875,#11192c,34.8361,41.5415,33.09,0.0325,#893830,48.6863,71.4943,39.73,0.0192,#6951d2,58.6079,40.006,70.78,0.0564,#d04128,69.1192,19.1359,241.12,0.1509,#b5834b,81.8798,16.9459,68.77,0.024,#e7cdb3
282,S07_comic,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s42_Block_3_pos_00001_.png,S07_comic_s42_Block_3_pos_00001_.png,,,,1024,1760,85.972,17.1953,95.85,0.1437,#ddd3b4,2.9868,1.5444,47.05,0.2133,#15100d,0.8917,77.7307,5.8931,6,0.3121,75.3213,2.2584,1.079,45.92,0.2231,#0e0a08,29.005,48.5658,36.12,0.0178,#771f18,44.4786,76.4003,38.47,0.0418,#6055d2,58.427,16.7037,218.21,0.0529,#c82b1c,69.5439,50.3748,75.5,0.0889,#d8a050,79.9892,27.6758,80.91,0.0373,#e2c598
283,S07_comic,,,rotator,-25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s42_Block_3_neg_00001_.png,S07_comic_s42_Block_3_neg_00001_.png,,,,1024,1760,85.8831,15.0166,98.04,0.173,#ded7ba,3.7347,1.8209,48.04,0.2486,#140f0d,0.8663,80.1157,7.1357,6,0.411,85.6662,3.0457,1.2859,45.31,0.2697,#100c0a,25.7835,49.3785,34.57,0.0304,#761714,47.6326,86.9521,38.37,0.0349,#6f4ed2,68.2794,51.0859,71.12,0.0651,#dd2017,73.8657,18.5042,221.72,0.1413,#7db4c0,83.1614,35.2635,85.73,0.0589,#ebcb8d
284,S07_comic,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s42_scramble_C_00001_.png,S07_comic_s42_scramble_C_00001_.png,,,,1024,1760,89.5831,15.3257,93.51,0.1503,#ebe1c4,2.7077,1.2687,55.83,0.2308,#130f0c,0.8599,79.5684,8.3806,6,0.3438,77.0745,2.2924,0.9936,56.89,0.257,#0d0907,34.425,46.6177,32.91,0.0158,#95392d,44.3261,78.0681,36.65,0.0531,#6b50d2,55.8517,35.2738,103.69,0.0189,#cb231d,71.6654,50.8209,75.72,0.0568,#d99f51,81.8608,6.8844,173.98,0.0868,#bed0ca
285,S07_comic,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s42_scramble_D_00001_.png,S07_comic_s42_scramble_D_00001_.png,,,,1024,1760,86.9045,29.1686,89.99,0.0681,#e5dbb8,5.3225,1.7015,54.31,0.2127,#0f172a,0.9272,83.5828,12.6313,6,0.3151,76.54,3.5211,0.9063,54.02,0.1932,#110f0e,45.4639,77.4463,38.44,0.0475,#6851d1,55.3589,32.2884,117.01,0.0112,#ca2c1d,65.3556,44.0336,67.46,0.0565,#6d99a4,75.383,68.9988,79.28,0.0157,#eeaf33,87.104,11.5558,111.08,0.1218,#f4d79b
286,S07_comic,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s1337_Block_3_pos_00001_.png,S07_comic_s1337_Block_3_pos_00001_.png,,,,1024,1760,85.9082,15.1948,87.82,0.1329,#e1d4ba,3.3307,0.888,50.14,0.2743,#14100e,0.9011,75.7369,9.4549,6,0.3645,72.1818,2.7436,0.6715,48.71,0.2887,#0e0b0a,31.1128,39.0119,40.33,0.0233,#753422,41.9201,72.8533,37.86,0.0559,#bc281c,66.4059,48.2846,71.82,0.0759,#6055d2,72.1894,68.1991,78.06,0.0132,#d59849,78.4805,29.1779,71.92,0.0411,#e4bc90
287,S07_comic,,,rotator,-25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s1337_Block_3_neg_00001_.png,S07_comic_s1337_Block_3_neg_00001_.png,,,,1024,1760,86.1684,15.6248,96.27,0.1806,#e1d7ba,3.6367,1.4445,49.94,0.2244,#1a1412,0.8741,83.1555,2.6413,6,0.3094,84.0986,3.198,1.2117,50.37,0.248,#0f0b0a,18.7356,34.8045,32.16,0.0202,#791d1b,33.5662,55.3689,33.66,0.0216,#6d4ed1,46.8905,85.3103,38.43,0.0405,#d72217,66.9995,46.805,75.65,0.0614,#c89750,86.3535,30.4992,89.88,0.0341,#ebd39d
288,S07_comic,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s1337_scramble_C_00001_.png,S07_comic_s1337_scramble_C_00001_.png,,,,1024,1760,89.8166,9.6667,99.2,0.177,#e6e2d0,3.7254,1.7615,59.47,0.2573,#140f0b,0.8253,76.4685,7.1634,6,0.4124,74.844,2.402,1.1189,59.14,0.2741,#0b0806,29.5303,51.9182,34.47,0.0181,#654024,44.2359,75.9629,36.43,0.0645,#c12620,55.8807,31.8496,96.88,0.0552,#6951d2,73.4581,63.272,80.19,0.0098,#d2a362,78.8705,10.2549,209.38,0.1382,#abc8cb
289,S07_comic,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s1337_scramble_D_00001_.png,S07_comic_s1337_scramble_D_00001_.png,,,,1024,1760,85.9118,18.2646,89.57,0.1678,#ded5ba,4.3444,1.2351,58.3,0.2425,#171411,0.8856,79.8075,7.4252,6,0.2975,74.5768,2.6928,0.7354,61.64,0.238,#110e0c,29.8885,49.2662,36.47,0.0214,#7b241a,45.071,75.3122,38.48,0.0537,#6a51d2,54.3396,18.4323,228.93,0.0595,#c82f1e,75.3837,70.0819,78.93,0.0164,#efae30,82.5004,33.8593,80.86,0.0463,#ecc992
290,S07_comic,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s4242145_Block_3_pos_00001_.png,S07_comic_s4242145_Block_3_pos_00001_.png,,,,1024,1760,88.4318,17.7472,95.69,0.1141,#e6ddbc,3.5409,1.1259,45.06,0.2369,#14100e,0.9201,84.6047,4.7123,6,0.2992,76.0146,2.506,0.6621,35.75,0.2356,#0f0c0a,27.2532,31.4505,44.88,0.0148,#c1261a,43.4583,76.6768,37.98,0.0497,#5f56d2,55.7473,17.8694,218.17,0.0636,#cf9159,74.9462,69.337,81.11,0.0131,#eaaf2f,87.1107,33.5911,91.93,0.0266,#efd99b
291,S07_comic,,,rotator,-25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s4242145_Block_3_neg_00001_.png,S07_comic_s4242145_Block_3_neg_00001_.png,,,,1024,1760,83.1981,10.2772,109.09,0.1353,#d3d1bb,3.4584,1.9013,55.36,0.2483,#16100d,0.8986,91.2003,8.215,6,0.3659,76.8162,2.7517,1.4779,54.37,0.2551,#0f0b08,34.1462,50.2636,36.15,0.0236,#8f2e23,42.4959,78.294,37.03,0.0576,#c61c18,64.4543,39.7054,71.8,0.0785,#704ed2,75.4371,14.1193,225.54,0.1108,#99bfcc,93.952,7.9536,86.32,0.0128,#e9cc8f
292,S07_comic,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s4242145_scramble_C_00001_.png,S07_comic_s4242145_scramble_C_00001_.png,,,,1024,1760,89.6821,14.4029,88.38,0.1326,#ece0c6,4.7399,2.5272,54.6,0.254,#150f0c,0.874,74.7453,12.0088,4,0.4618,77.6048,2.5712,1.4177,50.92,0.2482,#0c0806,18.4569,29.8308,34.63,0.0144,#89221c,47.2928,79.0226,38.02,0.0435,#6951d2,47.9457,34.0738,89.6,0.0433,#d43021,75.3358,66.2612,80.84,0.0082,#d2924e,77.3166,10.4716,191.74,0.2136,#a8c5c2
293,S07_comic,,,scramble,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S07_comic_s4242145_scramble_D_00001_.png,S07_comic_s4242145_scramble_D_00001_.png,,,,1024,1760,86.6706,17.5021,95.76,0.155,#e2d8b7,3.4619,1.0977,60.93,0.2238,#14100e,0.8785,80.8665,15.4225,4,0.3321,73.8393,3.3631,1.1789,59.64,0.2518,#0e0b09,45.1689,75.0182,38.51,0.0624,#6a50d1,46.2383,40.9242,48.73,0.0313,#c9301f,55.6081,18.3713,218.71,0.0469,#a35b3c,58.7188,18.4848,76.79,0.0804,#5c909a,84.2296,34.2359,83.05,0.036,#efcd93
294,S08_papercraft,,,rotator,25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S08_papercraft_s42_Block_3_pos_00001_.png,S08_papercraft_s42_Block_3_pos_00001_.png,,,,1024,1760,84.7361,6.8696,83.22,0.1633,#d9d1c5,15.7032,3.5833,26.19,0.1486,#111727,0.8622,83.4771,8.2347,5,0.2866,60.0527,7.2514,2.6828,39.55,0.0697,#0f172a,28.6537,48.4862,30.12,0.0398,#6054d1,54.8176,62.7355,34.43,0.0255,#806b5f,57.5578,36.0574,67.88,0.0864,#dd5749,78.1724,12.9861,239.32,0.2002,#b28153,90.7285,19.4944,82.32,0.0195,#a8c6d5
295,S08_papercraft,,,rotator,-25.24,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S08_papercraft_s42_Block_3_neg_00001_.png,S08_papercraft_s42_Block_3_neg_00001_.png,,,,1024,1760,86.7362,8.4581,85.14,0.1474,#dcd7cd,11.072,1.224,354.64,0.1835,#0f172a,0.842,74.8371,3.0622,6,0.3022,70.7334,5.0459,1.195,7.81,0.1089,#0f172a,22.8575,46.361,32.79,0.063,#6d1313,33.1427,26.9375,67.63,0.0562,#6e4ed2,49.7167,71.9284,32.96,0.0279,#d83b37,67.4704,48.7155,70.69,0.0417,#ce944d,79.883,10.6199,236.32,0.1933,#dcc5a8
