run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
28,S02_linocut,1337,baseline,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_baseline_00001_.png,S02_linocut_s1337_baseline_00001_.png,1024,1760,4.0,2.260370969772339,0.5650927424430847,0.10207297585227272,89.43121050072922,2057,2.930466651916504,4.082935810089111,0.6222,0.8439491450093247,10.380446389654766,47.42787170410156,4,17.0,6.70979777971704,10.282677365489814,0.7322625102333391,0.333750237636258,0.9351066985042866,2.8845877248189766,0.8661232688210228,-3.178043371865626,2.534757918116496e-05
29,S02_linocut,1337,Block_1_pos,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_Block_1_pos_00001_.png,S02_linocut_s1337_Block_1_pos_00001_.png,1024,1760,4.0,2.527815341949463,0.6319538354873657,0.10544489080255681,66.820323488045,2844,2.8435394763946533,3.8924050331115723,0.58655,0.8660520564382899,11.03648016692233,64.96778869628906,4,18.0,6.461443216302376,14.034982508567037,0.727689716110302,0.2865151616495982,0.9377295151670664,2.6312017832210532,0.958810702237216,-3.1307455096153447,2.4451546064977402e-05
30,S02_linocut,1337,Block_1_neg,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_Block_1_neg_00001_.png,S02_linocut_s1337_Block_1_neg_00001_.png,1024,1760,4.0,1.9138351678848267,0.47845879197120667,0.1344937411221591,56.330467115965604,4303,3.4435875415802,4.05170202255249,0.528,0.8819563258565786,11.53403422586663,50.384071350097656,2,23.0,5.051893848805752,6.146903819027356,0.6843296214654604,0.29690243297076224,0.9480779628838605,2.8002307094980643,0.9539234508167613,-3.104570250197033,2.1125542383802678e-05
31,S02_linocut,1337,Block_6_pos,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_Block_6_pos_00001_.png,S02_linocut_s1337_Block_6_pos_00001_.png,1024,1760,2.0,1.04208505153656,0.52104252576828,0.0041748046875,53.361702127659576,141,3.509753942489624,4.0165019035339355,0.78005,0.6960107764715128,6.887799302286825,30.173419952392578,1,1.0,4.081822308843919,0.8730491134215478,0.9407716164056108,0.5124299284761271,0.7302823070979853,2.156995307252051,0.9831898082386363,-2.2470443713589123,0.00027401384744886925
32,S02_linocut,1337,Block_6_neg,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_Block_6_neg_00001_.png,S02_linocut_s1337_Block_6_neg_00001_.png,1024,1760,2.0,1.867662787437439,0.9338313937187195,0.028390780362215907,31.294801223241592,1635,3.3105905055999756,3.727285146713257,0.50265,0.8864130972422012,11.677442117873241,40.02195358276367,3,26.0,6.270519534016294,2.667633586276737,0.6578176527988409,0.28549117814080405,0.9828626764975468,2.5832698172705926,0.8195856267755681,-2.1478133670443826,4.715236128211966e-05
33,S02_linocut,1337,scramble_A,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_scramble_A_00001_.png,S02_linocut_s1337_scramble_A_00001_.png,1024,1760,4.393799781799316,2.8120265007019043,0.6399987801789057,0.042213578657670454,59.25155763239876,1284,3.039215087890625,3.9896676540374756,0.7416999999999999,0.7195003990685306,7.351311201707551,70.98111724853516,4,14.0,7.600753123095459,4.004790802542963,0.8594932597001645,0.4059125756129259,0.9599132346025807,2.315575014715508,0.9689192338423296,-3.0475569995407024,4.089935319506001e-05
34,S02_linocut,1337,scramble_B,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s1337_scramble_B_00001_.png,S02_linocut_s1337_scramble_B_00001_.png,1024,1760,4.0,2.2442660331726074,0.5610665082931519,0.09365178888494319,66.16346530772246,2551,3.1953277587890625,4.068007946014404,0.55145,0.8695393627551073,11.14370796684677,49.47822189331055,3,21.0,6.22272437757983,5.890938551711361,0.7447950129597252,0.29221364169724096,0.9462709179326816,2.888785323045231,0.9135947487571023,-3.008506523684035,2.878531403764869e-05
35,S02_linocut,4242145,baseline,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_baseline_00001_.png,S02_linocut_s4242145_baseline_00001_.png,1024,1760,4.0,2.2039215564727783,0.5509803891181946,0.10515192205255681,99.01201671891327,1914,2.9693052768707275,4.092840671539307,0.60975,0.8434092686834069,10.364919989726715,41.98641586303711,5,16.0,6.330323368361541,10.529131241569697,0.7191181646232796,0.3119364878043249,0.9335050559479308,2.8938127468619514,0.8671891645951705,-3.1688322358331704,2.6068033332754693e-05
36,S02_linocut,4242145,Block_1_pos,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_Block_1_pos_00001_.png,S02_linocut_s4242145_Block_1_pos_00001_.png,1024,1760,4.0,2.4063730239868164,0.6015932559967041,0.10571843927556818,55.54810495626822,3430,3.105644464492798,3.976994514465332,0.58275,0.8568726446425079,10.759137902427723,67.41195678710938,3,19.0,6.40282165558882,12.217891771030693,0.7280391739292392,0.28818491185946904,0.9434209711756691,2.7132443325608167,0.9537880637428977,-3.1012108407064165,2.363138226384327e-05
37,S02_linocut,4242145,Block_1_neg,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_Block_1_neg_00001_.png,S02_linocut_s4242145_Block_1_neg_00001_.png,1024,1760,2.799999952316284,1.7838481664657593,0.6370886417301832,0.12019819779829545,50.16813339509032,4318,3.5366930961608887,4.102567195892334,0.50475,0.8878924353212538,11.725436628385799,44.53411865234375,2,24.0,5.932780151761468,4.937077501937809,0.7108706803325132,0.29991843376757016,0.9528911896487262,2.8477244087633347,0.9458124334161933,-3.0500885522310814,2.1224120118563715e-05
38,S02_linocut,4242145,Block_6_pos,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_Block_6_pos_00001_.png,S02_linocut_s4242145_Block_6_pos_00001_.png,1024,1760,2.799999952316284,1.3000463247299194,0.46430226673913455,0.004463334517045454,49.65432098765432,162,3.7113072872161865,4.102309703826904,0.5441,0.8309205477552631,10.012165862308583,44.29978942871094,1,2.0,9.078938392039484,1.1411049402316662,0.8419298984151808,0.392138418899899,0.7353611929369819,2.386170654811096,0.9858304110440341,-2.651812063700034,6.252170084371198e-05
39,S02_linocut,4242145,Block_6_neg,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_Block_6_neg_00001_.png,S02_linocut_s4242145_Block_6_neg_00001_.png,1024,1760,2.0,1.7896175384521484,0.8948087692260742,0.10428411310369318,21.25353386859663,8843,3.419832229614258,3.8261892795562744,0.4892,0.8928435187519461,11.887505265510088,31.04180908203125,2,26.0,4.376600109352681,4.040709146191005,0.5972351955829924,0.28000624926723383,0.9710917931871006,2.6027474540141573,0.8207075639204546,-1.89720964987164,9.583926824245382e-05
40,S02_linocut,4242145,scramble_A,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_scramble_A_00001_.png,S02_linocut_s4242145_scramble_A_00001_.png,1024,1760,2.799999952316284,2.3721091747283936,0.8471818625447045,0.037395685369318185,51.52599388379205,1308,3.1089425086975098,3.895841121673584,0.7815500000000001,0.6923441902206047,6.818133088646471,58.463172912597656,2,18.0,8.171858725881911,2.352544030650196,0.874115222987869,0.44072057031324063,0.9432936564063858,2.3529628983731614,0.9596657492897728,-2.728975672224668,9.64373753690584e-05
41,S02_linocut,4242145,scramble_B,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S02_linocut_s4242145_scramble_B_00001_.png,S02_linocut_s4242145_scramble_B_00001_.png,1024,1760,4.0,2.3343260288238525,0.5835815072059631,0.09227072975852273,71.43213058419244,2328,3.1705498695373535,4.044539451599121,0.549,0.8711653135906078,11.194058244757036,49.23627853393555,2,20.0,5.994375244079388,6.184380613620049,0.7502072849931397,0.28675337276210733,0.9481198036236755,2.883214103953089,0.9174865722656251,-2.9979093219349084,2.883066819574796e-05
42,S03_cyberpunk,42,baseline,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_baseline_00001_.png,S03_cyberpunk_s42_baseline_00001_.png,1024,1760,4.0,2.2071101665496826,0.5517775416374207,0.04274791370738636,80.92647058823529,952,2.871859550476074,3.7938196659088135,0.54515,0.8745486072013963,11.299557948791147,64.25032043457031,4,20.0,7.077963381979686,2.624014227885059,0.8536744716760637,0.30051284567921965,0.9843985703467164,2.605697560930072,0.9042208584872159,-3.316664478185404,8.356351152978317e-06
43,S03_cyberpunk,42,Block_1_pos,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_Block_1_pos_00001_.png,S03_cyberpunk_s42_Block_1_pos_00001_.png,1024,1760,4.0,2.542156457901001,0.6355391144752502,0.07966142134232955,47.904237570904236,2997,3.177125930786133,3.9928784370422363,0.5942500000000001,0.8591513486978489,10.827328342068641,67.29121398925781,3,22.0,6.510880072121492,5.746309921718865,0.7784394382347066,0.2915129265248445,0.9711915535621782,2.602786170115432,0.9621326793323863,-3.072032248988359,1.7721862602848422e-05
44,S03_cyberpunk,42,Block_1_neg,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_Block_1_neg_00001_.png,S03_cyberpunk_s42_Block_1_neg_00001_.png,1024,1760,2.799999952316284,1.9662079811096191,0.702217148069265,0.04680508700284091,54.2120822622108,1556,3.5209271907806396,4.093528747558594,0.5535,0.8690296592857373,11.12797082249317,53.621055603027344,5,22.0,6.916164944677163,2.4306003191874144,0.8029589228554742,0.2914218334124645,0.9743957764511926,2.756612135820472,0.9546830610795454,-3.002768843351705,1.445984704198906e-05
45,S03_cyberpunk,42,Block_6_pos,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_Block_6_pos_00001_.png,S03_cyberpunk_s42_Block_6_pos_00001_.png,1024,1760,2.0,1.049649953842163,0.5248249769210815,0.004062721946022727,52.3,140,3.587420701980591,4.063215255737305,0.6736000000000001,0.7858869461007276,8.836945486292308,22.814002990722656,0,1.0,2.8083332232942064,0.8553566629488228,0.9501079815532277,0.5500770834803221,0.7639418813623009,2.24053070087495,0.9833989923650569,-2.267696541544825,0.000273495348233761
46,S03_cyberpunk,42,Block_6_neg,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_Block_6_neg_00001_.png,S03_cyberpunk_s42_Block_6_neg_00001_.png,1024,1760,2.0,1.888287901878357,0.9441439509391785,0.0240966796875,34.90996784565916,1244,3.596653938293457,4.00706672668457,0.4813,0.9027228758032853,12.217621132200069,40.526126861572266,2,27.0,5.939361595244509,2.2900905398007376,0.6898214898751669,0.295227230529732,0.9801596543433725,2.541984376735029,0.8166736949573864,-2.117151146827534,5.011696477439597e-05
47,S03_cyberpunk,42,scramble_A,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_scramble_A_00001_.png,S03_cyberpunk_s42_scramble_A_00001_.png,1024,1760,2.0,1.958999752998352,0.979499876499176,0.01875332919034091,60.8972972972973,555,3.2878477573394775,3.9082844257354736,0.7101999999999999,0.7692884591765614,8.43947840263237,61.26810073852539,1,17.0,8.438565305852613,1.40539663409999,0.9171851731036034,0.4067421380774743,0.9687176374282315,2.3535880274188217,0.952053555575284,-2.7131908064560997,4.070305395992255e-05
48,S03_cyberpunk,42,scramble_B,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s42_scramble_B_00001_.png,S03_cyberpunk_s42_scramble_B_00001_.png,1024,1760,2.799999952316284,1.9598398208618164,0.6999428050848894,0.046130925958806815,64.15046296296296,1296,3.364255905151367,4.0422563552856445,0.5397500000000001,0.8673371537380344,11.075873795512923,46.493675231933594,2,22.0,7.613979652932192,2.27067392508153,0.837457297651437,0.29655857822688236,0.9808848532258416,2.729385179366031,0.9352799849076705,-2.9581680835248347,1.4408448988459572e-05
49,S03_cyberpunk,1337,baseline,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s1337_baseline_00001_.png,S03_cyberpunk_s1337_baseline_00001_.png,1024,1760,4.0,2.147538185119629,0.5368845462799072,0.04758744673295454,68.77626303127506,1247,2.9548213481903076,3.909489393234253,0.57045,0.8451212243665011,10.414234534911666,63.52272033691406,4,21.0,6.4470025210579545,2.5650823528997013,0.8329686699187411,0.29778458682305803,0.9835479076018249,2.6628504769139,0.9105551979758523,-3.3216366200822702,8.932399834391114e-06
50,S03_cyberpunk,1337,Block_1_pos,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s1337_Block_1_pos_00001_.png,S03_cyberpunk_s1337_Block_1_pos_00001_.png,1024,1760,4.0,2.42917799949646,0.607294499874115,0.08090320933948864,48.961383478844866,2978,3.175668478012085,4.013554573059082,0.5899,0.8508305299172072,10.58039893018302,71.7457046508789,6,22.0,6.598487792806006,4.821442615819425,0.781413769782764,0.2862934716731361,0.9747842608663537,2.624286715386971,0.9604664195667614,-3.0445683694657886,1.663755063064803e-05
51,S03_cyberpunk,1337,Block_1_neg,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s1337_Block_1_neg_00001_.png,S03_cyberpunk_s1337_Block_1_neg_00001_.png,1024,1760,2.799999952316284,1.7713236808776855,0.6326156110868387,0.03419966264204546,54.641843971631204,1128,3.553394317626953,4.09814453125,0.5013000000000001,0.8985066008249779,12.075628746726773,54.085792541503906,4,22.0,7.447079844953114,2.0435027310243052,0.8145212277773247,0.2911768925368701,0.978333562367433,2.72326547222719,0.9587629838423295,-2.97147038027325,1.2381117594996278e-05
52,S03_cyberpunk,1337,Block_6_pos,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s1337_Block_6_pos_00001_.png,S03_cyberpunk_s1337_Block_6_pos_00001_.png,1024,1760,2.0,1.0333248376846313,0.5166624188423157,0.004052734375,52.54676258992806,139,3.1389753818511963,3.8951897621154785,0.7285,0.7316871438372996,7.603947521821053,21.444093704223633,0,1.0,2.7452660959367856,0.7937902254060782,0.9802096599885419,0.6904288148649964,0.7642816162082184,1.6187702691944212,0.9884859952059659,-2.1859702419512734,0.0003540760409945194
53,S03_cyberpunk,1337,Block_6_neg,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s1337_Block_6_neg_00001_.png,S03_cyberpunk_s1337_Block_6_neg_00001_.png,1024,1760,2.0,1.9262193441390991,0.9631096720695496,0.01626032049005682,38.86604774535809,754,3.6540870666503906,4.050477981567383,0.48985,0.8856565838883145,11.652974347988303,45.76416015625,2,26.0,6.0288434346760935,1.9480690622706878,0.7176776927923066,0.29849966317518084,0.9814297432628565,2.578491079004703,0.817287930575284,-2.212870130098793,3.6420406589787175e-05
54,S03_cyberpunk,1337,scramble_A,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S03_cyberpunk_s1337_scramble_A_00001_.png,S03_cyberpunk_s1337_scramble_A_00001_.png,1024,1760,2.799999952316284,2.1424665451049805,0.7651666362824889,0.018693958629261365,57.20033955857385,589,3.2244274616241455,3.8971049785614014,0.7070500000000001,0.7702381104139724,8.461728764035314,69.87922668457031,2,16.0,8.496907810214175,1.5645000003595055,0.9122284516835342,0.40657352459234314,0.97497537532036,2.3179217345902767,0.9601179643110795,-2.7926897090108063,3.331815384769286e-05
