type,report,prompt_id,seed,block,rot_kind,angle_deg,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
rotX,benchmark_tiefling_seed42,tiefling,42,Block_2,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_2_rotX_+30.0_00001_.png,Block_2_rotX_+30.0_00001_.png,1024,1760,2.799999952316284,1.799736499786377,0.6427630465841813,0.034398859197443184,88.06107954545455,704,3.0508196353912354,4.052737712860107,0.6141,0.8037558214555005,9.285781191028878,22.359773635864258,1,20.0,7.614445421271996,1.8143385467018351,0.8618961974527198,0.3755099509789257,0.9327858767893846,2.7292027523793463,0.8887096058238636,-2.813220323530283,4.602129803489448e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_3,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_3_rotX_-30.0_00001_.png,Block_3_rotX_-30.0_00001_.png,1024,1760,2.799999952316284,1.9935649633407593,0.7119874990324889,0.025574285333806818,64.10431154381085,719,2.953397035598755,3.8898472785949707,0.7232999999999998,0.7457475741122691,7.906232034597613,25.09710121154785,1,19.0,8.172374027090218,1.7439651648225396,0.8734416777872728,0.40592024794369347,0.9229129557476408,2.6485727067362537,0.9032709295099433,-2.7591441367133056,6.47357002938338e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_3,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_3_rotX_+15.0_00001_.png,Block_3_rotX_+15.0_00001_.png,1024,1760,2.799999952316284,2.3410427570343018,0.836086713179294,0.02885797674005682,81.7751572327044,636,2.8713107109069824,3.7974441051483154,0.64655,0.8008532556069221,9.211352628318709,33.237098693847656,2,13.0,7.7711577436227115,2.5262702048691144,0.8949572579595539,0.37455868625443156,0.9419890045312058,2.5230162687782065,0.8959700150923295,-2.9358126016694097,4.023502557339392e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_3,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_3_rotX_-15.0_00001_.png,Block_3_rotX_-15.0_00001_.png,1024,1760,4.0,2.062450408935547,0.5156126022338867,0.027344304865056818,100.77914110429448,489,2.871481418609619,3.7867796421051025,0.6543,0.8038100095837158,9.287176404538469,27.510379791259766,1,16.0,7.42108140277275,1.8161047603606542,0.8840668577084019,0.37895095547939867,0.9285683375356037,2.652774645889154,0.8845603249289773,-2.835989358333811,4.834060067170941e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_3,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,1024,1760,2.799999952316284,1.916254997253418,0.6843767963882309,0.037733598188920456,89.24540682414698,762,2.8426249027252197,3.8129541873931885,0.5972500000000001,0.8401744166969828,10.272373553216768,36.87623977661133,2,16.0,7.727414364704608,2.2170757279037776,0.8748447993923985,0.3542985515425688,0.9470413855104587,2.558103327411709,0.8743968616832386,-2.764177573231958,4.857731932596953e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_4,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_4_rotX_-30.0_00001_.png,Block_4_rotX_-30.0_00001_.png,1024,1760,4.0,2.1883673667907715,0.5470918416976929,0.03058416193181818,97.5575221238938,565,2.6898698806762695,3.7702059745788574,0.6079999999999999,0.8220639101646015,9.769303035288695,39.8186149597168,1,15.0,8.291665110324283,2.0888956622171966,0.8858062016591921,0.3608148079854764,0.9546636903114795,2.5918191954292875,0.9054570978338068,-2.90958843036668,3.332290080315565e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_4,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_4_rotX_+15.0_00001_.png,Block_4_rotX_+15.0_00001_.png,1024,1760,2.799999952316284,2.165670871734619,0.7734538959342053,0.020420143821022727,98.40106951871658,374,2.890261173248291,3.719076633453369,0.63715,0.7983528668982872,9.14771530924252,29.468425750732422,1,13.0,8.13476664410879,1.941430642471413,0.9191083846482595,0.41314883083270215,0.9320623288632406,2.435161250453323,0.8792053222656251,-2.8348210089960353,4.808154210451413e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_4,rotX,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_4_rotX_-15.0_00001_.png,Block_4_rotX_-15.0_00001_.png,1024,1760,2.799999952316284,2.1543118953704834,0.7693971185922132,0.02183504971590909,89.23356009070295,441,2.9203505516052246,3.8273820877075195,0.58045,0.8384001559051749,10.221964802041574,34.58838653564453,1,14.0,7.721588183270575,1.8168845379298082,0.894285656214951,0.37208120068409434,0.9430676094920767,2.6444584023464848,0.8799671519886363,-2.8914639327836826,3.744261039247145e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_4,rotX,30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_4_rotX_+30.0_00001_.png,Block_4_rotX_+30.0_00001_.png,1024,1760,2.799999952316284,2.032302141189575,0.7258222056426696,0.021437211470170456,79.0081799591002,489,2.87893009185791,3.7641961574554443,0.6613499999999999,0.8010165726747244,9.215524575150035,29.037748336791992,1,13.0,7.991196848115867,1.5896991296725005,0.9051807431894126,0.3998346870119297,0.9465526804317446,2.489297796567778,0.8965054598721591,-2.793324334547946,4.197084317429669e-05
rotX,benchmark_tiefling_seed42,tiefling,42,Block_5,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\rotations\Block_5_rotX_-30.0_00001_.png,Block_5_rotX_-30.0_00001_.png,1024,1760,4.0,2.2740015983581543,0.5685003995895386,0.029568758877840908,84.99202551834131,627,2.7096779346466064,3.6407461166381836,0.6677500000000001,0.7925946772858418,9.002830821027821,43.18573760986328,2,15.0,7.3881757344761425,2.1957795537003735,0.8950614714823789,0.33832011388652317,0.955242596332062,2.4970488343903026,0.8804310191761364,-2.8787782105514323,3.1611573522320956e-05
