run_id,prompt_id,seed,condition,cond_tag,dose_target_D,angle_deg,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
75,P02,P02_s1618033_B1_neg_d030_00001_,,B1_neg_d030,0.03,-15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B1_neg_d030_00001_.png,P02_s1618033_B1_neg_d030_00001_.png,,7919c95fcf,P02_s1618033_B1_neg_d030_00001_.png,1024.0,1280.0,88.9939,11.1358,104.0,0.1114,#e3e0cb,6.7601,0.8713,32.8,0.2067,#161514,0.8575,76.7061,14.4216,5.0,0.3366,31.2849,4.8533,0.7177,3.07,0.1903,#121010,47.6357,32.0026,46.55,0.0459,#9e624b,58.2861,25.6316,128.24,0.0411,#7d9368,59.9405,13.3427,76.67,0.0762,#9f8e7a,75.0214,22.9506,60.95,0.0336,#dab094,81.5593,11.4032,192.45,0.1463,#b1d1cf
76,P02,P02_s1618033_B1_neg_d045_00001_,,B1_neg_d045,0.045001,-23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B1_neg_d045_00001_.png,P02_s1618033_B1_neg_d045_00001_.png,,7919c95fcf,P02_s1618033_B1_neg_d045_00001_.png,1024.0,1280.0,87.5589,14.3577,95.89,0.1475,#e4dbc0,4.985,2.0604,56.65,0.2414,#14100e,0.8801,91.7964,6.7122,6.0,0.2894,47.7903,2.9887,0.8773,39.44,0.2209,#0d0a0a,16.7653,14.9517,45.09,0.0685,#3c231b,45.6521,48.6676,46.73,0.0601,#aa5332,55.7016,38.0627,127.35,0.0553,#6f8f4f,78.5289,30.253,71.2,0.0414,#e6ba8e,94.785,0.9388,111.23,0.0226,#f0f0ee
77,P02,P02_s1618033_B1_neg_d060_00001_,,B1_neg_d060,0.06,-31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B1_neg_d060_00001_.png,P02_s1618033_B1_neg_d060_00001_.png,,7919c95fcf,P02_s1618033_B1_neg_d060_00001_.png,1024.0,1280.0,75.0773,15.5115,96.0,0.0929,#c1b99d,16.8728,19.4833,65.81,0.074,#3b2510,0.919,69.6494,13.4935,4.0,0.1965,25.403,13.4306,18.1376,56.38,0.0454,#351d0c,28.0262,34.7441,56.37,0.0794,#663515,45.3417,25.0809,94.4,0.1134,#766b41,46.0254,35.2651,72.93,0.0787,#8d6534,46.1035,37.4536,101.27,0.0831,#746f2d,83.08,12.0505,100.21,0.0101,#d4cfb9
78,P02,P02_s1618033_B1_pos_d030_00001_,,B1_pos_d030,0.03,15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B1_pos_d030_00001_.png,P02_s1618033_B1_pos_d030_00001_.png,,7919c95fcf,P02_s1618033_B1_pos_d030_00001_.png,1024.0,1280.0,91.5758,13.7883,182.99,0.1793,#c8efe8,2.6902,1.3593,65.88,0.2001,#0d0907,0.817,88.5969,15.1054,4.0,0.3695,54.7658,2.4086,1.1565,66.61,0.2359,#0b0806,45.9194,18.8021,168.2,0.0893,#4b7566,47.7813,55.9223,41.12,0.0407,#bc4f35,51.9757,32.713,131.58,0.0851,#648551,67.3169,49.8249,76.64,0.0168,#cf9a4b,91.0055,13.9654,95.68,0.1336,#eee5cb
79,P02,P02_s1618033_B1_pos_d045_00001_,,B1_pos_d045,0.045001,23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B1_pos_d045_00001_.png,P02_s1618033_B1_pos_d045_00001_.png,,7919c95fcf,P02_s1618033_B1_pos_d045_00001_.png,1024.0,1280.0,90.8512,13.9229,193.33,0.2191,#c4edea,3.0199,1.1465,81.3,0.1946,#0d0b08,0.8034,88.8603,13.254,6.0,0.3547,53.5386,2.5478,0.8419,61.97,0.2301,#0b0908,45.3835,54.3805,44.24,0.0175,#b14d2d,51.2553,39.0943,124.75,0.1207,#668341,58.8553,50.0613,81.51,0.0177,#b18733,74.5855,25.0824,42.94,0.0243,#e3ab99,91.4081,14.2314,95.66,0.1245,#efe6cb
80,P02,P02_s1618033_B1_pos_d060_00001_,,B1_pos_d060,0.06,31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B1_pos_d060_00001_.png,P02_s1618033_B1_pos_d060_00001_.png,,7919c95fcf,P02_s1618033_B1_pos_d060_00001_.png,1024.0,1280.0,91.8948,12.3606,186.97,0.2246,#ccefea,5.6409,3.9435,294.14,0.223,#121218,0.7977,87.9613,9.7001,5.0,0.3735,54.505,3.1683,3.9205,299.49,0.239,#0c0a12,29.0841,29.2106,48.23,0.0636,#683824,54.8181,48.7706,52.59,0.0657,#c16d41,68.0097,58.4255,85.14,0.0268,#caa036,68.5526,47.5633,127.95,0.0668,#88b461,91.1296,15.6764,96.1,0.1345,#efe5c8
81,P02,P02_s1618033_B6_neg_d030_00001_,,B6_neg_d030,0.03,-21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B6_neg_d030_00001_.png,P02_s1618033_B6_neg_d030_00001_.png,,7919c95fcf,P02_s1618033_B6_neg_d030_00001_.png,1024.0,1280.0,90.8706,11.2552,290.18,0.1672,#e3e3f9,42.2715,25.7105,300.12,0.0794,#665e88,0.7287,41.657,5.3467,4.0,0.2369,27.3161,37.0347,28.2948,305.03,0.0434,#5e507d,46.2407,23.4101,293.33,0.0645,#6a6a91,57.7635,41.9404,305.77,0.0941,#977ec6,73.9107,14.6243,296.78,0.0752,#b7b3ce,75.9049,31.7833,302.46,0.0879,#c2b3ed,78.6918,20.6734,291.21,0.1428,#bfc0e6
82,P02,P02_s1618033_B6_neg_d045_00001_,,B6_neg_d045,0.045001,-32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B6_neg_d045_00001_.png,P02_s1618033_B6_neg_d045_00001_.png,,7919c95fcf,P02_s1618033_B6_neg_d045_00001_.png,1024.0,1280.0,85.2059,10.9265,322.62,0.1542,#e0d0e2,62.3029,19.6216,332.09,0.0761,#ae8da7,0.5539,14.2334,1.6251,1.0,0.2228,12.7472,60.2494,19.1621,336.87,0.0473,#aa879f,64.9875,20.4686,325.59,0.1153,#b394b3,66.6809,23.3572,316.83,0.1075,#b499bf,70.8366,13.1168,335.81,0.0419,#bfa6b7,71.1616,16.259,317.99,0.0658,#bca8c2,74.4828,10.61,10.91,0.0193,#ccb1b4
83,P02,P02_s1618033_B6_neg_d060_00001_,,B6_neg_d060,0.06,-43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B6_neg_d060_00001_.png,P02_s1618033_B6_neg_d060_00001_.png,,7919c95fcf,P02_s1618033_B6_neg_d060_00001_.png,1024.0,1280.0,79.5789,9.0485,44.35,0.1616,#d6c1ba,42.3312,19.7566,3.14,0.0667,#845863,0.5684,32.8361,6.2269,4.0,0.1791,12.3137,38.3866,20.0609,3.26,0.0462,#7a4e59,56.3441,23.8864,9.13,0.068,#b07881,58.5268,12.3187,24.83,0.0449,#a48684,65.8848,11.5727,36.76,0.0812,#b69a94,65.9186,16.6163,19.26,0.0979,#c09697,71.2227,19.6824,15.7,0.0765,#d4a2a5
84,P02,P02_s1618033_B6_pos_d030_00001_,,B6_pos_d030,0.03,21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B6_pos_d030_00001_.png,P02_s1618033_B6_pos_d030_00001_.png,,7919c95fcf,P02_s1618033_B6_pos_d030_00001_.png,1024.0,1280.0,75.2867,40.1387,114.99,0.0807,#b2c175,0.7158,1.0806,80.83,0.4297,#040200,0.9373,67.818,7.7081,6.0,0.4866,51.9179,0.3558,0.6364,56.79,0.4056,#030100,11.3199,18.3916,117.06,0.081,#1b2101,22.4413,30.676,88.91,0.0441,#423401,51.2438,47.3901,112.57,0.0248,#72812a,59.4476,33.0365,156.45,0.042,#599d77,68.1738,52.5543,103.1,0.0226,#aeaa45
85,P02,P02_s1618033_B6_pos_d045_00001_,,B6_pos_d045,0.045001,32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B6_pos_d045_00001_.png,P02_s1618033_B6_pos_d045_00001_.png,,7919c95fcf,P02_s1618033_B6_pos_d045_00001_.png,1024.0,1280.0,6.8231,10.2551,99.7,0.0493,#191500,0.1395,0.4282,29.86,0.7985,#020000,0.743,63.6938,11.0205,5.0,0.9608,44.309,0.0515,0.2427,18.96,0.9532,#010000,8.2288,16.5912,48.4,0.0009,#2a1100,13.9128,22.7184,137.97,0.0077,#10290c,15.9469,23.1048,101.28,0.0064,#2b2901,49.1463,44.5517,109.47,0.0027,#727a29,63.7453,43.3724,120.7,0.0035,#89a456
86,P02,1618033,B6_pos,B6_pos_d060,0.06,43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_B6_pos_d060_00001_.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,P02,P02_s1618033_baseline_00001_,,baseline,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_baseline_00001_.png,P02_s1618033_baseline_00001_.png,,7919c95fcf,P02_s1618033_baseline_00001_.png,1024.0,1280.0,89.4213,11.7619,99.09,0.0892,#e7e1cb,4.3655,1.248,79.99,0.2179,#110f0d,0.8756,80.7866,15.407,4.0,0.3787,34.2645,3.5424,0.9684,72.95,0.2248,#0e0c0b,48.147,33.1199,49.05,0.0298,#a06349,48.8795,13.2911,67.92,0.1313,#847160,61.7038,23.1838,125.44,0.0331,#8a9b73,66.627,35.2329,84.73,0.0123,#bc9e63,84.3289,11.8967,186.37,0.1538,#b8d9d4
88,P02,P02_s1618033_scrA_neg_d030_00001_,,scrA_neg_d030,0.03,-15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_scrA_neg_d030_00001_.png,P02_s1618033_scrA_neg_d030_00001_.png,,7919c95fcf,P02_s1618033_scrA_neg_d030_00001_.png,1024.0,1280.0,90.7712,13.4916,101.43,0.1156,#eae5cb,4.5254,1.0773,87.33,0.1846,#110f0e,0.8493,78.8956,12.3823,6.0,0.344,31.3374,3.6085,0.7505,64.51,0.1947,#0e0d0b,44.0106,32.0879,40.36,0.0372,#975747,52.056,25.0067,134.29,0.0561,#69845d,63.8951,26.9729,62.48,0.026,#be9271,73.9532,17.9684,93.35,0.0494,#c1b595,82.5041,11.9618,174.19,0.1493,#b6d4cb
89,P02,P02_s1618033_scrA_neg_d045_00001_,,scrA_neg_d045,0.045001,-23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_scrA_neg_d045_00001_.png,P02_s1618033_scrA_neg_d045_00001_.png,,7919c95fcf,P02_s1618033_scrA_neg_d045_00001_.png,1024.0,1280.0,87.0924,14.9552,94.52,0.1662,#e4dabe,3.613,1.2334,357.87,0.2265,#0f0c0d,0.8802,81.2751,10.1768,6.0,0.3222,51.2592,2.695,0.9354,313.1,0.2309,#0b090b,37.4838,52.1946,36.36,0.0262,#9c3528,53.6641,38.0323,129.76,0.0415,#668a4c,59.3943,47.6763,89.04,0.0159,#a88c38,75.6879,23.7742,60.21,0.0314,#ddb295,83.9701,9.0736,161.0,0.0913,#c2d6cc
90,P02,P02_s1618033_scrA_neg_d060_00001_,,scrA_neg_d060,0.06,-31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_scrA_neg_d060_00001_.png,P02_s1618033_scrA_neg_d060_00001_.png,,7919c95fcf,P02_s1618033_scrA_neg_d060_00001_.png,1024.0,1280.0,68.1083,10.5222,145.69,0.0386,#9aaa9b,9.5498,4.8358,226.35,0.1446,#131c1f,0.9884,71.1076,5.9918,6.0,0.1634,28.6205,6.7246,4.5036,241.15,0.0898,#0e161a,29.2164,18.7458,106.35,0.0376,#474629,45.3614,15.7545,184.22,0.0736,#4a736d,52.0855,33.1241,91.36,0.02,#8d7b43,60.0821,17.571,239.3,0.0667,#6d97ab,77.8322,16.2462,141.48,0.0126,#afc7ad
91,P02,P02_s1618033_scrA_pos_d030_00001_,,scrA_pos_d030,0.03,15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P02_s1618033_scrA_pos_d030_00001_.png,P02_s1618033_scrA_pos_d030_00001_.png,,7919c95fcf,P02_s1618033_scrA_pos_d030_00001_.png,1024.0,1280.0,88.4504,11.9424,86.27,0.1204,#e9ddc7,3.3086,1.442,27.25,0.2468,#0f0b0a,0.886,82.8844,11.0631,6.0,0.4155,35.6996,2.8027,1.0597,22.36,0.2613,#0d0909,19.7099,12.4868,40.26,0.0548,#412a24,34.7339,19.4675,140.84,0.086,#3f583e,40.4429,21.0446,49.97,0.1015,#7d5746,48.6041,36.7593,47.8,0.0396,#a66247,85.6871,12.0084,192.3,0.1542,#bbdddb
